caller,season,n,hhi,se,epa,eff
Press Taylor,2023,386,0.156823001959784,0.00820690224398715,-0.220915621465043,6.37661559530943
Shane Steichen,2023,437,0.261450811388236,0.0154628096738096,-0.116272534935861,3.82481123194937
Ben Johnson,2023,542,0.209167903487153,0.0116981430743537,0.0209294546299316,4.78084822445725
Mike McDaniel,2023,427,0.267927756966802,0.0187357184186443,0.00100580553591808,3.73234938895826
Shane Waldron,2023,344,0.224580854515955,0.0113848010698426,-0.065331154037267,4.45273931366647
Sean Payton,2023,391,0.173069249939495,0.0092483300398937,-0.122841108523671,5.77803393930232
Kellen Moore,2023,378,0.189776322051454,0.011795814033543,-0.23792910735522,5.26936126272312
Dave Canales,2023,422,0.195312324521013,0.00887327574094622,-0.185920714758231,5.1200046000805
Brian Johnson,2023,461,0.253739630436522,0.0170301984714748,-0.0307086365551984,3.94104775150672
Tim Kelly,2023,399,0.21055772262737,0.00911881529411911,-0.0638907698629643,4.7492914889174
Ken Dorsey,2023,278,0.163863154081052,0.00864471799338635,0.0331856102126537,6.10265319014529
Bill O'Brien,2023,386,0.188461435206314,0.0118145237948743,-0.14501612305453,5.30612535612536
Kyle Shanahan,2023,521,0.27518687302213,0.0181049103466975,0.0106218783989291,3.63389426616866
Kevin O'Connell,2023,352,0.249128357438017,0.0159514719746336,-0.141759869896553,4.01399507580666
Pete Carmichael,2023,443,0.188276118604426,0.00989999608498978,-0.0920934109332599,5.31134807437278
Drew Petzing,2023,425,0.159053287197232,0.00631041885233453,-0.0218228869227799,6.28720108601065
Thomas Brown,2023,219,0.251641959091762,0.0138036753912717,-0.165654525773166,3.97390007457122
Bo Hardegree,2023,223,0.212692794948622,0.0142737120434662,-0.10080966132906,4.7016167155148
Joe Brady,2023,224,0.17789381377551,0.00963936212326153,-0.00762145700199268,5.62133094331167
Mike Sullivan,2023,209,0.182985737506009,0.012765752999137,-0.119231187769671,5.46490679344426
Joe Brady,2024,527,0.18988654407714,0.00764891606062744,0.0640594969155441,5.26630259590041
Arthur Smith,2024,484,0.23700566901168,0.0108302397152994,-0.128414702055252,4.2193083573487
Andy Reid,2024,435,0.20293830096446,0.0108479079098064,-0.0673685255064361,4.92760605192573
Drew Petzing,2024,411,0.169635510090516,0.00601850483354053,-0.00944308060110319,5.8949921479672
Sean Payton,2024,401,0.182803589529916,0.00913706920419889,-0.0767153559433775,5.4703521006974
Klint Kubiak,2024,402,0.286230538848048,0.0185804252058388,-0.0268313399891356,3.49368730543065
Brian Callahan,2024,409,0.137570913612425,0.00508019338370582,-0.173783762494334,7.26897840351106
Alex Van Pelt,2024,373,0.172465841053986,0.00775566821061608,-0.191910608244645,5.7982496353407
Mike McCarthy,2024,400,0.2216375,0.0150154517541429,-0.14646378705278,4.5118718628391
Ryan Grubb,2024,342,0.174156150610444,0.00911622841470287,-0.106734943276609,5.7419734904271
Sean McVay,2024,467,0.268546327416789,0.0130777366723051,-0.0657305397109249,3.72375228370926
Kellen Moore,2024,680,0.180583910034602,0.00760742940472549,0.0556760804344189,5.53759191396613
Shane Steichen,2024,461,0.165390714329407,0.00758610504253148,-0.0515795994929793,6.04628865686079
Greg Roman,2024,422,0.138238134812785,0.00613533487315215,-0.0703250506045339,7.23389389877326
Bobby Slowik,2024,428,0.259444056249454,0.0161510775314697,-0.0991340446085713,3.85439548878509
Mike McDaniel,2024,403,0.247295408505686,0.0171360336440044,-0.213741061728327,4.04374673206683
Todd Monken,2024,560,0.182289540816327,0.00824701226941514,0.0819444442300923,5.48577825980478
Ben Johnson,2024,521,0.273278539351093,0.0161057894668121,0.0634819960897351,3.65927014384125
Kevin O'Connell,2024,420,0.23827664399093,0.0110668154593627,-0.105434502696707,4.19680243623906
Press Taylor,2024,375,0.173560888888889,0.00917822613761972,-0.0576558076341947,5.76166673495309
Brian Daboll,2024,375,0.191153777777778,0.00906871446848645,-0.131281435847282,5.23139020125739
Zac Taylor,2024,336,0.205746882086168,0.0103633433378685,-0.0739989688265181,4.86034096779749
Dave Canales,2024,356,0.271051634894584,0.0130376231457413,-0.0440985300483999,3.68933395435491
Kyle Shanahan,2024,395,0.284755648133312,0.0190705267894221,-0.0343657095598268,3.51178284453848
Matt LaFleur,2024,513,0.205225539482234,0.00868534980204508,-0.0303460381794393,4.87268788535244
Zac Robinson,2024,473,0.409195946882165,0.0217854510061957,-0.00373715088243941,2.44381697233176
Kliff Kingsbury,2024,513,0.191470119960938,0.0107410671340756,0.0147180953889098,5.22274702812122
Shane Waldron,2024,210,0.159818594104308,0.00997541637135441,-0.157219940033697,6.25709421112372
Liam Coen,2024,445,0.164610528973614,0.00643275248868887,0.00120825104499145,6.07494554713624
Todd Downing,2024,236,0.264076414823327,0.0206273494141428,-0.0909713706222631,3.78678270329073
Ken Dorsey,2024,216,0.208804869684499,0.0152885136854926,-0.169070438792308,4.78916033668651
Kellen Moore,2025,387,0.229440004273248,0.0147581557702756,-0.146712126292154,4.35843785466927
Josh Grizzard,2025,409,0.175865758813015,0.00818805892239102,-0.0856097337122651,5.68615520581937
Joe Brady,2025,518,0.218251069602421,0.00876205348086565,0.0379100025552379,4.58187903418599
Todd Monken,2025,453,0.197959153838282,0.0106149598853548,0.0247410586634216,5.05154715309061
Liam Coen,2025,442,0.169386376200324,0.00840182578907551,-0.0540991681733286,5.90366251662033
Sean McVay,2025,475,0.283439335180055,0.0114142060553704,-0.00395267375989976,3.52809182029992
Matt LaFleur,2025,452,0.226544756832955,0.0103476670377248,-0.0695102097944611,4.41413879526402
Kevin O'Connell,2025,362,0.236989102896737,0.0103587216699854,-0.0334863510723767,4.21960329726945
Zac Taylor,2025,353,0.228145639560545,0.0105470691440926,-0.00196171072826171,4.3831650779134
Kevin Patullo,2025,438,0.189862596693147,0.00939540668312069,-0.056591469216156,5.26696683505381
Ben Johnson,2025,502,0.245019920318725,0.0134127411260742,0.00158639892609193,4.08130081300813
John Morton,2025,217,0.267642124487672,0.0191392347123064,-0.0262651418588954,3.73633261921765
Arthur Smith,2025,394,0.223801180138628,0.0112904653699264,-0.0162846189427195,4.46825168384089
Mike McDaniel,2025,394,0.230023963513618,0.0136040685676069,-0.025831962013759,4.34737313767223
Dave Canales,2025,423,0.228319612807315,0.00938143564245026,-0.0538741191650959,4.37982522703351
Greg Roman,2025,412,0.156565180507117,0.0077703672680329,-0.0740283521862013,6.38711619506322
Nick Caley,2025,477,0.243982085800052,0.0115425139766312,-0.116114729621001,4.09866157476627
Andy Reid,2025,357,0.24418394808904,0.0140087837634215,-0.0522277157816315,4.09527328813341
Josh McDaniels,2025,487,0.213497548161859,0.0119380323116211,-0.10341977299759,4.68389453935025
Shane Steichen,2025,404,0.155952847760024,0.00691681535361565,0.0515912923740578,6.41219454702601
Chip Kelly,2025,225,0.214538271604938,0.0144179402526516,-0.291159197522534,4.66117300432741
Drew Petzing,2025,323,0.161172828264433,0.00681264940193831,-0.122424874512404,6.2045197740113
Kliff Kingsbury,2025,407,0.179663022414865,0.0080145146319371,-0.0477688290563205,5.56597560565841
Brian Schottenheimer,2025,417,0.184042693902432,0.0107287100143684,-0.0124997125304253,5.43352185732588
Kyle Shanahan,2025,473,0.260033343911607,0.0158604114114859,-0.0503894748603314,3.8456606562731
Tanner Engstrand,2025,389,0.240184772767825,0.0128480326531527,-0.143355073495876,4.16346127390287
Klint Kubiak,2025,557,0.21461148948103,0.00890299631468982,-0.0774060180895634,4.65958277638436
Zac Robinson,2025,445,0.453988132811514,0.0234789955799182,-0.0718575708882027,2.20270074860124
Sean Payton,2025,428,0.175397414621364,0.00868348715711394,-0.0851569084154668,5.70133831310302
Mike Kafka,2025,448,0.199348294005102,0.0078813273773842,-0.0485991198303445,5.01634591352162
Bo Hardegree,2025,284,0.205638762150367,0.013677007778086,-0.113709261089983,4.86289641866635
Tommy Rees,2025,203,0.204930961683127,0.0131172716551543,-0.176136236839694,4.87969212551806
Dan Campbell,2025,206,0.220096144782732,0.0158753773599273,-0.0356897482449568,4.54346895074947
