caller,season,n,looks,se,epa
Mike McCarthy,2023,833,2.53606557377049,0.116627643910202,0.0282642797288563
Todd Monken,2023,918,3.57321255751566,0.105931699045316,0.0212334661550762
Press Taylor,2023,834,2.28835600645608,0.0735788767432301,-0.0524718631996954
Shane Steichen,2023,817,1.68129889388231,0.0494812155386744,-0.041698355456835
Ben Johnson,2023,997,2.616646201034,0.0837483014887516,0.0577494339721321
Mike McDaniel,2023,818,2.48049913890374,0.0715688507128629,0.0413221319497516
Shane Waldron,2023,759,2.43376256387695,0.088036177580194,0.0289471396766552
Sean Payton,2023,747,3.09308185875092,0.139359762898726,-0.0864969509849487
Kellen Moore,2023,810,1.96975435558922,0.0622001451561412,-0.0459261361210624
Dave Canales,2023,880,2.2041625823512,0.0821228186713472,-0.098970136766068
Brian Johnson,2023,888,1.96602385219427,0.0627719242330928,-0.0419793167268973
Tim Kelly,2023,751,3.12843669810378,0.109714734921849,-0.0573066315872866
Ken Dorsey,2023,580,2.63901549680948,0.123820883078834,0.0666620723871062
Bill O'Brien,2023,755,2.48732894069944,0.0545223087566342,-0.143399064068911
Kyle Shanahan,2023,945,2.98848264356495,0.079638764644876,0.126380631804624
Kevin O'Connell,2023,810,2.51564383498537,0.0832204739082005,-0.0740996074805289
Pete Carmichael,2023,849,3.09021452669351,0.130728094682505,0.020604131723567
Drew Petzing,2023,760,2.63628386530657,0.0891201993965871,-0.0798950172960764
Thomas Brown,2023,393,1.21823846652644,0.0355767644456157,-0.178069868084735
Bo Hardegree,2023,402,2.39392319344204,0.128967037458733,-0.0750021384252857
Joe Brady,2023,383,2.6047000178031,0.174708367572992,0.0475581515478285
Mike Sullivan,2023,326,2.39089226880895,0.12568359130265,-0.0597857017651417
Joe Brady,2024,901,3.10761094504484,0.149110153411457,0.111330139222291
Arthur Smith,2024,850,3.05261332295562,0.0852218763762357,-0.0783388979113933
Andy Reid,2024,955,2.81078196054718,0.077267972437116,-0.0179047456908366
Drew Petzing,2024,804,2.98803143483935,0.0803566704462267,0.0643904270275279
Sean Payton,2024,784,2.94092960418523,0.146526071147476,-0.0287208755510117
Klint Kubiak,2024,739,4.34477319439797,0.128351110116631,-0.0346754369803567
Brian Callahan,2024,753,2.16843330678267,0.0787089000340514,-0.128455817105761
Alex Van Pelt,2024,743,2.31068359948028,0.0622858864956694,-0.0900705127825164
Mike McCarthy,2024,798,2.16450785137186,0.0920486373360131,-0.0618614732103428
Kevin Stefanski,2024,311,1.65272396886893,0.09270237382134,-0.198315376661406
Ryan Grubb,2024,783,1.64455151964418,0.046040944438501,-0.0359570089630106
Sean McVay,2024,889,1.4816221735083,0.0340529530875015,0.0477711495317947
Kellen Moore,2024,1000,2.22689843648993,0.05766199762382,0.0604758653723405
Shane Steichen,2024,783,1.91155664058842,0.04880784923054,-0.100494582931562
Greg Roman,2024,797,3.035493162614,0.127727750521002,-0.00822286309564442
Bobby Slowik,2024,888,2.34507973180579,0.0513908623503085,-0.102629431191966
Mike McDaniel,2024,821,3.64257115030841,0.0863868730695993,-0.0269746481339999
Todd Monken,2024,916,4.24284455963795,0.107111563789984,0.170218194342792
Ben Johnson,2024,894,2.72560975609756,0.0785397010799921,0.100735708912814
Kevin O'Connell,2024,871,2.74906945865349,0.0686387046122616,-0.00449266884343385
Luke Getsy,2024,393,2.6623807548735,0.153177749551931,-0.189344001865209
Press Taylor,2024,726,2.10086213778239,0.0625760794254072,-0.0266590685389306
Brian Daboll,2024,747,1.98010873041254,0.0738811470565123,-0.13687857879024
Zac Taylor,2024,838,2.18047351993932,0.0587129524957463,0.0554989933531936
Dave Canales,2024,703,2.00257267607005,0.0847462438852942,-0.0370610000911417
Kyle Shanahan,2024,797,2.85910262650298,0.0813555824342409,0.0565675319040394
Matt LaFleur,2024,841,2.05772009134548,0.0560903348908891,0.0479208208414569
Zac Robinson,2024,816,1.35398597639931,0.0345368792839004,0.0115248430428989
Nathaniel Hackett,2024,232,2.30423940149626,0.126008126974515,-0.0996778939714142
Kliff Kingsbury,2024,977,2.61865556464857,0.0799726191778043,0.0313789704752591
Shane Waldron,2024,423,2.12811158798283,0.0915411270337766,-0.0747621600157262
Liam Coen,2024,854,2.06927093097904,0.076362621558616,0.0702272030062521
Todd Downing,2024,507,1.94985178992172,0.0785394938589124,-0.0120826719817384
Ken Dorsey,2024,482,2.03627388982575,0.0917790598268635,-0.200256397244347
Thomas Brown,2024,342,1.8975885970907,0.105695349301643,-0.107510993461402
Scott Turner,2024,379,2.52684492733173,0.100981316119698,-0.107232215526786
Kellen Moore,2025,801,2.17469507435638,0.081058006778287,-0.0601338399492774
Josh Grizzard,2025,797,2.16068606615443,0.0756732270716668,-0.0295936472601764
Joe Brady,2025,913,2.71885897888014,0.107652410888595,0.065511576416683
Todd Monken,2025,712,4.00734607285911,0.117351676687819,-0.00815005749568663
Liam Coen,2025,849,2.25174991398993,0.0875408089831788,0.00388461234005771
Sean McVay,2025,950,2.36898392911573,0.058757907634402,0.133121927425657
Matt LaFleur,2025,818,2.46840557870165,0.0573890227500663,0.0440489249654038
Kevin O'Connell,2025,700,2.55170687443287,0.0960166584211044,-0.061691496345614
Kevin Stefanski,2025,359,2.7187764427145,0.113729398992731,-0.178536174787743
Zac Taylor,2025,774,2.07902564458962,0.05826146057149,-0.0945774494587307
Kevin Patullo,2025,815,2.39586418103417,0.08159693368072,-0.0371493531928106
Brian Callahan,2025,133,1.39002375296912,0.0870870099402742,-0.249744053173782
Ben Johnson,2025,929,2.85707846997143,0.0728860567762778,0.0592105138297033
John Morton,2025,351,2.644323905463,0.0979373413916909,0.114869671669441
Arthur Smith,2025,775,4.59824303191979,0.152544236428908,-0.0449535545177996
Mike McDaniel,2025,663,4.73571428571429,0.211293539347247,-0.0188089008379842
Dave Canales,2025,778,2.29984858053765,0.0853379960136162,-0.0938537811984939
Greg Roman,2025,846,3.23634602151317,0.175239833535109,-0.0597617608934295
Nick Caley,2025,924,2.58234977078804,0.11835509442976,-0.0683124828234502
Andy Reid,2025,790,2.54520286162289,0.0858177426906574,0.00950131053222846
Josh McDaniels,2025,976,3.78981576620708,0.148296747022489,0.0296388057071997
Shane Steichen,2025,764,2.33182127285091,0.0695027106705982,0.0149520254629636
Chip Kelly,2025,451,2.32399688530597,0.0837545929563288,-0.18971361278736
Drew Petzing,2025,754,3.68657472339099,0.127185352882646,-0.0401798627322012
Kliff Kingsbury,2025,727,2.95204483422077,0.110633097537042,-0.00348660452329779
Brian Schottenheimer,2025,848,2.3593159765335,0.0906420463383771,0.0608502349976608
Kyle Shanahan,2025,910,3.000609415469,0.0859409421077596,-0.0103634239993176
Tanner Engstrand,2025,663,2.48925816696915,0.111864559582646,-0.124131391603123
Klint Kubiak,2025,911,3.43919053466529,0.0999600730957749,0.0293755020525072
Zac Robinson,2025,777,2.8483050527191,0.0794437412225246,0.0569555236163288
Sean Payton,2025,921,2.6861526756277,0.110183707269719,-0.0114964278825397
Mike Kafka,2025,794,2.19543508277661,0.0482166454513171,-0.0436918145087863
Bo Hardegree,2025,548,2.39219191419405,0.104982684265627,-0.096675367633316
Tommy Rees,2025,366,2.73391453831041,0.102924600143767,-0.209626235581853
Dan Campbell,2025,445,2.60804139496819,0.150667912932899,0.0808443453581481
Greg Olson,2025,204,2.5049600774256,0.113415958715875,-0.210573123457531
