caller,run_concept,N,share
Mike McDaniel,TRAP,31,1.94846008799497
Andy Reid,POWER,194,11.8292682926829
Matt Canada,TRAP,36,5.12820512820513
Matt Canada,POWER,23,3.27635327635328
Luke Getsy,DRAW,19,1.70098478066249
Luke Getsy,TRICK,48,4.29722470904208
Kliff Kingsbury,FULLBACK,3,0.230061349693252
Kyle Shanahan,TRAP,18,0.926879505664264
Kevin Stefanski,FULLBACK,7,0.544747081712062
Arthur Smith,COUNTER,31,1.6693591814755
Arthur Smith,TRICK,22,1.18470651588584
Josh McDaniels,TRICK,44,4.21052631578947
Shane Steichen,TRICK,19,1.0079575596817
Kliff Kingsbury,TRICK,28,2.14723926380368
Josh McDaniels,SNEAK,29,2.77511961722488
Matt LaFleur,COUNTER,129,6.97297297297297
Matt Canada,SNEAK,28,3.98860398860399
Andy Reid,PULL LEAD,75,4.57317073170732
Ben Johnson,DRAW,23,1.14257327372081
Sean McVay,DRAW,29,1.63288288288288
Sean McVay,SNEAK,18,1.01351351351351
Sean McVay,TRAP,13,0.731981981981982
Kellen Moore,DRAW,47,2.36299648064354
Kellen Moore,SNEAK,81,4.07239819004525
Kevin O'Connell,FULLBACK,9,0.590551181102362
Kellen Moore,TRAP,20,1.00553041729512
Luke Getsy,COUNTER,35,3.13339301700985
Ben Johnson,FULLBACK,4,0.198708395429707
Pete Carmichael,DRAW,43,4.90307867730901
Pete Carmichael,SNEAK,9,1.02622576966933
Andy Reid,DRAW,26,1.58536585365854
Sean McVay,POWER,42,2.36486486486487
Pete Carmichael,TRICK,19,2.16647662485747
Matt LaFleur,TRAP,3,0.162162162162162
Luke Getsy,SNEAK,30,2.6857654431513
Pete Carmichael,FULLBACK,4,0.456100342075257
Matt LaFleur,DRAW,9,0.486486486486487
Ken Dorsey,TRICK,14,1.5819209039548
Shane Waldron,TRAP,7,0.734522560335782
Kliff Kingsbury,TRAP,32,2.45398773006135
Klint Kubiak,OUTSIDE ZONE,406,35.304347826087
Klint Kubiak,MAN,126,10.9565217391304
Klint Kubiak,INSIDE ZONE,306,26.6086956521739
Klint Kubiak,POWER,97,8.43478260869565
Ben Johnson,SNEAK,20,0.993541977148535
Klint Kubiak,PULL LEAD,85,7.39130434782609
Klint Kubiak,COUNTER,36,3.1304347826087
Klint Kubiak,TRICK,23,2
Klint Kubiak,DRAW,26,2.26086956521739
Klint Kubiak,TRAP,14,1.21739130434783
Luke Getsy,TRAP,16,1.43240823634736
Matt LaFleur,FULLBACK,1,0.0540540540540541
Klint Kubiak,FULLBACK,5,0.434782608695652
Klint Kubiak,SNEAK,26,2.26086956521739
Matt LaFleur,SNEAK,25,1.35135135135135
Kliff Kingsbury,SNEAK,4,0.306748466257669
Pete Carmichael,TRAP,7,0.798175598631699
Bobby Slowik,INSIDE ZONE,164,18.8940092165899
Bobby Slowik,POWER,109,12.5576036866359
Bobby Slowik,OUTSIDE ZONE,314,36.1751152073733
Bobby Slowik,MAN,121,13.9400921658986
Bobby Slowik,COUNTER,50,5.76036866359447
Bobby Slowik,TRAP,22,2.53456221198157
Bobby Slowik,PULL LEAD,32,3.68663594470046
Bobby Slowik,TRICK,26,2.99539170506912
Mike McCarthy,INSIDE ZONE,289,34.9455864570738
Mike McCarthy,OUTSIDE ZONE,151,18.2587666263603
Mike McCarthy,DRAW,39,4.71584038694075
Mike McCarthy,MAN,90,10.8827085852479
Mike McCarthy,TRAP,32,3.86940749697703
Mike McCarthy,COUNTER,37,4.47400241837969
Mike McCarthy,TRICK,39,4.71584038694075
Mike McCarthy,PULL LEAD,94,11.36638452237
Todd Monken,TRICK,48,3.18513603185136
Todd Monken,INSIDE ZONE,391,25.9455872594559
Todd Monken,TRAP,36,2.38885202388852
Todd Monken,SNEAK,23,1.52621101526211
Todd Monken,DRAW,44,2.91970802919708
Todd Monken,OUTSIDE ZONE,386,25.613802256138
Todd Monken,COUNTER,173,11.4797611147976
Todd Monken,MAN,95,6.30391506303915
Todd Monken,PULL LEAD,105,6.96748506967485
Press Taylor,SNEAK,25,3.28515111695138
Press Taylor,OUTSIDE ZONE,109,14.323258869908
Press Taylor,INSIDE ZONE,206,27.0696452036794
Press Taylor,PULL LEAD,93,12.2207621550591
Press Taylor,MAN,149,19.5795006570302
Press Taylor,TRAP,40,5.25624178712221
Press Taylor,DRAW,7,0.919842312746386
Press Taylor,POWER,78,10.2496714848883
Press Taylor,COUNTER,27,3.54796320630749
Sean Payton,MAN,270,22.1311475409836
Sean Payton,POWER,93,7.62295081967213
Sean Payton,INSIDE ZONE,228,18.6885245901639
Sean Payton,OUTSIDE ZONE,326,26.7213114754098
Dave Canales,OUTSIDE ZONE,339,28.2264779350541
Dave Canales,MAN,275,22.8975853455454
Dave Canales,INSIDE ZONE,339,28.2264779350541
Dave Canales,PULL LEAD,64,5.32889258950874
Dave Canales,TRICK,38,3.16402997502082
Mike McCarthy,POWER,30,3.62756952841596
Dave Canales,TRAP,5,0.416319733555371
