caller,season,n,looks,se,epa
Shane Waldron,2023,995,12.4378128222541,0.720772754503645,-0.0203010458677029
Sean Payton,2023,1016,13.471104608632,0.759173416234673,-0.0986201071843145
Kellen Moore,2023,1106,8.82429817467653,0.439505762796106,-0.0830491898456343
Dave Canales,2023,1176,10.4079419119641,0.577543324801837,-0.0483911459834704
Brian Johnson,2023,1165,5.87247421162491,0.30655719706505,0.00831719135521845
Tim Kelly,2023,1002,16.5021717670286,0.995457017859042,-0.0989056803834926
Ken Dorsey,2023,761,11.2644125895918,0.768181215792477,0.0969107347208908
Bill O'Brien,2023,1020,13.6570047039655,0.547018445127226,-0.234160759532824
Kyle Shanahan,2023,1225,22.2542151507955,0.984154908913516,0.115305240187908
Kevin O'Connell,2023,1071,10.5529873287167,0.464059370063109,-0.0511270427952908
Pete Carmichael,2023,1121,14.1120402841471,0.766822377904955,-0.0378887951008498
Drew Petzing,2023,1068,10.1441746190001,0.531145939958942,-0.0911557734038358
Thomas Brown,2023,566,6.98750163877114,0.423524947303828,-0.243504617659395
Bo Hardegree,2023,546,10.8992015236979,0.732829051118258,-0.0703559128009805
Joe Brady,2023,498,11.2861833105335,1.0395563859252,0.0373612660484529
Mike Sullivan,2023,437,10.7669529837251,0.959273484480252,-0.0745503521056579
Joe Brady,2024,1224,16.5306771500508,0.905534598823485,0.14759383099671
Arthur Smith,2024,1126,14.4784666026608,0.830553415301424,-0.0696662720321761
Andy Reid,2024,1253,12.9171003227719,0.533466946774191,0.0261160762711517
Drew Petzing,2024,1036,13.4493139001079,0.842172616441302,0.0381167285651341
Sean Payton,2024,1097,13.9317728852839,0.801305770916442,-0.0288076373335054
Klint Kubiak,2024,1032,22.4300531242095,1.3319711045624,-0.0655454404935483
Brian Callahan,2024,1032,10.0281998114986,0.544959135783411,-0.153950883209157
Alex Van Pelt,2024,1027,10.298506587435,0.555219246757312,-0.129934377427836
Mike McCarthy,2024,1104,9.07453610552202,0.464258297525084,-0.129385710660152
Kevin Stefanski,2024,444,10.3740506329114,0.826182336591104,-0.217131233379782
Ryan Grubb,2024,1030,8.99124518570047,0.408540161242623,-0.0616184135455891
Sean McVay,2024,1161,11.2707126836943,0.445370984274512,-0.00152933888673131
Kellen Moore,2024,1368,8.9705563497165,0.48468181421176,0.075619408926754
Shane Steichen,2024,1041,7.41209332895169,0.447300431803363,-0.0805640370172592
Greg Roman,2024,1071,12.6144244105409,0.736833277582417,-0.012123267954157
Bobby Slowik,2024,1193,13.612880992495,0.582441637225023,-0.0753105610034495
Mike McDaniel,2024,1082,32.9755286157316,1.50541246680541,-0.0689632467686265
Todd Monken,2024,1184,22.3435426237877,1.00802748072944,0.174738331449319
Ben Johnson,2024,1186,15.2838375709594,0.716367006442937,0.141881789763978
Kevin O'Connell,2024,1125,12.5678335022959,0.516682457661079,-0.0283584327126545
Luke Getsy,2024,548,10.5214461214461,0.749245763363609,-0.228391861374809
Press Taylor,2024,992,8.67319534875514,0.391982347402726,-0.0600197943617055
Brian Daboll,2024,1063,9.11231111972104,0.50141449166956,-0.1495515911429
Zac Taylor,2024,1080,10.7483997122249,0.631074251939288,0.053724149122179
Dave Canales,2024,993,12.2327695402727,0.657129573582167,-0.0910790548570764
Kyle Shanahan,2024,1026,15.5901624762808,0.874135504688966,0.0380449224985978
Matt LaFleur,2024,1087,11.6122882606386,0.618096741377383,0.02796411665333
Zac Robinson,2024,1086,10.3204813789721,0.375221909531057,0.0112255573938182
Nathaniel Hackett,2024,316,10.3709106063763,0.797935886516128,-0.122722478050007
Kliff Kingsbury,2024,1320,14.0763857447772,0.686785023585113,0.0966919273296793
Shane Waldron,2024,576,9.85010706638116,0.847833778533293,-0.155781830884735
Liam Coen,2024,1138,10.8682278629865,0.552484923051094,0.0933687498437821
Todd Downing,2024,694,10.9924574876577,0.65105022088739,-0.0211432484416048
Ken Dorsey,2024,674,11.217776238995,0.693402448254634,-0.230343005849318
Thomas Brown,2024,489,8.64045187920921,0.606827901673691,-0.0748280828346351
Scott Turner,2024,517,12.039534253994,0.653992825850916,-0.0796022693513097
Kellen Moore,2025,1075,8.61373063952968,0.580855005808438,-0.105242698189565
Josh Grizzard,2025,1068,10.9840957723671,0.555719428963472,-0.0427660952480889
Joe Brady,2025,1222,16.1842893092676,0.690543445470682,0.0881377571430467
Todd Monken,2025,974,20.6336163727411,0.94759986474338,-0.01410809229654
Liam Coen,2025,1147,12.3049314760728,0.64144224115583,-0.0035037884592024
