measure,caller,seasons,n,actual,expected,resid,epa
quick_throw_lt2.5s_pp,Todd Downing,2,872,53.8990825688073,51.2891367675925,2.60994580121488,0.0924548033759459
quick_throw_lt2.5s_pp,Dave Canales,3,1744,53.4977064220184,50.8987247251795,2.59898169683891,0.0728072391349261
quick_throw_lt2.5s_pp,Shane Waldron,3,1467,52.2154055896387,50.379004718986,1.83640087065278,0.103321108877314
quick_throw_lt2.5s_pp,Mike McCarthy,2,1307,53.0221882172915,51.3155326817267,1.70665553556478,0.122886474168052
quick_throw_lt2.5s_pp,Arthur Smith,4,2039,52.2314860225601,50.6253314396808,1.60615458287931,0.0781644256739836
quick_throw_lt2.5s_pp,Ken Dorsey,3,1480,51.2162162162162,50.871360689603,0.344855526613217,0.0790621250679063
quick_throw_lt2.5s_pp,Mike Kafka,3,1610,50.3726708074534,50.1087926235628,0.263878183890575,0.0645918506538926
quick_throw_lt2.5s_pp,Drew Petzing,3,1743,51.004016064257,50.9539359531831,0.0500801110739526,0.0786114385868765
quick_throw_lt2.5s_pp,Andy Reid,4,2797,51.5909903468002,51.7405336259901,-0.149543279189908,0.173550085073705
quick_throw_lt2.5s_pp,Bo Hardegree,2,761,50.5913272010513,50.8226848169476,-0.231357615896338,-0.0211467046581906
quick_throw_lt2.5s_pp,Matt Canada,2,917,49.618320610687,50.2310132772348,-0.612692666547814,-0.00385871873467782
quick_throw_lt2.5s_pp,Kevin Stefanski,4,1753,49.6292070735882,50.7832546630759,-1.1540475894877,-0.0708542092614561
quick_throw_lt2.5s_pp,Zac Robinson,2,1095,50.3196347031963,51.5525138432577,-1.23287914006134,0.105879983806038
quick_throw_lt2.5s_pp,Kellen Moore,4,2374,49.9157540016849,51.4858076874584,-1.5700536857735,0.14768900352041
quick_throw_lt2.5s_pp,Matt LaFleur,4,2238,50.0446827524576,51.6775737339306,-1.63289098147306,0.181874728109937
quick_throw_lt2.5s_pp,Scott Turner,2,864,48.3796296296296,50.0902432879364,-1.7106136583068,0.0476051709287006
quick_throw_lt2.5s_pp,Bobby Slowik,2,1271,48.5444531864674,50.8369971163436,-2.29254392987627,0.146546338511195
quick_throw_lt2.5s_pp,Liam Coen,2,1178,49.4057724957555,52.3057316365084,-2.8999591407529,0.221892751011751
quick_throw_lt2.5s_pp,Sean McVay,4,2452,48.3278955954323,51.2554357135228,-2.92754011809048,0.1792773526691
quick_throw_lt2.5s_pp,Joe Lombardi,1,751,48.4687083888149,51.4333044720712,-2.96459608325627,0.100589506449017
quick_throw_lt2.5s_pp,Klint Kubiak,3,1373,47.9970866715222,51.0979518348599,-3.10086516333772,0.0949187889174224
quick_throw_lt2.5s_pp,Luke Getsy,3,1205,46.8879668049793,50.1104381111648,-3.22247130618551,-0.000553512335194509
quick_throw_lt2.5s_pp,Greg Roman,3,1646,48.2989064398542,51.9251979231146,-3.62629148326044,0.0935759936826569
quick_throw_lt2.5s_pp,Kyle Shanahan,4,2344,47.3976109215017,51.5439057125116,-4.14629479100986,0.252773398058266
quick_throw_lt2.5s_pp,Joe Brady,3,1397,47.8883321403006,52.2299687165444,-4.34163657624379,0.249774153968159
quick_throw_lt2.5s_pp,Todd Monken,3,1488,45.9005376344086,51.0223359981131,-5.12179836370451,0.244703019573604
quick_throw_lt2.5s_pp,Ben Johnson,4,2547,45.6615626226934,51.3874391837592,-5.72587656106581,0.234625922478874
quick_throw_lt2.5s_pp,Josh McDaniels,3,1468,45.7765667574932,51.5052139571277,-5.72864719963448,0.188166678437775
quick_throw_lt2.5s_pp,Sean Payton,3,1789,44.3823365008385,51.005259749275,-6.62292324843654,0.0823648735595059
quick_throw_lt2.5s_pp,Kevin O'Connell,4,2402,41.3405495420483,51.6739938429849,-10.3334443009366,0.126204586425388
rollout_pp,Luke Getsy,3,1343,11.5413253909159,6.51398524567443,5.02734014524143,-0.203528390344363
rollout_pp,Sean Payton,3,1890,10.952380952381,7.24182492783589,3.71055602454507,-0.0284013283042308
rollout_pp,Klint Kubiak,3,1475,10.1694915254237,6.55931522957665,3.61017629584709,-0.0549236442578042
rollout_pp,Sean McVay,4,2620,11.1450381679389,7.80586419559532,3.3391739723436,0.0495628151525424
rollout_pp,Matt Canada,2,982,9.97963340122198,6.67095358161988,3.3086798196021,-0.123999852916631
rollout_pp,Shane Waldron,3,1595,10.282131661442,7.10075753384787,3.18137412759414,-0.0485157527598086
rollout_pp,Arthur Smith,4,2208,9.19384057971014,6.67943541133275,2.51440516837739,-0.0630950202513316
rollout_pp,Mike Kafka,3,1801,8.27318156579678,6.23091209968392,2.04226946611287,-0.110286584533523
rollout_pp,Mike McCarthy,2,1391,9.48957584471603,7.81776006264903,1.67181578206701,0.00300345501690426
rollout_pp,Dave Canales,3,1863,8.21256038647343,6.72070748432401,1.49185290214942,-0.0654260970267675
rollout_pp,Kevin O'Connell,4,2610,8.9272030651341,7.48145049056966,1.44575257456444,-0.0457176616283355
rollout_pp,Bo Hardegree,2,816,6.86274509803921,5.57690344382232,1.28584165421688,-0.172428045979948
rollout_pp,Mike McDaniel,4,2453,8.27558092132083,7.11059323592222,1.16498768539861,0.0297473827965445
rollout_pp,Joe Lombardi,1,794,8.43828715365239,7.29104358921654,1.14724356443586,-0.00275041473388999
rollout_pp,Kevin Stefanski,4,1906,7.34522560335782,6.36864003886841,0.976585564489411,-0.215280540881665
rollout_pp,Drew Petzing,3,1875,7.04,6.56552051816135,0.474479481838651,-0.05870495052884
rollout_pp,Kellen Moore,4,2556,7.15962441314554,6.9744888275074,0.185135585638137,0.000664011942108498
rollout_pp,Doug Pederson,1,712,7.02247191011238,6.89142526855321,0.131046641559169,0.0433226728529322
rollout_pp,Bobby Slowik,2,1385,7.14801444043321,7.0637649051603,0.0842495352729113,-0.0212653163712912
rollout_pp,Todd Downing,2,943,7.10498409331919,7.06791396209356,0.0370701312256323,-0.0662820700403944
rollout_pp,Andy Reid,4,2957,8.25160635779506,8.70864906706235,-0.457042709267282,0.0727417095446827
rollout_pp,Ben Johnson,4,2666,7.31432858214554,7.94252477965645,-0.628196197510913,0.128256865008018
rollout_pp,Press Taylor,2,1236,6.06796116504854,6.73054159152876,-0.662580426480227,-0.0647905885489069
rollout_pp,Scott Turner,2,933,5.57341907824223,6.32736097042033,-0.7539418921781,-0.100876470095411
rollout_pp,Shane Steichen,4,2398,6.33861551292744,7.17822701029023,-0.839611497362793,-0.013988531258321
rollout_pp,Nathaniel Hackett,3,1210,5.04132231404959,6.09605621213617,-1.05473389808658,-0.240593395544378
rollout_pp,Todd Monken,3,1615,6.13003095975232,7.20548366607331,-1.07545270632099,0.0834433808397997
rollout_pp,Joe Brady,3,1470,6.3265306122449,7.4590423993836,-1.1325117871387,0.150161166397101
rollout_pp,Kyle Shanahan,4,2486,6.51649235720032,7.6517845368371,-1.13529217963677,0.123352870562399
rollout_pp,Greg Roman,3,1808,5.64159292035398,7.05003039517329,-1.40843747481931,-0.0560488671765438
rollout_pp,Liam Coen,2,1264,5.85443037974684,7.4813229331925,-1.62689255344566,0.0937090219561968
rollout_pp,Kliff Kingsbury,3,1904,4.93697478991597,6.6464076281262,-1.70943283821023,-0.035557145281683
rollout_pp,Matt LaFleur,4,2356,5.73005093378608,7.59841912252717,-1.86836818874109,0.0829067173633717
rollout_pp,Zac Robinson,2,1158,3.79965457685665,6.18501603844639,-2.38536146158973,0.00156727311923594
rollout_pp,Josh McDaniels,3,1579,4.43318556048132,6.89206974912067,-2.45888418863935,0.0255446751472825
rollout_pp,Frank Reich,2,714,3.22128851540616,5.72174152376323,-2.50045300835707,-0.191641630255291
rollout_pp,Pete Carmichael,2,1188,4.04040404040404,6.78114851265252,-2.74074447224848,0.00842898989155894
rollout_pp,Ken Dorsey,3,1568,3.8265306122449,7.87335954697408,-4.04682893472919,-0.024870760509583
rollout_pp,Zac Taylor,4,2784,3.41235632183908,8.19862870599515,-4.78627238415607,0.0272388776467217
rollout_pp,Byron Leftwich,1,838,1.19331742243436,6.82505593090018,-5.63173850846582,-0.00665444376164952
screen_pp,Doug Pederson,1,713,14.586255259467,10.3685178808335,4.21773737863353,0.0427466967570246
screen_pp,Luke Getsy,3,1345,14.275092936803,10.3766774034412,3.89841553336182,-0.200631866623478
screen_pp,Byron Leftwich,1,839,13.2300357568534,9.8696762936787,3.36035946317471,-0.0130423864258702
screen_pp,Kliff Kingsbury,3,1908,13.6268343815514,10.4069022295325,3.21993215201886,-0.0327862547666609
screen_pp,Matt LaFleur,4,2360,13.9406779661017,10.8686023526351,3.07207561346655,0.0811245863294325
screen_pp,Sean Payton,3,1899,13.4281200631911,10.8000693313107,2.62805073188049,-0.0261007993434978
screen_pp,Mike McDaniel,4,2457,13.3496133496134,10.8006239572284,2.54898939238491,0.0277885136247217
screen_pp,Andy Reid,4,2965,13.8617200674536,11.4569624722268,2.40475759522684,0.0736301860092035
screen_pp,Bo Hardegree,2,823,11.7861482381531,9.6191821617605,2.1669660763926,-0.174674644406527
screen_pp,Press Taylor,2,1239,11.7029862792574,9.95618399334854,1.74680228590891,-0.0654377877558908
screen_pp,Joe Brady,3,1472,13.0434782608696,11.3051561803845,1.73832208048502,0.147302018862398
screen_pp,Todd Downing,2,949,11.5911485774499,10.3360281855818,1.25512039186815,-0.0630453960946493
screen_pp,Liam Coen,2,1265,12.9644268774704,11.9456981847674,1.01872869270297,0.0932677867935541
screen_pp,Arthur Smith,4,2216,11.4169675090253,10.6736199879457,0.74334752107954,-0.0647749566075489
screen_pp,Nathaniel Hackett,3,1212,10.8085808580858,10.3267507578428,0.481830100243047,-0.240975344137683
screen_pp,Eric Bieniemy,1,700,10.1428571428572,10.077648088469,0.0652090543881094,-0.190065861762767
screen_pp,Joe Lombardi,1,795,10.6918238993711,10.7837746717598,-0.0919507723887438,-0.00046778383881532
screen_pp,Ben Johnson,4,2682,10.9619686800895,11.0577380154449,-0.0957693353553618,0.131653706910711
screen_pp,Kevin O'Connell,4,2622,10.5644546147979,10.8637410462362,-0.299286431438286,-0.0464417258725792
screen_pp,Todd Monken,3,1616,10.7673267326733,11.3328721527573,-0.565545420084,0.0830892881010843
screen_pp,Bobby Slowik,2,1390,10.2877697841727,10.8625319630256,-0.57476217885294,-0.0200751179588034
screen_pp,Kyle Shanahan,4,2499,10.4441776710684,11.1517067729574,-0.70752910188899,0.127080581734935
screen_pp,Kevin Stefanski,4,1912,9.72803347280334,10.5553814207075,-0.827347947904164,-0.216859460352418
