caller,season,n_H,n_L,resid_H,resid_L,act_H,act_L,epa_H,epa_L,n,resid,epa
Nathaniel Hackett,2022,128,282,-6.97545578877907,8.04781125369646,33.59375,79.4326241134752,-0.120461391637946,-0.180017827957181,410,15.0232670424755,-0.161424599057518
Nathaniel Hackett,2023,204,568,-9.21051857956484,6.9708196288893,35.7843137254902,79.5774647887324,-0.25174911684521,-0.359245722931006,772,16.1813382084541,-0.330839884017143
Nick Caley,2025,318,533,-8.97428661338845,9.00229804119966,29.874213836478,76.735459662289,-0.261782106034803,0.0196826835888075,851,17.9765846545881,-0.0854945233445747
Pep Hamilton,2022,281,410,-8.09631947414731,7.14091184299167,37.7224199288256,80.4878048780488,-0.211234868600222,-0.312650887940715,691,15.237231317139,-0.271409351855797
Pete Carmichael,2022,283,452,-16.0770098530678,8.22511618314064,25.4416961130742,77.8761061946903,-0.0777970643371818,-0.0506083753549252,735,24.3021260362084,-0.0610769453984335
Pete Carmichael,2023,274,539,-13.7947495401341,13.5903037199837,24.8175182481752,80.5194805194805,-0.0561915197185359,-0.0261563063911914,813,27.3850532601178,-0.0362788752124612
Press Taylor,2023,239,606,-8.77914143780784,9.23069575524861,28.0334728033473,74.9174917491749,-0.212030281223138,-0.101496504358456,845,18.0098371930564,-0.132759903968703
Press Taylor,2024,220,466,-13.5389215270565,6.54752069980289,27.7272727272727,76.1802575107296,0.0666819553219037,-0.0680354234998313,686,20.0864422268594,-0.0248315993879046
Ryan Grubb,2024,157,608,-11.4604454499426,10.5535173151446,27.3885350318471,76.6447368421053,-0.241497122184344,0.0223907554326089,765,22.0139627650872,-0.031766625986818
Scott Turner,2022,268,563,-15.7639944515844,1.93914182179775,25.7462686567164,72.4689165186501,-0.11522697006811,-0.147149236263215,831,17.7031362733822,-0.136854209379595
Sean McVay,2022,136,519,-7.07491128294565,2.63663889528006,33.0882352941176,73.2177263969171,0.0946299562312881,-0.177469835876844,655,9.71155017822571,-0.120972779805537
Sean McVay,2023,156,574,-3.42947451923138,3.64758912019616,34.6153846153846,67.595818815331,-0.0292648530135361,0.0573813606650676,730,7.07706363942754,0.0388651834953934
Sean McVay,2024,228,508,3.26954626249507,4.65656266819068,40.7894736842105,70.2755905511811,0.0676745662236945,0.00393576066992346,736,1.38701640569561,0.0236809341295156
Sean McVay,2025,386,533,-2.36440627652321,15.9148521008456,32.9015544041451,79.5497185741088,-0.035356336678595,0.177483919616544,919,18.2792583773688,0.0880863799757131
Sean Payton,2023,253,478,-16.9654091039724,8.6926464568122,26.4822134387352,77.8242677824268,-0.18560926933136,-0.106546199055404,731,25.6580555607846,-0.133910025019586
Sean Payton,2024,273,501,-10.2050283855516,7.45051263454194,28.9377289377289,75.4491017964072,-0.0498431038739155,-0.0215312691773497,774,17.6555410200936,-0.031517226376526
Sean Payton,2025,314,580,-8.05144600694774,9.41025248825036,29.6178343949045,75.5172413793104,-0.129081543364449,0.0268345214940353,894,17.4616984951981,-0.0279279442392579
Shane Steichen,2022,353,623,-9.92055193497337,5.70497705480069,24.929178470255,67.0947030497593,0.0828860503207185,0.0298388293715582,976,15.6255289897741,0.049024965636982
Shane Steichen,2023,214,511,-2.71055470264265,0.597453379817681,36.4485981308411,68.6888454011742,-0.165751237156757,-0.0776155197736851,725,3.30800808246033,-0.103630752215033
Shane Steichen,2024,212,498,-11.7312462209671,-1.8169047123936,32.0754716981132,66.2650602409639,-0.0595375165817731,-0.0711088556138027,710,9.91434150857352,-0.0676537515648023
Shane Steichen,2025,239,430,-7.12939061489439,7.51164100717666,32.6359832635983,74.6511627906977,0.121314455958173,-0.0167873718797466,669,14.6410316220711,0.0325494545077912
Shane Waldron,2022,276,520,-5.8507503260035,8.89797159685538,35.8695652173913,76.7307692307692,-0.14352707852326,0.0295639181509606,796,14.7487219228589,-0.0304525580828144
Shane Waldron,2023,213,512,-7.86260552704333,6.9931273086695,31.924882629108,75.78125,0.0518715336936322,-0.0868298185723688,725,14.8557328357128,-0.0460803178376678
Shane Waldron,2024,111,321,-7.92847678300229,1.27720204747728,29.7297297297297,70.7165109034268,-0.391282335729212,-0.0608640838471736,432,9.20567883047956,-0.145763218011309
Tanner Engstrand,2025,235,456,-20.2218872800152,-3.4477053406207,30.2127659574468,71.2719298245614,-0.111366160626107,-0.162841851673939,691,16.7741819393945,-0.14533564704841
Tim Kelly,2023,286,397,-15.5126123864959,6.10608880405763,28.3216783216783,79.8488664987406,-0.0503532357572519,-0.163951473937532,683,21.6187011905536,-0.116383251214896
Todd Downing,2022,325,394,-16.0481109934358,-0.0838802966672159,27.0769230769231,74.6192893401015,-0.041633722359458,-0.190646974225694,719,15.9642306967685,-0.123290497373779
Todd Monken,2023,303,502,-11.4448258773156,5.41009237373852,24.0924092409241,69.1235059760956,0.0891586594873725,-0.0276288838437443,805,16.8549182510541,0.0163296573107009
Todd Monken,2024,387,459,-14.9763887437682,0.905534094260407,22.4806201550387,68.8453159041394,0.182901291913071,0.227932709835324,846,15.8819228380286,0.20733323142408
Todd Monken,2025,392,299,-14.4630625915276,3.2943861191488,26.7857142857143,75.9197324414716,-0.0129996331560675,-0.119793139709577,691,17.7574487106764,-0.0592098480033892
Tommy Rees,2025,163,189,-15.7418094826805,7.9358003599934,30.0613496932515,82.5396825396826,-0.352465408162837,-0.319761712187852,352,23.6776098426739,-0.334905753221723
Zac Robinson,2024,163,589,-25.3706579530852,7.78121493617626,12.2699386503067,72.4957555178268,-0.12114304973761,0.0516198966494034,752,33.1518728892614,0.0141726090681757
Zac Robinson,2025,250,470,-18.3025045849383,7.8143156969801,22.4,76.1702127659575,-0.0915316489208488,-0.0983992029457015,720,26.1168202819184,-0.096014635575961
Zac Taylor,2022,211,739,-9.01244753128649,16.2941120650634,21.8009478672986,75.6427604871448,-0.155877591181388,0.122205252372263,950,25.3065595963499,0.0604415892250841
Zac Taylor,2023,185,594,-9.11208796541433,13.6944543256703,30.2702702702703,76.9360269360269,-0.110704057175364,-0.0678015131854553,779,22.8065422910847,-0.0779901789596955
Zac Taylor,2024,183,569,1.12879081054138,16.0008868166558,37.7049180327869,77.5043936731107,-0.0103417285030983,0.06903423722637,752,14.8720960061144,0.0497180115235871
Zac Taylor,2025,165,578,-11.5536358568705,10.5464788173103,28.4848484848485,77.3356401384083,-0.0834936152155879,0.0326543681091508,743,22.1001146741807,0.00686107436947126
