measure,caller,seasons,n,mean_raw,mean_exp,resid,epa
time_to_throw_sec,Bobby Slowik,2,1271,2.80772620062018,2.66130174716376,0.146424453456415,0.146546338511195
time_to_throw_sec,Luke Getsy,3,1205,2.80811618546727,2.68134103217066,0.126775153296617,-0.000553512335194509
time_to_throw_sec,Sean Payton,3,1789,2.77901062177772,2.65584724951617,0.123163372261555,0.0823648735595059
time_to_throw_sec,Greg Roman,3,1646,2.75942284408346,2.64528062610116,0.114142217982294,0.0935759936826569
time_to_throw_sec,Joe Brady,3,1397,2.74263421437018,2.63388080381886,0.108753410551321,0.249774153968159
time_to_throw_sec,Kevin O'Connell,4,2402,2.75350957473649,2.64947329775479,0.104036276981694,0.126204586425388
time_to_throw_sec,Kevin Stefanski,4,1753,2.75689104537724,2.66637711421599,0.0905139311612571,-0.0708542092614561
time_to_throw_sec,Josh McDaniels,3,1468,2.73788828421029,2.64771690436865,0.0901713798416412,0.188166678437775
time_to_throw_sec,Kyle Shanahan,4,2344,2.73151450847044,2.65216599298012,0.0793485154903179,0.252773398058266
time_to_throw_sec,Ben Johnson,4,2547,2.72019238570507,2.65026892958597,0.0699234561190963,0.234625922478874
time_to_throw_sec,Klint Kubiak,3,1373,2.72213401094633,2.65514586671633,0.0669881442299919,0.0949187889174224
time_to_throw_sec,Bo Hardegree,2,761,2.72578186478157,2.66973518322708,0.0560466815544958,-0.0211467046581906
time_to_throw_sec,Andy Reid,4,2797,2.69592062872693,2.64380625601023,0.0521143727167016,0.173550085073705
time_to_throw_sec,Matt Canada,2,917,2.72396946993363,2.67447015035373,0.0494993195798948,-0.00385871873467782
time_to_throw_sec,Ken Dorsey,3,1480,2.7011689216704,2.65630653049495,0.0448623911754506,0.0790621250679063
time_to_throw_sec,Mike Kafka,3,1610,2.71265838523829,2.68033491336041,0.0323234718778861,0.0645918506538926
time_to_throw_sec,Drew Petzing,3,1743,2.68983935393346,2.66318162720024,0.026657726733218,0.0786114385868765
time_to_throw_sec,Matt LaFleur,4,2238,2.65819034904535,2.64516321759441,0.0130271314509324,0.181874728109937
time_to_throw_sec,Liam Coen,2,1178,2.63432937210302,2.62295621421017,0.0113731578928509,0.221892751011751
time_to_throw_sec,Joe Lombardi,1,751,2.65933422016082,2.66254461033843,-0.00321039017761149,0.100589506449017
time_to_throw_sec,Kellen Moore,4,2374,2.64449031158918,2.65360597787831,-0.00911566628913685,0.14768900352041
time_to_throw_sec,Scott Turner,2,864,2.65894675810166,2.68328183861794,-0.0243350805162833,0.0476051709287006
time_to_throw_sec,Sean McVay,4,2452,2.62493066992884,2.64956039705634,-0.0246297271275018,0.1792773526691
time_to_throw_sec,Todd Downing,2,872,2.63776376094977,2.6634953866858,-0.0257316257360333,0.0924548033759459
time_to_throw_sec,Shane Waldron,3,1467,2.6432515341527,2.67202201227632,-0.028770478123617,0.103321108877314
time_to_throw_sec,Nathaniel Hackett,2,911,2.64818879906354,2.67855035538993,-0.0303615563263885,-0.0929773428784549
time_to_throw_sec,Arthur Smith,4,2039,2.63076508169434,2.66855091192724,-0.0377858302328972,0.0781644256739836
time_to_throw_sec,Dave Canales,3,1744,2.61620412946363,2.65909700136666,-0.0428928719030334,0.0728072391349261
time_to_throw_sec,Shane Steichen,4,2249,2.59804357518722,2.65584580799695,-0.0578022328097324,0.114406388272851
time_to_throw_sec,Zac Robinson,2,1095,2.57315981818116,2.65216626925011,-0.079006451068948,0.105879983806038
