model,off_play_caller,ll_motion,n_motion,ll_still,n_still,n,gap,motion_rate,lo,hi,rank,pct
play_action,Zac Robinson,0.30184764005032766,699,0.1365472243863738,478,1177,0.16530041566395387,0.5938827527612575,NA,NA,7,83
play_action,Bo Hardegree,0.31732049544613367,394,0.15506538755960025,445,839,0.1622551078865334,0.4696066746126341,NA,NA,8,81
play_action,Zac Taylor,0.3951290592944042,1059,0.2383837454518049,1723,2782,0.15674531384259927,0.38066139468008625,NA,NA,9,78
play_action,Matt Canada,0.32149501478943193,285,0.17241093993188447,701,986,0.14908407485754746,0.28904665314401623,NA,NA,10,75
play_action,Matt LaFleur,0.410433457522142,1113,0.2615099143732489,1198,2311,0.1489235431488931,0.48160969277369103,NA,NA,11,72
play_action,Scott Turner,0.3910336588536894,370,0.245830354533581,602,972,0.1452033043201084,0.38065843621399176,NA,NA,12,69
play_action,Luke Getsy,0.42388173611533203,685,0.2791959723188455,793,1478,0.1446857637964865,0.4634641407307172,NA,NA,13,67
play_action,Shane Waldron,0.39508581238814067,566,0.26871435096795043,1071,1637,0.12637146142019023,0.34575442883323154,NA,NA,14,64
play_action,Greg Roman,0.4067930470118372,886,0.28191174176983036,941,1827,0.12488130524200686,0.4849480021893815,NA,NA,15,61
play_action,Nathaniel Hackett,0.3401358814166905,314,0.21652737680759995,952,1266,0.12360850460909054,0.2480252764612954,NA,NA,16,58
play_action,Liam Coen,0.29860737893171724,686,0.1751029692874108,610,1296,0.12350440964430645,0.529320987654321,NA,NA,17,56
play_action,Todd Downing,0.38586856837928185,359,0.26601951090028875,622,981,0.1198490574789931,0.3659531090723751,NA,NA,18,53
play_action,Ken Dorsey,0.3722086718119532,580,0.2553110504250039,919,1499,0.11689762138694931,0.3869246164109406,NA,NA,19,50
play_action,Mike McCarthy,0.4463045727974365,642,0.33443337851156574,723,1365,0.11187119428587078,0.4703296703296703,NA,NA,20,47
play_action,Sean Payton,0.374896993309237,695,0.2634475618961398,1220,1915,0.11144943141309716,0.3629242819843342,NA,NA,21,44
play_action,Sean McVay,0.3130487905787384,1352,0.20442052996846702,1080,2432,0.1086282606102714,0.555921052631579,0.07392241040185801,0.1445862296684374,22,42
play_action,Kyle Shanahan,0.36799514753813684,1531,0.26353644236942914,801,2332,0.1044587051687077,0.6565180102915952,0.05968402015566789,0.14904584264202397,23,39
play_action,Ben Johnson,0.30729906863667206,1304,0.2112929672937268,1198,2502,0.09600610134294527,0.5211830535571543,0.06244587591897711,0.12927220690638527,24,36
play_action,Andy Reid,0.35481430215144893,1528,0.2755671692260733,1274,2802,0.07924713292537561,0.5453247680228408,NA,NA,25,33
play_action,Kevin Stefanski,0.36256739913562974,713,0.2848280658474472,1231,1944,0.07773933328818255,0.36676954732510286,NA,NA,26,31
play_action,Mike Kafka,0.36238382717968254,638,0.28504844468706586,1276,1914,0.07733538249261668,0.3333333333333333,NA,NA,27,28
play_action,Kevin O'Connell,0.31436406064648864,1206,0.23741468608660962,1428,2634,0.07694937455987902,0.45785876993166286,NA,NA,28,25
play_action,Press Taylor,0.3629426616676086,492,0.29063181368883256,818,1310,0.07231084797877602,0.3755725190839695,NA,NA,29,22
play_action,Bobby Slowik,0.3080551048641016,725,0.24449878657747273,594,1319,0.06355631828662886,0.5496588324488249,NA,NA,30,19
play_action,Kellen Moore,0.37369220056427616,1311,0.3140745754589883,1206,2517,0.05961762510528784,0.5208581644815257,NA,NA,31,17
play_action,Todd Monken,0.34914731701911633,770,0.2932083307128557,879,1649,0.05593898630626065,0.46694966646452396,NA,NA,32,14
play_action,Klint Kubiak,0.32093856894038036,740,0.26695408141713783,693,1433,0.05398448752324253,0.5163991625959525,NA,NA,33,11
play_action,Shane Steichen,0.4341579796490255,922,0.38022602489682333,1511,2433,0.053931954752202194,0.3789560213727908,NA,NA,34,8
play_action,Joe Brady,0.3251102943237812,854,0.29038253776874245,569,1423,0.034727756555038736,0.6001405481377372,NA,NA,35,6
play_action,Drew Petzing,0.31277863664843536,783,0.28346348014361755,1204,1987,0.029315156504817808,0.39406139909411175,NA,NA,36,3
