off_play_caller,presnap_tip,n_look,n_plays_car,guess_xs,H_vs_lg,epa_play,last_season,tip_resid,pct_call,pct_look_raw,pct_look_adj
Kliff Kingsbury,0.026505564231459,5265,5280,2.632947018437627,-0.025320457153613106,0.016760132716928933,2025,-0.008201828944688225,88.75,50,20
Klint Kubiak,0.0220275558561962,2998,3007,1.1222102871179305,-0.0010384392017246833,0.005569328838053005,2025,-0.006456453399088275,27.5,32.5,28.75
Kyle Shanahan,0.04281881197137405,8775,9766,1.5298615659347425,-0.010706477385894657,0.054019119202328283,2025,0.0013132370949414539,51.25,87.5,60
Liam Coen,0.04307846822588868,1816,1818,1.154784362377714,-0.012251215194525164,0.07275715393969605,2025,0.02015704697193682,31.25,88.75,98.75
Luke Getsy,0.01994277155764756,2103,2105,-0.0851845069990959,0.007888263837396456,-0.07202741622628646,2024,-0.004598971780718201,6.25,26.25,36.25
Marc Trestman,0.00904553870964364,344,1348,2.3965033114013,-0.017710454116280958,-0.07681476702439145,2016,-0.010569376420975152,80,2.5,12.5
Marty Mornhinweg,0.02485385352524172,2381,2406,1.4269128735058814,-0.006446174714227406,-0.03666242582035335,2018,-0.0011652983866364084,47.5,38.75,53.75
Matt Canada,0.02656688093597947,2350,2358,0.9127841615908033,-0.009027853882483264,-0.040241342354774765,2023,7.704931946299136e-4,20,51.25,58.75
Matt LaFleur,0.02746535654782811,6980,6995,1.6228479061838694,-0.01356274212831973,0.0896673267079576,2025,-0.010351273578905484,56.25,55,13.75
Matt Nagy,0.01709082884513646,2608,2209,1.4152749032622864,-0.014350716264162611,-0.04330462259022823,2020,-0.007984002009034302,46.25,17.5,21.25
Mike Kafka,0.01836536020594781,2625,2629,1.4803636980031114,-0.008060004211693709,-0.04126928358403381,2025,-0.008633621767058852,48.75,21.25,17.5
Mike LaFleur,0.01763774587412936,1635,1612,1.3665401265258814,-0.01389318044523492,-0.11424009513515408,2022,-0.003954270575826241,45,20,40
Mike McCarthy,0.02945420684595801,4000,4429,1.822585560202312,-0.01106110748870766,0.030393139478096277,2024,-0.003310368355029369,63.75,62.5,41.25
Mike McDaniel,0.04359287295964043,3307,3315,1.344000152200345,-0.012314616064397165,0.022674553024854348,2025,0.014030906946534161,42.5,90,93.75
Mike Shula,0.01411453576423749,1801,2669,0.8901447343696046,-0.006704039913357975,-0.0029292211369896233,2017,-0.013051369695703832,18.75,8.75,7.5
Nathaniel Hackett,0.02816206356818262,3726,3495,0.32281240625767205,-0.0019280462374697128,-0.10548819552193084,2023,-0.001984406758328053,8.75,56.25,50
Nick Caley,0.02530981950015776,1045,1048,2.6465853014065344,-0.01469909779454781,-0.06969890718958999,2025,0.00847769592319488,92.5,41.25,80
Norv Turner,0.02313730438660688,1818,2712,2.4863694743994906,-0.02092161858570153,-2.1163056076765275e-4,2019,-0.004205276385286626,82.5,36.25,38.75
Pat Shurmur,0.03628962462778851,4498,4520,0.9300972826885889,-0.009639361153486984,-0.024322739998308585,2021,0.003300225249552226,21.25,76.25,66.25
Pep Hamilton,0.0081131440712866,764,1203,0.9557157017970838,-0.007862752001892943,-0.1782421248552644,2022,-0.010243752436753415,23.75,1.25,15
Pete Carmichael,0.03138223446095989,1785,1786,1.687208060583079,-0.012929810069179332,-0.03832084244890104,2023,0.00865712110282122,60,66.25,81.25
Press Taylor,0.03576476876197243,1706,1709,2.6018757470014418,-0.02212477781797701,-0.04645163145795813,2024,0.013526819176885167,86.25,75,92.5
