coach,spell,team,last,first,seasons,next_first,next_team,coach_after,replacement,moved_on,ended,key
Dennis Erickson,1,SF,2004,2003,2,NA,NA,Dennis Erickson,Mike Nolan,1,TRUE,Dennis Erickson 2003
Dennis Green,1,MIN,2001,1999,3,2004,ARI,Dennis Green,Mike Tice,1,TRUE,Dennis Green 1999
Dennis Green,2,ARI,2006,2004,3,NA,NA,Dennis Green,Ken Whisenhunt,1,TRUE,Dennis Green 2004
Dick Jauron,1,CHI,2003,1999,5,2006,BUF,Dick Jauron,Lovie Smith,1,TRUE,Dick Jauron 1999
Dick Jauron,2,BUF,2009,2006,4,NA,NA,Dick Jauron,Chan Gailey,1,TRUE,Dick Jauron 2006
Dick LeBeau,1,CIN,2002,2001,2,NA,NA,Dick LeBeau,Marvin Lewis,1,TRUE,Dick LeBeau 2001
Dick Vermeil,1,LA,1999,1999,1,2001,KC,Dick Vermeil,Mike Martz,1,TRUE,Dick Vermeil 1999
Dick Vermeil,2,KC,2005,2001,5,NA,NA,Dick Vermeil,Herm Edwards,1,TRUE,Dick Vermeil 2001
Dirk Koetter,1,TB,2018,2016,3,NA,NA,Dirk Koetter,Bruce Arians,1,TRUE,Dirk Koetter 2016
Dom Capers,1,HOU,2005,2002,4,NA,NA,Dom Capers,Gary Kubiak,1,TRUE,Dom Capers 2002
Doug Marrone,1,BUF,2014,2013,2,2017,JAX,Doug Marrone,Rex Ryan,1,TRUE,Doug Marrone 2013
Doug Marrone,2,JAX,2020,2017,4,NA,NA,Doug Marrone,Urban Meyer,1,TRUE,Doug Marrone 2017
Doug Pederson,1,PHI,2020,2016,5,2022,JAX,Doug Pederson,Nick Sirianni,1,TRUE,Doug Pederson 2016
Doug Pederson,2,JAX,2024,2022,3,NA,NA,Doug Pederson,Liam Coen,1,TRUE,Doug Pederson 2022
Eric Mangini,1,NYJ,2008,2006,3,2009,CLE,Eric Mangini,Rex Ryan,1,TRUE,Eric Mangini 2006
Eric Mangini,2,CLE,2010,2009,2,NA,NA,Eric Mangini,Pat Shurmur,1,TRUE,Eric Mangini 2009
Frank Reich,1,IND,2022,2018,5,2023,CAR,Frank Reich,Shane Steichen,1,TRUE,Frank Reich 2018
Frank Reich,2,CAR,2023,2023,1,NA,NA,Frank Reich,Dave Canales,1,TRUE,Frank Reich 2023
Freddie Kitchens,1,CLE,2019,2019,1,NA,NA,Freddie Kitchens,Kevin Stefanski,1,TRUE,Freddie Kitchens 2019
Gary Kubiak,1,HOU,2013,2006,8,2015,DEN,Gary Kubiak,Bill O'Brien,1,TRUE,Gary Kubiak 2006
Gary Kubiak,2,DEN,2016,2015,2,NA,NA,Gary Kubiak,Vance Joseph,1,TRUE,Gary Kubiak 2015
George Seifert,1,CAR,2001,1999,3,NA,NA,George Seifert,John Fox,1,TRUE,George Seifert 1999
Greg Schiano,1,TB,2013,2012,2,NA,NA,Greg Schiano,Lovie Smith,1,TRUE,Greg Schiano 2012
Gregg Williams,1,BUF,2003,2001,3,NA,NA,Gregg Williams,Mike Mularkey,1,TRUE,Gregg Williams 2001
Gunther Cunningham,1,KC,2000,1999,2,NA,NA,Gunther Cunningham,Dick Vermeil,1,TRUE,Gunther Cunningham 1999
Gus Bradley,1,JAX,2016,2013,4,NA,NA,Gus Bradley,Doug Marrone,1,TRUE,Gus Bradley 2013
Herm Edwards,1,NYJ,2005,2001,5,2006,KC,Herm Edwards,Eric Mangini,1,TRUE,Herm Edwards 2001
Herm Edwards,2,KC,2008,2006,3,NA,NA,Herm Edwards,Todd Haley,1,TRUE,Herm Edwards 2006
Hue Jackson,1,LV,2011,2011,1,2016,CLE,Hue Jackson,Dennis Allen,1,TRUE,Hue Jackson 2011
Hue Jackson,2,CLE,2018,2016,3,NA,NA,Hue Jackson,Freddie Kitchens,1,TRUE,Hue Jackson 2016
Jack Del Rio,1,JAX,2011,2003,9,2015,LV,Jack Del Rio,Mike Mularkey,1,TRUE,Jack Del Rio 2003
Jack Del Rio,2,LV,2017,2015,3,NA,NA,Jack Del Rio,Jon Gruden,1,TRUE,Jack Del Rio 2015
Jason Garrett,1,DAL,2019,2011,9,NA,NA,Jason Garrett,Mike McCarthy,1,TRUE,Jason Garrett 2011
Jay Gruden,1,WAS,2019,2014,6,NA,NA,Jay Gruden,Ron Rivera,1,TRUE,Jay Gruden 2014
Jeff Fisher,1,TEN,2010,1999,12,2012,LA,Jeff Fisher,Mike Munchak,1,TRUE,Jeff Fisher 1999
Jeff Fisher,2,LA,2016,2012,5,NA,NA,Jeff Fisher,Sean McVay,1,TRUE,Jeff Fisher 2012
Jeff Hafley,1,MIA,2026,2026,1,NA,NA,Jeff Hafley,NA,NA,FALSE,Jeff Hafley 2026
Jerod Mayo,1,NE,2024,2024,1,NA,NA,Jerod Mayo,Mike Vrabel,1,TRUE,Jerod Mayo 2024
Jesse Minter,1,BAL,2026,2026,1,NA,NA,Jesse Minter,NA,NA,FALSE,Jesse Minter 2026
Jim Caldwell,1,IND,2011,2009,3,2014,DET,Jim Caldwell,Chuck Pagano,1,TRUE,Jim Caldwell 2009
Jim Caldwell,2,DET,2017,2014,4,NA,NA,Jim Caldwell,Matt Patricia,1,TRUE,Jim Caldwell 2014
Jim Fassel,1,NYG,2003,1999,5,NA,NA,Jim Fassel,Tom Coughlin,1,TRUE,Jim Fassel 1999
Jim Harbaugh,1,SF,2014,2011,4,2024,LAC,Jim Harbaugh,Jim Tomsula,1,TRUE,Jim Harbaugh 2011
Jim Harbaugh,2,LAC,2026,2024,3,NA,NA,Jim Harbaugh,NA,NA,FALSE,Jim Harbaugh 2024
Jim Haslett,1,NO,2005,2000,6,NA,NA,Jim Haslett,Sean Payton,1,TRUE,Jim Haslett 2000
Jim Mora,1,IND,2001,1999,3,2004,ATL,Jim Mora,Tony Dungy,1,TRUE,Jim Mora 1999
