coach,spell,team,last,first,seasons,next_first,next_team,coach_after,replacement,moved_on,ended,key
Nick Sirianni,1,PHI,2026,2021,6,NA,NA,Nick Sirianni,NA,NA,FALSE,Nick Sirianni 2021
Norv Turner,1,WAS,2000,1999,2,2004,LV,Norv Turner,Marty Schottenheimer,1,TRUE,Norv Turner 1999
Norv Turner,2,LV,2005,2004,2,2007,LAC,Norv Turner,Art Shell,1,TRUE,Norv Turner 2004
Norv Turner,3,LAC,2012,2007,6,NA,NA,Norv Turner,Mike McCoy,1,TRUE,Norv Turner 2007
Pat Shurmur,1,CLE,2012,2011,2,2018,NYG,Pat Shurmur,Rob Chudzinski,1,TRUE,Pat Shurmur 2011
Pat Shurmur,2,NYG,2019,2018,2,NA,NA,Pat Shurmur,Joe Judge,1,TRUE,Pat Shurmur 2018
Pete Carroll,1,NE,1999,1999,1,2010,SEA,Pete Carroll,Bill Belichick,1,TRUE,Pete Carroll 1999
Pete Carroll,2,SEA,2023,2010,14,2025,LV,Pete Carroll,Mike Macdonald,1,TRUE,Pete Carroll 2010
Pete Carroll,3,LV,2025,2025,1,NA,NA,Pete Carroll,Klint Kubiak,1,TRUE,Pete Carroll 2025
Raheem Morris,1,TB,2011,2009,3,2024,ATL,Raheem Morris,Greg Schiano,1,TRUE,Raheem Morris 2009
Raheem Morris,2,ATL,2025,2024,2,NA,NA,Raheem Morris,Kevin Stefanski,1,TRUE,Raheem Morris 2024
Ray Rhodes,1,GB,1999,1999,1,NA,NA,Ray Rhodes,Mike Sherman,1,TRUE,Ray Rhodes 1999
Rex Ryan,1,NYJ,2014,2009,6,2015,BUF,Rex Ryan,Todd Bowles,1,TRUE,Rex Ryan 2009
Rex Ryan,2,BUF,2016,2015,2,NA,NA,Rex Ryan,Sean McDermott,1,TRUE,Rex Ryan 2015
Rob Chudzinski,1,CLE,2013,2013,1,NA,NA,Rob Chudzinski,Mike Pettine,1,TRUE,Rob Chudzinski 2013
Robert Saleh,1,NYJ,2024,2021,4,2026,TEN,Robert Saleh,Aaron Glenn,1,TRUE,Robert Saleh 2021
Robert Saleh,2,TEN,2026,2026,1,NA,NA,Robert Saleh,NA,NA,FALSE,Robert Saleh 2026
Rod Marinelli,1,DET,2008,2006,3,NA,NA,Rod Marinelli,Jim Schwartz,1,TRUE,Rod Marinelli 2006
Romeo Crennel,1,CLE,2008,2005,4,2012,KC,Romeo Crennel,Eric Mangini,1,TRUE,Romeo Crennel 2005
Romeo Crennel,2,KC,2012,2012,1,NA,NA,Romeo Crennel,Andy Reid,1,TRUE,Romeo Crennel 2012
Ron Rivera,1,CAR,2019,2011,9,2020,WAS,Ron Rivera,Matt Rhule,1,TRUE,Ron Rivera 2011
Ron Rivera,2,WAS,2023,2020,4,NA,NA,Ron Rivera,Dan Quinn,1,TRUE,Ron Rivera 2020
Scott Linehan,1,LA,2008,2006,3,NA,NA,Scott Linehan,Steve Spagnuolo,1,TRUE,Scott Linehan 2006
Sean McDermott,1,BUF,2025,2017,9,NA,NA,Sean McDermott,Joe Brady,1,TRUE,Sean McDermott 2017
Sean McVay,1,LA,2026,2017,10,NA,NA,Sean McVay,NA,NA,FALSE,Sean McVay 2017
Sean Payton,1,NO,2011,2006,6,2013,NO,Sean Payton,Aaron Kromer,1,TRUE,Sean Payton 2006
Sean Payton,2,NO,2021,2013,9,2023,DEN,Sean Payton,Dennis Allen,1,TRUE,Sean Payton 2013
Sean Payton,3,DEN,2026,2023,4,NA,NA,Sean Payton,NA,NA,FALSE,Sean Payton 2023
Shane Steichen,1,IND,2026,2023,4,NA,NA,Shane Steichen,NA,NA,FALSE,Shane Steichen 2023
Steve Mariucci,1,SF,2002,1999,4,2003,DET,Steve Mariucci,Dennis Erickson,1,TRUE,Steve Mariucci 1999
Steve Mariucci,2,DET,2005,2003,3,NA,NA,Steve Mariucci,Rod Marinelli,1,TRUE,Steve Mariucci 2003
Steve Spagnuolo,1,LA,2011,2009,3,NA,NA,Steve Spagnuolo,Jeff Fisher,1,TRUE,Steve Spagnuolo 2009
Steve Spurrier,1,WAS,2003,2002,2,NA,NA,Steve Spurrier,Joe Gibbs,1,TRUE,Steve Spurrier 2002
Steve Wilks,1,ARI,2018,2018,1,NA,NA,Steve Wilks,Kliff Kingsbury,1,TRUE,Steve Wilks 2018
Todd Bowles,1,NYJ,2018,2015,4,2022,TB,Todd Bowles,Adam Gase,1,TRUE,Todd Bowles 2015
Todd Bowles,2,TB,2026,2022,5,NA,NA,Todd Bowles,NA,NA,FALSE,Todd Bowles 2022
Todd Haley,1,KC,2011,2009,3,NA,NA,Todd Haley,Romeo Crennel,1,TRUE,Todd Haley 2009
Todd Monken,1,CLE,2026,2026,1,NA,NA,Todd Monken,NA,NA,FALSE,Todd Monken 2026
Tom Cable,1,LV,2010,2009,2,NA,NA,Tom Cable,Hue Jackson,1,TRUE,Tom Cable 2009
Tom Coughlin,1,JAX,2002,1999,4,2004,NYG,Tom Coughlin,Jack Del Rio,1,TRUE,Tom Coughlin 1999
Tom Coughlin,2,NYG,2015,2004,12,NA,NA,Tom Coughlin,Ben McAdoo,1,TRUE,Tom Coughlin 2004
Tony Dungy,1,TB,2001,1999,3,2002,IND,Tony Dungy,Jon Gruden,1,TRUE,Tony Dungy 1999
Tony Dungy,2,IND,2008,2002,7,NA,NA,Tony Dungy,Jim Caldwell,1,TRUE,Tony Dungy 2002
Tony Sparano,1,MIA,2011,2008,4,NA,NA,Tony Sparano,Joe Philbin,1,TRUE,Tony Sparano 2008
Urban Meyer,1,JAX,2021,2021,1,NA,NA,Urban Meyer,Doug Pederson,1,TRUE,Urban Meyer 2021
Vance Joseph,1,DEN,2018,2017,2,NA,NA,Vance Joseph,Vic Fangio,1,TRUE,Vance Joseph 2017
Vic Fangio,1,DEN,2021,2019,3,NA,NA,Vic Fangio,Nathaniel Hackett,1,TRUE,Vic Fangio 2019
