season,team,qb_epa_db,n_db
2014,NO,0.105268860117888,698
2014,ATL,0.0889293401813369,683
2014,DET,0.0595002822760814,665
2014,NYG,0.0657275372724005,642
2014,NYJ,-0.0862172155342313,591
2014,LV,-0.154964910503652,663
2014,ARI,0.0196968273147404,613
2014,LAC,0.111456018322922,630
2014,DAL,0.262305898373093,516
2014,SF,0.0341890548502343,588
2014,KC,0.0867400542737067,580
2014,TEN,-0.0981672338762465,591
2014,HOU,0.0326964493659455,543
2014,WAS,-0.0680478813593505,629
2015,BAL,-0.0352881987067199,706
2015,DEN,-0.0587285009565182,656
2015,JAX,0.0215300647875076,687
2015,CAR,0.157048529561516,559
2015,LV,-0.00964885050706253,657
2015,CIN,0.217427878841037,572
2015,NYJ,0.118182193791937,659
2015,CLE,-0.0531911323175357,706
2015,DET,0.0256137487447173,703
2015,LAC,0.0791287313598344,718
2015,CHI,0.0294283390122856,576
2015,GB,0.0185535700821226,665
2015,IND,-0.0277536976857693,690
2015,BUF,0.0915524312591801,559
2015,KC,0.0618529044004014,577
2015,HOU,0.00773608595384963,667
2015,WAS,0.170003461174874,589
2015,MIA,0.000689705439739139,639
2015,SF,-0.0683687226745473,628
2015,MIN,0.014460371581789,527
2015,ARI,0.226629016830449,590
2015,NO,0.147493494070907,702
2015,DAL,-0.102697865440132,578
2015,NYG,0.0851944931915577,657
2015,PHI,-0.0202349496534523,671
2015,ATL,0.0989046605707941,668
2015,PIT,0.0997621664087405,647
2015,NE,0.178503321086796,672
2015,SEA,0.241959301423554,592
2015,LA,-0.194616733230049,497
2015,TEN,-0.0821214977810639,620
2015,TB,0.0894125021297968,597
2016,BAL,-0.0437704346570321,718
2016,BUF,0.0767118028498028,571
2016,DEN,-0.0209811635993082,630
2016,CAR,-0.0614419859710533,613
2016,HOU,-0.0722485564607402,630
2016,CHI,-0.00280034245171695,590
2016,CIN,0.0951182295835766,624
2016,NYJ,-0.110989430625294,608
2016,PHI,0.0386015888645417,662
2016,CLE,-0.0448530411885512,660
2016,IND,0.107648969907044,669
2016,DET,0.144806655124006,655
2016,JAX,-0.0289964474772972,696
2016,GB,0.213820038282049,698
2016,LA,-0.265826256317919,595
2016,SF,-0.0407528716551023,589
2016,SEA,0.0866816334151216,643
2016,MIA,0.067129268943282,520
2016,TEN,0.0831936993273284,557
2016,MIN,0.070333036383159,635
2016,ARI,0.0141683979340673,692
2016,NE,0.26034602534288,594
2016,DAL,0.219683280071083,539
2016,NYG,-0.0376863876882592,623
2016,NO,0.148482644640956,699
2016,LV,0.0976750285335294,635
2016,WAS,0.180479605536526,638
2016,PIT,0.150766268666586,625
2016,KC,0.0819848143856973,600
2016,LAC,0.0610536028261726,623
2016,ATL,0.299314557793623,594
2016,TB,0.115793040830805,647
2017,ARI,-0.139320374869335,667
2017,DET,0.0518852758646249,638
2017,ATL,0.159922730278091,568
2017,CHI,-0.10698829733812,533
2017,CIN,-0.0811779810611935,560
2017,BAL,-0.0771240203720901,599
2017,CAR,0.00606031331458068,567
2017,SF,-0.0230923081594946,665
2017,LA,0.10925423070137,554
2017,IND,-0.128366162687172,582
2017,JAX,0.0703928742015329,579
2017,HOU,-0.0636323324245703,605
2017,NE,0.219212520943658,630
2017,KC,0.171232513401294,615
2017,DEN,-0.141268404139867,658
2017,LAC,0.165291244171131,602
2017,NO,0.154586048015208,558
2017,MIN,0.122416682600168,574
2017,DAL,-0.0439792040107224,558
2017,NYG,-0.115577975581693,654
