coach,n_games,first_season,last_season,mean_residual,sd_residual
Jim Fassel,64,2000,2003,-0.03224566900735943,0.3324610317749586
Mike Holmgren,144,2000,2008,-0.034275892471883014,0.36597997108262886
Matt Eberflus,51,2022,2024,-0.03469958660228458,0.3565815267391401
Jim Bates,7,2004,2004,-0.04258926630279995,0.24537886950404228
Lovie Smith,193,2004,2022,-0.04318051211268362,0.3906954144510765
Robert Saleh,68,2021,2024,-0.04338629968445113,0.4312909124925226
Kevin Stefanski,101,2020,2025,-0.04419911748567079,0.3809105211575648
DeMeco Ryans,51,2023,2025,-0.04610977887805826,0.3981216927877259
Bill Callahan,43,2002,2019,-0.04712905841458368,0.3644081444982427
Jeff Fisher,256,2000,2016,-0.04877600995068718,0.37536058643445314
Josh McDaniels,53,2009,2023,-0.049185789801911656,0.4344250272116301
Marvin Lewis,256,2003,2018,-0.05048017496541175,0.3838828432239881
Todd Haley,45,2009,2011,-0.05086672907975221,0.4360574523152911
Dick LeBeau,45,2000,2002,-0.050930532014163685,0.38915731476942683
Joe Philbin,68,2012,2018,-0.051733319055599636,0.3842377233016756
Greg Schiano,32,2012,2013,-0.05273264231820543,0.37325489321129574
Raheem Morris,93,2009,2025,-0.05330339835712286,0.4336846577887152
Arthur Smith,51,2021,2023,-0.054087074516014674,0.3372457923385992
Cam Cameron,16,2007,2007,-0.05595465843152739,0.4280805176098003
Jim Tomsula,17,2010,2015,-0.05598429918801077,0.3759836423506867
Aaron Glenn,17,2025,2025,-0.05696088546591382,0.30590811346663366
Zac Taylor,116,2019,2025,-0.05890092638837393,0.3838139183358162
Dave Campo,48,2000,2002,-0.05983953377909741,0.37110041100360586
Mike Munchak,48,2011,2013,-0.05984170542156289,0.3407243635113926
Ken Whisenhunt,128,2007,2015,-0.062143929538401504,0.35861409521196547
Tom Cable,44,2008,2010,-0.06431656790151927,0.38168588141369614
Dennis Allen,87,2012,2024,-0.0648698547066857,0.4100372063774342
Terry Robiskie,18,2000,2004,-0.06585951365499894,0.39171175536746294
Brian Daboll,68,2022,2025,-0.06802813173241783,0.3200753315405681
Tony Sparano,73,2008,2014,-0.06935273116253397,0.3364657285604567
Vic Fangio,49,2019,2021,-0.07014277328328782,0.3846853496147851
Joe Gibbs,64,2004,2007,-0.07017535659021769,0.3923448203159024
Mike McDaniel,68,2022,2025,-0.07044615069891151,0.42869125704531125
Rod Marinelli,48,2006,2008,-0.07732891637070298,0.3395059522714774
Jonathan Gannon,51,2023,2025,-0.0775173302918196,0.3616647677689201
Rich Bisaccia,12,2021,2021,-0.07879240379989291,0.3039106295968966
Matt Nagy,65,2018,2021,-0.07921254528298576,0.3804708124433521
Pat Shurmur,65,2011,2019,-0.08150493028999371,0.35524636512952606
Brandon Staley,48,2021,2023,-0.08472221058686183,0.286676690008671
Dick Jauron,126,2000,2009,-0.087496356587064,0.3769729173628333
Bobby Ross,7,2000,2000,-0.08879332405220457,0.3677146509671304
Mike Mularkey,80,2004,2017,-0.09273528124108035,0.45632292171453875
Leslie Frazier,54,2010,2013,-0.09775414545597477,0.332473407460636
Joe Vitt,21,2005,2012,-0.09781273054782194,0.3763444596182831
Rob Chudzinski,16,2013,2013,-0.09925012185394413,0.32391729270888053
Mel Tucker,5,2011,2011,-0.10051823033665877,0.5123101668021306
Jay Gruden,85,2014,2019,-0.1014323635397307,0.36030145335211544
Jerod Mayo,17,2024,2024,-0.10212747715734348,0.34768070801117507
Dom Capers,64,2002,2005,-0.10296504166259578,0.3978665680832584
Romeo Crennel,95,2005,2020,-0.10410548745461962,0.3855969231328167
Gus Bradley,62,2013,2016,-0.10417254923040034,0.3838136232511928
Joe Judge,33,2020,2021,-0.10425267425369031,0.30653024595512823
Brian Schottenheimer,17,2025,2025,-0.10755973423903617,0.297850424647158
Dennis Erickson,32,2003,2004,-0.10890877575489732,0.40389769254989977
Chan Gailey,48,2010,2012,-0.1092937095937632,0.4872228151222973
Adam Gase,80,2016,2020,-0.11359222597589941,0.4072323279875956
Vince Tobin,9,2000,2000,-0.11421102201250415,0.3107234527391441
