off_play_caller,H_situ_m,n_look,H_look,presnap_tip
Marc Trestman,0.8449580208442253,344,0.8359124821345817,0.009045538709643641
Marty Mornhinweg,0.8408385671044664,2381,0.8159847135792246,0.02485385352524172
Matt Canada,0.8368562388373622,2350,0.8102893579013827,0.026566880935979476
Matt LaFleur,0.8490607946352111,6980,0.821595438087383,0.027465356547828113
Matt Nagy,0.8292238990677026,2608,0.8121330702225661,0.017090828845136463
Matt Patricia,0.8467387898530395,816,0.830994357317349,0.015744432535690467
Mike Kafka,0.8337911787227269,2625,0.8154258185167791,0.01836536020594781
Mike LaFleur,0.8114419957112806,1635,0.7938042498371513,0.017637745874129362
Mike McCarthy,0.8425055803053192,4000,0.8130513734593612,0.02945420684595801
Mike McCoy,0.8258574675913165,725,0.81274406389088,0.013113403700436455
Mike McDaniel,0.8341332815042404,3307,0.7905404085446,0.04359287295964043
Mike Shula,0.8411168491527238,1801,0.8270023133884863,0.01411453576423749
Mike Sullivan,0.8411910475528673,965,0.8281937972044293,0.012997250348438016
Nathaniel Hackett,0.8394727286675014,3726,0.8113106650993188,0.028162063568182627
Nick Caley,0.8326525704146764,1045,0.8073427509145187,0.02530981950015776
Nick Sirianni,0.8525052692494194,369,0.8387459870701939,0.013759282179225507
Norv Turner,0.8372441005428773,1818,0.8141067961562705,0.023137304386606883
Parks Frazier,0.847064435929071,407,0.8357083663916538,0.01135606953741719
Pat Shurmur,0.8295042237529049,4498,0.7932145991251164,0.03628962462778851
Pep Hamilton,0.8463413880747518,764,0.8382282440034652,0.008113144071286604
Pete Carmichael,0.8335806989273853,1785,0.8021984644664254,0.03138223446095989
Press Taylor,0.827041543814979,1706,0.7912767750530065,0.03576476876197243
Randy Fichtner,0.8244944281028134,2632,0.790236558855089,0.03425786924772434
Rich Scangarello,0.8385875030250118,811,0.8282433338872425,0.010344169137769366
Rick Dennison,0.8469518442159953,864,0.8341414426637503,0.012810401552244999
Rob Boras,0.8275560293204963,747,0.8033098042162802,0.024246225104216146
Rob Chudzinski,0.8408039753047383,1682,0.811939769932039,0.028864205372699292
Ryan Grubb,0.8384899668790557,893,0.810895954678196,0.027594012200859774
Scott Linehan,0.838513919017023,2682,0.7912814849717964,0.04723243404522659
Scott Milanovich,0.8145078165166347,214,0.8030573102738152,0.011450506242819514
Scott Turner,0.8503584400130724,3220,0.8235135410862657,0.026844898926806637
Sean McVay,0.8467571917751291,9146,0.792641012672615,0.054116179102514095
Sean Payton,0.8443504710649082,7870,0.7872090450461133,0.057141426018794905
Sean Ryan,0.8684813018133212,54,0.8615324478734302,0.0069488539398909754
Shane Steichen,0.8307411172934793,5489,0.8076898950520126,0.023051222241466718
Shane Waldron,0.8293441806553304,3073,0.7956452323547405,0.03369894830058995
Spencer Whipple,0.8294668721096646,52,0.823186787543238,0.006280084566426591
Steve Sarkisian,0.8382250099957798,1741,0.8166561052228299,0.021568904772949815
Tanner Engstrand,0.8263469263938553,644,0.8206652047687039,0.005681721625151459
Terry Robiskie,0.8459236966744248,1784,0.823890868661825,0.02203282801259976
Thomas Brown,0.8177910346486823,834,0.786647129711261,0.031143904937421252
Tim Kelly,0.8445993836604166,2325,0.8181728576856213,0.026426525974795334
Todd Downing,0.8418623803214782,3267,0.8148659499164339,0.02699643040504429
Todd Haley,0.8523542841502251,2305,0.8259413765052921,0.02641290764493298
Todd Monken,0.8379830982580372,2974,0.7974460736484114,0.04053702460962583
Tommy Rees,0.8170422553719436,449,0.8003409972834691,0.016701258088474558
Zac Robinson,0.8164252789214902,1882,0.7565771152239108,0.05984816369757939
Zac Taylor,0.8250596239992225,6277,0.786310310585994,0.038749313413228514
