pos_b,n,v,se,who,view,cur,cur_f
3rd,70,-0.41215937621682397,5.301375395263406,Ben Johnson,his signature package,fd,first-down rate (points of percentage)
4th-5th,33,5.380710022269105,8.264533993300514,Ben Johnson,his signature package,fd,first-down rate (points of percentage)
6th+,7,-15.76726576807149,11.805067092526464,Ben Johnson,his signature package,fd,first-down rate (points of percentage)
"1st snap
of the look",1924,0.847060278874756,0.20071866938963384,Shanahan,all of his plays,gain,yards per play
2nd,812,0.8868241833278281,0.3094932767825234,Shanahan,all of his plays,gain,yards per play
3rd,313,0.1539749633282629,0.4288889103592468,Shanahan,all of his plays,gain,yards per play
4th-5th,230,0.27126505591678696,0.5672314309424299,Shanahan,all of his plays,gain,yards per play
6th+,88,0.4513630623280404,1.0020369813606695,Shanahan,all of his plays,gain,yards per play
"1st snap
of the look",739,1.085381591266695,0.3407524055818892,Shanahan,his signature package,gain,yards per play
2nd,382,0.7522805239168951,0.4099943780525504,Shanahan,his signature package,gain,yards per play
3rd,131,1.1828195050589043,0.6900205932002567,Shanahan,his signature package,gain,yards per play
4th-5th,89,0.12831463927741152,0.7886608137681458,Shanahan,his signature package,gain,yards per play
6th+,9,-2.3433997382528404,1.9198607692725334,Shanahan,his signature package,gain,yards per play
"1st snap
of the look",1052,0.20595578384639326,0.252535020939977,McVay,all of his plays,gain,yards per play
2nd,707,0.21211231693742183,0.3233044530665112,McVay,all of his plays,gain,yards per play
3rd,435,1.812253387592486,0.5163906217561449,McVay,all of his plays,gain,yards per play
4th-5th,578,0.05570217734476299,0.3250443368261183,McVay,all of his plays,gain,yards per play
6th+,609,0.22767147554981498,0.3595669928405674,McVay,all of his plays,gain,yards per play
"1st snap
of the look",115,0.5276357996190079,0.7103282900894065,McVay,his signature package,gain,yards per play
2nd,63,0.04601444362844815,0.9229285814320006,McVay,his signature package,gain,yards per play
3rd,29,2.588969504975711,2.253130814493245,McVay,his signature package,gain,yards per play
4th-5th,29,1.4011895395564398,1.5186670348912383,McVay,his signature package,gain,yards per play
6th+,13,0.5361897437699946,1.4576528318455564,McVay,his signature package,gain,yards per play
"1st snap
of the look",2103,0.5534488507248868,0.18278558708152326,Ben Johnson,all of his plays,gain,yards per play
2nd,766,-0.09881877547093604,0.2885368684506959,Ben Johnson,all of his plays,gain,yards per play
3rd,314,0.24178078589354668,0.484398376896064,Ben Johnson,all of his plays,gain,yards per play
4th-5th,264,-0.3160151837693,0.5986012580140853,Ben Johnson,all of his plays,gain,yards per play
6th+,124,1.1092145656984245,0.9076648715660321,Ben Johnson,all of his plays,gain,yards per play
"1st snap
of the look",724,0.7038606625623084,0.29260796643450837,Ben Johnson,his signature package,gain,yards per play
2nd,223,-0.38014577234550134,0.44997674814121735,Ben Johnson,his signature package,gain,yards per play
3rd,55,-1.9156763839386575,0.8565182718636933,Ben Johnson,his signature package,gain,yards per play
4th-5th,30,1.7272878354032901,1.2631087533080865,Ben Johnson,his signature package,gain,yards per play
6th+,5,-1.5942655500011802,1.0224667563258678,Ben Johnson,his signature package,gain,yards per play
