"measure","coach","wins_per_season","sample","sample_unit","eligible","outside_cone","z"
"Draft-talent model (2003-2025)","Steve Spurrier",-0.567202659497452,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Rob Chudzinski",-0.619295892276022,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Todd Haley",-0.61997130333374,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Marc Trestman",-0.623137371870111,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Matt Eberflus",-0.675209495636417,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Ben McAdoo",-0.681731314782629,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Dennis Allen",-0.689722332135589,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Dan Reeves",-0.746503323656895,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Ken Whisenhunt",-0.749706561337774,8,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Jim Schwartz",-0.756787000936146,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Matt Rhule",-0.758161135616214,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Butch Davis",-0.78157689290824,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Kevin Stefanski",-0.802096889615577,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Jerod Mayo",-0.808233453644545,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Scott Linehan",-0.820443168955574,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Mike Pettine",-0.846514992153789,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Arthur Smith",-0.848429501221363,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Jonathan Gannon",-0.909226692606987,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Lane Kiffin",-0.941850692655374,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","David Culley",-1.03158891471233,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Pat Shurmur",-1.03326743707574,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Chan Gailey",-1.04739260736106,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Jim Fassel",-1.0516842524628,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Jim Tomsula",-1.07267153301663,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Raheem Morris",-1.08714152334927,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Brian Daboll",-1.14882940012761,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Matt Patricia",-1.16294674810292,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Art Shell",-1.17377737451262,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Cam Cameron",-1.17406417173433,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Bobby Petrino",-1.22697055770086,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Steve Mariucci",-1.28268528804447,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Steve Wilks",-1.33029729742137,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Romeo Crennel",-1.3678545162475,6,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Joe Judge",-1.38383269209333,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Jim Haslett",-1.4160473102255,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Aaron Glenn",-1.42229210230339,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Tom Cable",-1.45022037593812,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Robert Saleh",-1.48291064906456,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Dom Capers",-1.55038152692921,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Dave Canales",-1.56892042815146,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Urban Meyer",-1.59422252837115,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Dave McGinnis",-1.61757993175531,1,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Adam Gase",-1.71931527357017,5,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Bill Callahan",-1.77198178322804,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Brian Callahan",-1.80471156452055,2,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Rod Marinelli",-1.8807252969324,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Gus Bradley",-1.98032299968966,4,"seasons",TRUE,NA,NA
"Draft-talent model (2003-2025)","Hue Jackson",-2.11752969571777,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Mike Nolan",-2.24374862649268,3,"seasons",FALSE,NA,NA
"Draft-talent model (2003-2025)","Steve Spagnuolo",-2.4262395199052,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Bill Belichick",2.92707289782625,11,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","John Harbaugh",2.04720881830239,13,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Bruce Arians",1.86631536820506,5,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Sean McDermott",1.57306971562283,9,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Andy Reid",1.54624725082894,14,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Pete Carroll",1.42765300990557,13,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","John Fox",1.21441682189369,6,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Sean McVay",1.17748064689046,9,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Jim Harbaugh",1.17645159969121,5,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Sean Payton",1.12984783574242,11,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Jason Garrett",1.12697845174574,8,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Mike Macdonald",1.12179664973055,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Kyle Shanahan",0.958574362278249,9,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Marvin Lewis",0.87908295432175,7,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Mike Tomlin",0.875802941045019,13,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Mike McCarthy",0.815247909691537,12,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Matt LaFleur",0.799307499362445,7,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Mike Vrabel",0.796733490326471,7,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","DeMeco Ryans",0.735584850092361,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Anthony Lynn",0.701894739974443,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Mike Zimmer",0.646423673975418,8,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Liam Coen",0.565506726013233,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Nick Sirianni",0.560452008504964,5,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Chuck Pagano",0.469264960498507,6,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Bill O'Brien",0.465631231850535,6,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Dan Quinn",0.392243709233918,7,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Tom Coughlin",0.350220729957683,4,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Gary Kubiak",0.323491508058613,4,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Kevin O'Connell",0.301068405799638,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Jim Caldwell",0.262446249654378,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Shane Steichen",0.23895379144451,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Norv Turner",0.236080701476183,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Dan Campbell",0.195417624353344,4,"seasons",TRUE,NA,NA
