caller,seasons,plays,epa,first,last,class,side,rank_in_side,rank_in_class
Phil Snow,3,2344,-0.013529352897151342,2020,2022,Sophomores (3-4),"Defense: EPA per play allowed, flipped",53,11
Rex Ryan,3,3042,-0.014663273538153797,2013,2016,Sophomores (3-4),"Defense: EPA per play allowed, flipped",54,12
Kevin Coyle,4,3429,-0.01586847570285278,2012,2015,Sophomores (3-4),"Defense: EPA per play allowed, flipped",55,13
Bill Sheridan,2,2021,-0.016111512759755052,2012,2013,Freshmen (1-2),"Defense: EPA per play allowed, flipped",56,9
Al Holcomb,2,1817,-0.019294002134717644,2018,2022,Freshmen (1-2),"Defense: EPA per play allowed, flipped",57,10
Greg Manusky,7,7142,-0.019588886270024173,2012,2019,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",58,35
Ken Norton,7,7301,-0.02270140881221879,2015,2021,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",59,36
Aaron Glenn,4,4183,-0.022839187584633044,2021,2024,Sophomores (3-4),"Defense: EPA per play allowed, flipped",60,14
Joe Barry,5,5110,-0.028093677334035914,2015,2023,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",61,37
Ray Horton,5,5223,-0.029309681760200892,2012,2016,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",62,38
Sean Desai,2,1838,-0.03058091859041521,2021,2023,Freshmen (1-2),"Defense: EPA per play allowed, flipped",63,11
Lou Anarumo,8,8088,-0.03155101953052433,2015,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",64,39
Patrick Graham,7,7428,-0.033937360013845744,2019,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",65,40
Clint Hurtt,2,2237,-0.035908169173584345,2022,2023,Freshmen (1-2),"Defense: EPA per play allowed, flipped",66,12
Paul Guenther,7,6925,-0.03600150553280147,2014,2020,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",67,41
Jerry Gray,2,2077,-0.03624923100883959,2012,2013,Freshmen (1-2),"Defense: EPA per play allowed, flipped",68,13
Ryan Nielsen,2,2181,-0.0364678003735428,2023,2024,Freshmen (1-2),"Defense: EPA per play allowed, flipped",69,14
Lovie Smith,3,3226,-0.03671162921499366,2015,2022,Sophomores (3-4),"Defense: EPA per play allowed, flipped",70,15
Richard Smith,2,1725,-0.03718214711137099,2015,2016,Freshmen (1-2),"Defense: EPA per play allowed, flipped",71,15
Marquand Manuel,2,2001,-0.039231953767872696,2017,2018,Freshmen (1-2),"Defense: EPA per play allowed, flipped",72,16
Bob Babich,3,3212,-0.04367051901369931,2013,2015,Sophomores (3-4),"Defense: EPA per play allowed, flipped",73,16
Shane Bowen,6,6081,-0.04456980197272899,2020,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",74,42
Mike Smith,3,2318,-0.04993754509113532,2016,2018,Sophomores (3-4),"Defense: EPA per play allowed, flipped",75,17
Mike Nolan,4,4051,-0.051224435314415256,2012,2020,Sophomores (3-4),"Defense: EPA per play allowed, flipped",76,18
Ejiro Evero,4,4181,-0.052356342733750456,2022,2025,Sophomores (3-4),"Defense: EPA per play allowed, flipped",77,19
Jim Haslett,3,2966,-0.057382826087527886,2012,2014,Sophomores (3-4),"Defense: EPA per play allowed, flipped",78,20
Rob Ryan,4,3560,-0.05796639853942219,2012,2015,Sophomores (3-4),"Defense: EPA per play allowed, flipped",79,21
Ron Rivera,3,1585,-0.061559942030128545,2018,2023,Sophomores (3-4),"Defense: EPA per play allowed, flipped",80,22
Joe Whitt Jr.,2,1638,-0.0626916303800929,2024,2025,Freshmen (1-2),"Defense: EPA per play allowed, flipped",81,17
Ted Monachino,2,2028,-0.06457795501522907,2016,2017,Freshmen (1-2),"Defense: EPA per play allowed, flipped",82,18
Dennard Wilson,2,1989,-0.06502621831770106,2024,2025,Freshmen (1-2),"Defense: EPA per play allowed, flipped",83,19
Jason Tarver,3,3014,-0.06580514352992026,2012,2014,Sophomores (3-4),"Defense: EPA per play allowed, flipped",84,23
Anthony Weaver,3,2803,-0.068214012995902365,2020,2025,Sophomores (3-4),"Defense: EPA per play allowed, flipped",85,24
Alan Williams,4,3339,-0.07107916803663604,2012,2023,Sophomores (3-4),"Defense: EPA per play allowed, flipped",86,25
