sim,shift_no_trait,shift_fitted_trait,persistence_r3_no_trait,persistence_r3_fitted_trait,persistence_r5_no_trait,persistence_r5_fitted_trait,shift_no_trait_vol_censored,shift_fitted_trait_vol_censored,shift_no_trait_wins_rule
99,2.16261364103313,1.22832963650247,0.31251349804152,0.167223645630094,0.570812901785757,0.191091802594725,2.74047772562188,2.96963563028418,2.52866908849251
100,2.03160353877963,2.6383299560098,0.077318733527531,0.313887067457407,-0.148590748739334,0.404970860966312,2.61458780286053,2.04957578201562,1.47445196482485
101,2.89469011937848,2.45216590518442,-0.0662498336184501,0.159813210709033,0.1117846441727,0.392445079505061,2.61638290720095,2.49779762007412,1.63351813448507
102,2.75654490303149,3.63329266708924,-0.011545285163751,0.206744043863351,-0.12033289212355,0.222000369663149,2.39114925588089,2.67840074374674,2.04024796068396
103,2.33856318936901,2.81150296281554,0.205871809186432,-0.0112443755909393,0.329653134839019,0.0761370665148629,1.88352382998553,3.24978814597011,2.27664748968564
104,1.77632193945178,2.45670298804383,0.0957453103336689,0.282904646179241,0.351921969529422,0.280643905375646,2.53543390875118,3.36974028418587,2.21072808449
105,1.47411178660761,1.97469518427547,0.101202386149957,0.299536838727506,0.318025498360405,0.608881872646356,1.57045873566205,2.13624948124366,1.55860882437786
106,3.02328254778835,2.62133956511298,0.125271544914974,0.319076751624125,0.222127715251999,0.327451704369402,2.86059148941845,2.11586873213426,2.06052233926105
107,2.74557760110272,2.0872693509905,0.0778063152311568,0.197728786480366,0.166007301872513,0.042773168709839,1.75732073110595,2.55576532135213,2.05504945627324
108,2.93510529393779,3.16256538099376,-0.0469797821430826,0.21389101759725,-0.287828886399128,0.224829605373057,1.98070438727068,2.10223462993818,2.91868894576976
109,2.72691502039922,2.93599468283753,-0.147840147226336,0.159799360182922,0.125780234754822,0.0759790404459509,1.97194820100776,2.70878320010398,2.59738868668715
110,2.42063193308705,1.58786616021288,0.217042375402783,0.394774121935848,0.337790126887383,0.234583492637792,1.84557545777991,2.69159587142766,2.20577726556801
111,2.58479628861698,3.027912475722,0.0911130950356513,0.00304236786920426,0.237579406850463,0.18077393526618,2.88421860448783,3.35710942009894,2.17160159430296
112,1.89658301617408,2.94354671864456,-0.0113269756862366,0.396536376765146,-0.154290409979968,0.101000832066872,2.66778724593373,2.43041329117047,1.69472793543026
113,1.48524834843261,3.04399728170431,0.047253085826087,0.213656096443443,0.261846640545202,0.300468225669357,2.24900520819484,3.39772781145273,2.37754386075791
114,2.3390009081809,2.56475982110362,0.125229328902385,0.025012912860514,0.0678424451031847,0.541972282625055,1.97915677162401,3.30167697977345,2.49805045085756
115,3.21802866950047,2.80451921023143,0.280925427082404,0.227022280395391,0.0845844740803324,0.474885196578309,2.72604630662855,2.71482363686953,1.82466182998648
116,2.06530296998301,2.36269161144872,0.272096882737419,0.121701906295764,0.42355527042892,0.490897675465183,2.25599936290584,3.48943418337596,1.52883369880501
117,3.37520492311122,3.0084857453068,-0.107900486054584,0.330464735274924,-0.00205061345440486,0.439381744007357,3.3114294516936,2.73699377414559,1.60878165362287
118,2.54883400645151,2.1910689996461,0.172635666601717,0.29516614720287,0.226891278202153,0.608447079105085,2.62154247831186,3.35027576767197,2.2455895591067
119,2.11100762511911,2.48242510162519,0.252354893633123,0.302372617932257,0.317892662705837,0.079709767927028,2.37487829486589,3.26081131470286,1.43529659326902
120,1.42896448659721,2.20263766093741,-0.0409207280117772,0.240763605724453,0.336503862406665,0.229581376610005,2.19632137346779,1.90047462851852,3.09893838907038
121,1.86463026231558,2.79513386903997,0.281244375117296,0.238354881695076,-0.0656147571710527,0.447394261093134,2.51900061505993,2.90176678969199,1.69340237593858
122,2.05198783404668,2.25187650695907,0.193220445473615,0.352483700140412,0.396934026746605,0.39475267450338,2.80421181938743,1.518539677439,2.23389042079594
123,2.25561411631581,2.40712702447713,0.338538788837503,0.245415360919225,0.574429648822392,0.128309089605825,2.44374006653357,1.74791002373429,2.31492819585372
124,1.93337766489119,3.1117729220145,0.0523149525419579,0.118116104061679,0.00165607408805876,0.396033582683147,1.89965874464435,2.83450017096143,2.63803985876498
125,2.4259470667844,1.52805275926004,0.132916159014736,0.321400984618801,0.141436179868154,0.538396788626243,2.59998452151173,2.5902882247139,2.4617160612177
126,2.13861677494817,3.34990850496165,0.0664118822278191,0.219041803418331,-0.0899883830385958,0.260132798017274,3.04126159911941,3.69048460646811,1.23848341593768
127,1.5413678236165,2.42408752804035,-0.0911838990759685,0.472268577310028,0.161174384552579,0.317290812810785,2.77929383586743,1.99567041557197,3.12583873564564
128,2.57211686272977,2.95977007947299,-0.218627835498986,0.0735054359660985,-0.157381928702454,0.027592655674937,2.43654062772462,3.32362799213315,1.52440981728138
129,3.25389303436018,2.7184658480603,0.016563411875909,0.259696414792275,0.0384449847992789,0.301395278850624,2.04541041088862,3.35674554397804,1.86662764199578
130,1.76244346158657,2.88741420692156,0.0776732267588656,0.0523734668693751,0.0177328664981935,0.280908947921232,2.53298213510085,2.63748432144424,3.11656003746343
131,2.32427096243224,2.12210339296942,0.190895458629107,0.262108389658321,0.29493130424522,0.488383575247787,2.52579818102662,2.18152511239502,2.94931970997631
132,1.84614318366096,2.1723473116669,0.171861660286036,0.362673475705004,-0.134033180716105,0.520080284209253,2.81802338725328,1.97571895993437,2.67732936598597
133,2.16621814365045,1.80560666109904,-0.0263135106240693,0.376771955735976,0.495550634677033,0.630078999270749,2.52554594082558,3.08425566619888,1.71602842733805
134,2.98077943165044,2.96082560901602,0.124903581657027,0.314666725246755,0.378130728855237,0.673293286273883,2.64782789421244,2.65626416005739,1.67813022668974
135,2.27314414948693,2.49373188284337,-0.0360017008725363,0.200307160419932,-0.0888763276580304,0.360185419053879,2.22225829862341,2.60023694249561,1.9952862053969
136,3.13987163888968,2.34291685864506,-0.060678979597763,0.0366478175461908,0.0931475227141961,0.504219479761412,2.95873616697848,2.67868172766759,2.66291218854179
137,2.64412274882082,2.18246929705371,0.0405541598671023,0.522806062479717,0.0585189443788969,0.563347963291959,2.30997635435987,3.26425137096132,2.42477467667161
138,2.00270213301216,2.85664668201473,0.11719939700423,0.249444421169656,0.401760402595509,0.0759659599409809,2.55746849868025,3.34443325994173,1.35898806088263
139,1.14551042237225,3.04574815670746,0.21723693654305,0.024218631000425,0.0793737026150525,0.150467845956829,2.93209590388161,2.13111544036151,1.96445448712212
140,1.97202549974424,2.58308780199152,-0.0338997111629149,0.244496936389149,0.127341069343848,0.305243280201037,3.45233322758327,2.11517602623459,1.97500691254032
141,2.65578269333997,2.22457930436877,0.265094450168916,0.0344181359552205,0.171284866347024,-0.142596851386499,2.85964333015482,3.81941660859707,1.54259061916056
142,1.43794804110059,2.85917996372049,0.1498423591672,0.475681293472264,-0.134320934288549,0.343738417594515,1.91382200075985,2.9663427036583,2.72321761033289
143,2.66692587647654,2.39664771121727,-0.0183755194131064,0.484106513484112,0.0514278208402731,0.440198647108582,3.20711207950097,2.13295576129253,2.40999777771896
144,2.31829737468081,2.43869452009037,0.0952409458665372,0.446318623619648,-0.170836029705629,0.31586451725846,2.69273751310589,2.44654292724581,2.87526698813243
145,3.15703836142355,2.7406647210189,0.0412482123031757,0.161138143605265,-0.196996886092876,0.340909713615142,1.08550264714638,2.36276826013598,1.77718512517598
146,3.30960708276387,1.73534804197881,0.251600299110968,-0.110963873018118,0.250212444894971,0.0204243025131234,3.27047010048232,2.16584670775468,1.75697581113861
147,3.49140517233534,2.98723136279101,0.155816313859972,0.260685179533556,0.339289148874576,-0.0676212489343134,2.7112485743517,2.5737564226385,2.20072825592001
148,2.27858056697843,2.22319134000062,-0.126908877686631,0.294176649078386,0.0101275581544165,0.43514862856198,2.47116465200163,2.46416101385353,3.48176661181776
149,2.01768518914682,3.0639181439176,-0.0926813451370588,0.234944971901152,0.0543961173485102,0.391692363154773,2.26202743804493,2.41788016623911,1.72559732535857
150,1.86006264620621,1.63833782671241,0.0224265432466138,0.296105781152998,0.538535820027156,0.632641849408478,2.48128511080884,2.26389328484244,2.38694170099563
151,2.71988501777968,2.5991969637537,0.312796305174671,0.195038542964926,0.02725062689386,0.244085383686793,2.38820381663349,2.72702313071751,1.56354359002713
152,1.81150961130664,1.59445848531407,0.165718914116377,0.0584111210922522,-0.0579645056561327,0.248337870622771,2.0552294005101,1.91695828796764,1.71250769168044
153,2.90452893108516,2.62211174003622,0.154831967809038,0.0677793579228653,0.0717507328330927,0.173380407851396,2.33768140895129,2.77015545523241,1.78071896716814
154,2.34641069327166,2.47168148865619,0.0687675535345646,0.301864391859345,0.339613998596904,0.515398671235897,2.20369032955275,2.99958705930955,1.69178501586831
155,2.20049227704372,2.31518984329308,0.248534672078998,0.123177224045413,0.282009855744596,0.306648414003936,2.57356372919914,3.10768642073299,1.28121906654499
156,2.26623265817353,2.66423411709948,-0.00498416591965021,0.142855199043855,0.213718075665054,0.167171293422978,1.47882351984914,1.75515085388555,1.24166719518299
157,2.22961072974986,2.29144259259435,0.118538869129167,0.155591242207071,0.141323032574732,0.453348361379644,3.15496147457116,1.08568768920195,3.03114483420335
158,2.77628368415498,1.9733283713385,0.28922827746236,0.202906074922934,0.29382078691342,0.605830846776346,1.78052192921245,2.38866857523266,2.52297006489951
159,2.46095145783662,3.29342432515326,0.260051142590133,0.111456268096626,0.278993185712973,-0.18194203589403,2.33403757537803,2.37932692420831,2.57143370349294
160,2.17290581639331,3.12137996613177,-0.155622068788491,0.0768693317452194,-0.287102170087773,-0.0428111266451498,1.80003550721041,2.32170217814125,2.49051432755739
