off_caller,n,mi_obs,mi_null,mi_null_sd,mi_excess,mi_z,guess_sit,guess_seq,guess_gain,lambda2,half_life,half_life_null,half_life_null_sd,half_life_excess,n2,mi1_excess,mi1_z,mi2_excess,mi2_z,selection,structure_obs,structure_null,structure_z,adj_epa
Ken Dorsey,1871,0.1548456056973643,0.13312091244548624,0.008885434066241886,0.021724693251878063,2.4449782745466444,35.79333333333333,34.344,-1.4493333333333283,0.1766938350999764,0.39989180684427633,0.25955134467556806,0.0214272322385589,0.14034046216870827,1523,0.009280749231415586,0.7098306708004257,0.01165998557655823,0.9001798615352341,-6.28336450830639e-4,0.07490677343242752,0.07937266528362473,-0.3534147177078492,-0.021735323387778758
Kevin O'Connell,3380,0.11816030037455161,0.07547925107419252,0.005095566788082624,0.042681049300359084,8.3761141940442,34.86666666666667,33.85733333333334,-1.0093333333333305,0.15898602262270767,0.3769277745670517,0.23578701329785512,0.014899767944572963,0.14114076126919656,2703,0.02402539745198687,2.820121258521731,0.009655772142178387,0.945612438585904,-8.83916509176107e-4,0.018558859765979607,0.03800757923138047,-2.5672956432614784,-0.03551561971771432
Kevin Stefanski,2585,0.1417388913208168,0.10888137757466823,0.006753702665635334,0.032857513746148564,4.865111091333127,35.428,35.12266666666667,-0.3053333333333299,0.1382839918685968,0.3503493408029076,0.24715825945477185,0.016548510147320502,0.10319108134813573,2059,0.02271076172876063,2.0864667438154068,0.016638096756535492,1.3054200385394499,-0.0010255546883938807,0.08469091930610963,0.0782218135636222,0.6249953524055641,-0.1314103897032625
Kliff Kingsbury,2599,0.12343483616674995,0.09805999390429539,0.006450410838146176,0.025374842262454567,3.933833502882307,37.934666666666665,37.35466666666667,-0.5799999999999983,0.1261726373666897,0.3348368598746676,0.24373375797616567,0.01705659433517682,0.09110310189850193,2131,0.019007429080960536,1.7992302397176392,0.0055264972923888545,0.4700913908567845,-9.188753694556388e-4,0.05102575601861749,0.052126277213904136,-0.1405734638302056,0.014205050696263757
Klint Kubiak,1978,0.1853813386798057,0.13601406307433916,0.00811029946492377,0.049367275605466526,6.086985544612136,30.226666666666667,30.965333333333334,0.738666666666667,0.16513359298301467,0.38486784925245665,0.2534531259856153,0.017832115817362684,0.13141472326684134,1569,0.04187790744710013,3.1924406293377268,0.014034444194759188,0.9957157198055026,-5.589903392891508e-4,0.08034127403039631,0.064142060211755,1.2216720984724485,-0.04083492299944061
Kyle Shanahan,3367,0.11424823058453967,0.08011002502295494,0.0048761939979601685,0.03413820556158473,7.000994131050892,31.788,31.27466666666667,-0.5133333333333319,0.14426003952597993,0.3580050905810272,0.23154675731296315,0.014395142164039133,0.12645833326806405,2745,0.03232634921030983,3.5922148186904024,0.008228233613538194,0.7388980369001836,-4.595078531101519e-4,0.037671776049522,0.04732811899298778,-1.3326002223750328,0.09549321546387168
Liam Coen,1730,0.16475890670668902,0.14973600961110312,0.01049593169241017,0.015022897095585908,1.431306675371114,33.68,34.47866666666667,0.7986666666666693,0.0982996020627792,0.2988044284843092,0.2556366089742416,0.01844361054935528,0.043167819510067595,1402,0.007926324405177043,0.482632796397034,0.008428310472078149,0.5884454491713713,8.740563717302895e-4,0.08546265134893659,0.0731265551693304,0.8871436954079157,0.0666324292553316
Luke Getsy,2090,0.15543390296472995,0.1300887729658812,0.008331386455751813,0.025345129998848748,3.0421263175651885,29.404000000000003,29.884,0.4799999999999969,0.15484903556213545,0.37159999512498293,0.24916772918166408,0.01586177160962841,0.12243226594331885,1666,0.01782785219923516,1.3759440720177645,0.011589806787813628,0.8531383376854501,-0.001670266961183879,0.09947379964084596,0.09848552413751363,0.07241204898234559,-0.09581705165952441
Matt LaFleur,3382,0.10370185239699894,0.08112161831712758,0.005503570932404225,0.022580234079871364,4.10283329809056,27.752,27.237333333333336,-0.5146666666666633,0.14623779600538855,0.3605407135422715,0.2370994381577413,0.017556410236204405,0.12344127538453023,2754,0.018917442846116517,2.0426979628438646,0.015408476727634235,1.2607437741440992,-0.0016819010113841614,0.03731996686085013,0.038387561495918716,-0.16393431497284486,0.04258549194571614
Mike Kafka,2579,0.13296330405171974,0.10548439541634748,0.006445812702615094,0.027478908635372265,4.263063465096334,33.86,34.896,1.0360000000000014,0.13918723500607208,0.35150605722880934,0.24053384605316205,0.01544009766870886,0.11097221117564729,2076,0.02741304708869141,2.277587315923269,0.02230895351789841,1.699842910565479,-0.0013317484840444742,0.04400882602267834,0.04874167697604841,-0.4968853221218726,-0.053718635627336
Mike McCarthy,1706,0.15938026016954895,0.14625379779536135,0.009757890111340137,0.013126462374187603,1.3452152283343177,32.40533333333333,32.016,-0.3893333333333331,0.14670602490699405,0.36114120957429974,0.2561339220023797,0.016431057914054352,0.10500728757192002,1395,0.006362309652417852,0.3852795158102476,0.02064598545158447,1.4009871153601194,-0.0014569020401641415,0.05365631104504009,0.06561437181524389,-0.9084127591296597,0.02068347797777787
Mike McDaniel,3226,0.11848269460932273,0.08529468099360588,0.005478274993573985,0.033188013615716855,6.058113850554487,30.72933333333333,30.430666666666667,-0.2986666666666622,0.15656562747595962,0.3738093362767217,0.24170447705164,0.01565910274566998,0.1321048592250817,2587,0.019350224951938833,2.0240338218621248,0.01940668767691811,1.5755223699122087,-0.0020551870450243983,0.034608209365674325,0.04630874875297727,-1.329178377569218,-0.012225758494681539
Nathaniel Hackett,1518,0.19673214090646796,0.15718800861569565,0.010976788968526687,0.039544132290772305,3.6025227782146154,36.541333333333334,38.59866666666667,2.0573333333333323,0.21681927144209356,0.45342526698370134,0.259646593732409,0.017110440717770885,0.19377867325129233,1186,0.029326985714790144,1.895595544843199,0.02771280694924605,1.787787863192466,-0.001150960142810243,0.16468705285919572,0.12895355522847685,2.2418564945588124,-0.21900579749197427
Pete Carmichael,1733,0.2082219371515712,0.1425089523109062,0.009445682067556424,0.06571298484066498,6.956933800087639,31.528,33.23733333333333,1.7093333333333334,0.18274790951585318,0.4078181692638366,0.2556700620598236,0.01781927889674179,0.152148107204013,1391,0.06743193213115023,4.404824433312367,0.030586230939976367,2.167778739745529,-0.0014645846901513364,0.07253213920746027,0.06802988560243987,0.3220891146355985,-0.0409877432400296
Press Taylor,1675,0.1660884904227071,0.14719063129107254,0.009354047619123578,0.018897859131634553,2.020286821396915,33.848,34.57333333333333,0.7253333333333316,0.1673518887652295,0.38774068470607465,0.25788388598150724,0.01941352351295788,0.1298567987245674,1348,0.037684049987686596,2.513745054541498,0.019075128544608355,1.3151617261512787,-3.8507804339871763e-4,0.10475415206294292,0.07679804324061615,1.9487590193056028,-0.06897603092755018
Sean McVay,3382,0.12134263657900057,0.08503888342866281,0.005116054812873537,0.036303753150337764,7.096044604328041,31.08533333333333,31.314666666666668,0.2293333333333365,0.15195649158547403,0.3678810708482442,0.2326705708869692,0.014354894963305982,0.13521049996127496,2755,0.04024705106451956,4.6308974863151375,0.03934181735998599,3.679260331312018,-0.0018328102158768858,0.03512201581476712,0.03373260257222085,0.21768445684339585,0.02296971385659225
Sean Payton,2519,0.1565256996075473,0.10997960838424542,0.007875361346014196,0.04654609122330189,5.910343561169973,33.07333333333333,32.912,-0.16133333333333155,0.13194722887842167,0.3422352084330101,0.2422998927153101,0.017491385046452184,0.09993531571769998,2011,0.04235559211803602,3.5781694312625136,0.02594542991109894,2.1358386216912333,-0.0016685257260719872,0.04873326850477196,0.04660196002379873,0.2248025574569581,-0.016057534473912415
Shane Steichen,3450,0.1370595413954803,0.08146190772551633,0.004681478475867985,0.05559763366996397,11.87608443711913,31.94533333333333,33.410666666666664,1.4653333333333336,0.22956417820157618,0.47102477945454024,0.2514337474862108,0.022324965120774136,0.21959103196832946,2769,0.04841111152791311,5.302521993832238,0.022784555104896298,1.9651359507408965,-0.0019487757454647234,0.02740248660165291,0.037488770828476195,-1.5116766888986255,0.01557560885634538
Shane Waldron,2107,0.16455862795192258,0.12966464269301503,0.008997040579649203,0.03489398525890755,3.8783847810841015,33.339999999999996,33.68933333333333,0.34933333333333394,0.12908874922385855,0.33857391269514153,0.2497962283154041,0.016945847506175154,0.08877768437973743,1687,0.0366409823122254,2.5547525635581216,0.023977683432875985,1.7218421923259806,-0.0012828209028235861,0.06349526595623507,0.053589943374135314,0.8754927112509712,-0.013312210073368969
Todd Monken,2458,0.12966057603981998,0.10680537322729866,0.007282609227123545,0.02285520281252132,3.13832612731695,32.312000000000005,32.26533333333334,-0.046666666666666856,0.1439228555741544,0.3575729179602851,0.25343561793933517,0.017667472827818283,0.10413730002094995,1969,0.02001170954356357,1.870698921633111,-0.0016076848788629805,-0.1407277582126972,-4.8635558013402063e-4,0.06216376015453886,0.06567764870704959,-0.352693989727175,0.08951825269176444
Zac Robinson,1716,0.19276106437068105,0.1425947948841435,0.009210013414234625,0.050166269486537546,5.446926864297785,40.44133333333333,40.988,0.5466666666666669,0.2253913020904691,0.4652252819411395,0.2654046806263649,0.01884616507793226,0.19982060131477458,1394,0.032024601259547425,2.4043882577805085,0.015678549677073605,1.0989282419942445,-0.002248194076002013,0.08124689607456717,0.06616318633682186,1.1517237958649649,-0.02860019352963024
Zac Taylor,3422,0.11625288501668557,0.07810431061033928,0.005118928244427159,0.038148574406346294,7.4524534404008556,39.20133333333333,38.83466666666667,-0.36666666666666003,0.13715279356639043,0.34890081223432873,0.2271726423296495,0.014322931192170268,0.12172816990467922,2772,0.032550084766968745,3.8032941254974792,-0.003358363050862123,-0.3309841519326199,-8.64175044480925e-4,0.03718212938231102,0.03952845904871707,-0.3757447513290173,0.008100574027662188
