off_play_caller,season,H_situ_m,n_look,H_look,presnap_tip
Kyle Shanahan,2017,0.8314692037502944,852,0.820139768938081,0.01132943481221338
Kyle Shanahan,2018,0.8437863038746019,745,0.829314126816271,0.014472177058330815
Kyle Shanahan,2019,0.855175272914914,933,0.84091203235529,0.014263240559624024
Kyle Shanahan,2020,0.8499983312099925,818,0.8371511465588798,0.012847184651112675
Kyle Shanahan,2021,0.8516711921980583,991,0.8352083740465827,0.016462818151475656
Kyle Shanahan,2022,0.8459700504927358,924,0.823890508662491,0.022079541830244742
Kyle Shanahan,2023,0.8490685400838258,875,0.8160528563658247,0.03301568371800112
Kyle Shanahan,2024,0.8575279181896013,811,0.8329668837571393,0.024561034432461937
Kyle Shanahan,2025,0.843235479436492,988,0.8114202527799594,0.03181522665653258
Liam Coen,2024,0.8398696718858276,934,0.8134475033380079,0.026422168547819758
Liam Coen,2025,0.8501262342339564,882,0.8181126671361433,0.03201356709781311
Luke Getsy,2022,0.8547674450110935,794,0.8471434446305067,0.0076240003805867484
Luke Getsy,2023,0.8427780629300354,882,0.8276593632724342,0.015118699657601264
Luke Getsy,2024,0.8358921410434503,427,0.816249636566068,0.01964250447738236
Marc Trestman,2016,0.8449580208442253,344,0.8359124821345817,0.009045538709643641
Marty Mornhinweg,2016,0.8196329288365856,605,0.8030340977075922,0.016598831128993408
Marty Mornhinweg,2017,0.8290567742545654,807,0.8105296707036336,0.01852710355093179
Marty Mornhinweg,2018,0.857094538094739,969,0.8412124631808041,0.015882074913934896
Matt Canada,2021,0.823628687430404,877,0.8021813061471484,0.021447381283255518
Matt Canada,2022,0.8429800709312204,960,0.8195863668683365,0.02339370406288388
Matt Canada,2023,0.8374791326687645,513,0.8214423269051727,0.016036805763591788
Matt LaFleur,2018,0.8540054538830385,791,0.8418901031599841,0.012115350723054363
Matt LaFleur,2019,0.8277037214200567,882,0.809596196316441,0.018107525103615685
Matt LaFleur,2020,0.8691469848538681,825,0.8570092991863234,0.012137685667544695
Matt LaFleur,2021,0.8499938133097984,910,0.8260374335854556,0.023956379724342836
Matt LaFleur,2022,0.8428650904098134,866,0.8312897273977439,0.011575363012069517
Matt LaFleur,2023,0.848982723806057,971,0.8311749848430593,0.0178077389629977
Matt LaFleur,2024,0.8472950929104573,802,0.833090244657247,0.014204848253210334
Matt LaFleur,2025,0.8428808857417657,933,0.8222112168378891,0.02066966890387656
Matt Nagy,2017,0.8510204091453519,265,0.8390293510518699,0.011991058093481999
Matt Nagy,2018,0.8396516904820089,905,0.8273563051158154,0.012295385366193567
Matt Nagy,2019,0.8206790979199847,818,0.8064880598450003,0.014191038074984452
Matt Nagy,2020,0.817048558790732,474,0.8048283123920916,0.012220246398640389
Matt Nagy,2021,0.8180223182423111,146,0.8103791294684022,0.007643188773908904
Matt Patricia,2022,0.8467387898530395,816,0.830994357317349,0.015744432535690467
Mike Kafka,2022,0.8283328780008407,935,0.8133755062144767,0.014957371786363916
Mike Kafka,2023,0.8235246527049846,753,0.8075816076261433,0.015943045078841367
Mike Kafka,2025,0.8347622593511904,937,0.8186540840222988,0.01610817532889164
Mike LaFleur,2021,0.8302825094436161,710,0.8179443259352264,0.012338183508389777
Mike LaFleur,2022,0.8018368408834825,893,0.7862278923364195,0.015608948547062962
Mike LaFleur,2025,0.9351049942591415,32,0.9227428763287374,0.012362117930404093
Mike McCarthy,2016,0.8295458341902425,973,0.8053917596867959,0.024154074503446643
Mike McCarthy,2017,0.8519994301506277,774,0.8379647298454479,0.014034700305179837
Mike McCarthy,2018,0.8363957933499971,644,0.822114732305475,0.014281061044522092
Mike McCarthy,2023,0.8452955947927533,765,0.8219976099446616,0.023297984848091646
Mike McCarthy,2024,0.8476389842679908,844,0.8266475543785249,0.020991429889465896
Mike McCoy,2017,0.822797546306319,501,0.8117691013886916,0.011028444917627334
Mike McCoy,2018,0.8265628288893404,224,0.8175876165495669,0.008975212339773497
Mike McDaniel,2022,0.8195269563826162,888,0.7944876812364422,0.02503927514617399
Mike McDaniel,2023,0.845203012209877,776,0.8098758768184301,0.03532713539144694
Mike McDaniel,2024,0.852355231102982,931,0.8218174305862795,0.030537800516702407
Mike McDaniel,2025,0.8337675230778392,712,0.821549793016253,0.012217730061586218
Mike Shula,2016,0.8412172461362926,809,0.8330667963195547,0.008150449816737848
Mike Shula,2017,0.8393013343466199,946,0.8261553844896025,0.013145949857017447
Mike Shula,2021,0.8235677349453809,46,0.818377187566351,0.005190547379029908
Mike Sullivan,2017,0.8465066877526604,583,0.8325666158692488,0.013940071883411509
Mike Sullivan,2023,0.8310734790446812,382,0.820713138543599,0.010360340501082255
Nathaniel Hackett,2016,0.8411842079458434,574,0.8325603658046783,0.008623842141165072
Nathaniel Hackett,2017,0.847321082117697,990,0.8329261699085306,0.014394912209166333
Nathaniel Hackett,2018,0.836425750533593,558,0.821556931862492,0.014868818671101014
Nathaniel Hackett,2022,0.8302725082609473,567,0.809783227992731,0.020489280268216392
Nathaniel Hackett,2023,0.8117817830591983,781,0.7924860423083492,0.019295740750849166
Nathaniel Hackett,2024,0.8233213111423144,256,0.8041855189613728,0.019135792180941635
Nick Caley,2025,0.8326525704146764,1045,0.8073427509145187,0.02530981950015776
Nick Sirianni,2021,0.8525052692494194,369,0.8387459870701939,0.013759282179225507
Norv Turner,2016,0.8152820153486462,333,0.7984699548112288,0.01681206053741735
Norv Turner,2018,0.849412579261243,835,0.8321464897581102,0.017266089503132798
Norv Turner,2019,0.8340760584030875,650,0.8196987244475092,0.014377333955578275
Parks Frazier,2022,0.847064435929071,407,0.8357083663916538,0.01135606953741719
Pat Shurmur,2016,0.8304152698713868,431,0.8087783572647563,0.021636912606630476
Pat Shurmur,2017,0.8416262767534605,888,0.8203346430116397,0.021291633741820748
Pat Shurmur,2018,0.8203457407714184,825,0.8045722653052031,0.015773475466215325
Pat Shurmur,2019,0.8169747804914584,817,0.79670076481423735,0.02027401567722109
Pat Shurmur,2020,0.8488861763545517,780,0.8364401329293135,0.01244604342523814
Pat Shurmur,2021,0.8341946758848195,757,0.8185301256009182,0.015664550283901346
Pep Hamilton,2022,0.8463413880747518,764,0.8382282440034652,0.008113144071286604
Pete Carmichael,2022,0.8433061866595492,880,0.8261948525318716,0.017111334127677513
Pete Carmichael,2023,0.823256000840607,905,0.7953846363524908,0.027871364488116224
Press Taylor,2023,0.8301005187349062,897,0.8071860125795578,0.022914506155348402
Press Taylor,2024,0.8267825026035804,809,0.7887169067885648,0.038065595815015674
Randy Fichtner,2018,0.8258030392261139,937,0.7954042184314151,0.0303988207946988
Randy Fichtner,2019,0.8289771451611276,828,0.8158363585974512,0.013140786563676454
Randy Fichtner,2020,0.8240111641897689,867,0.7986770363745292,0.025334127815239693
Rich Scangarello,2019,0.8385875030250118,811,0.8282433338872425,0.010344169137769366
Rick Dennison,2017,0.8469518442159953,864,0.8341414426637503,0.012810401552244999
Rob Boras,2016,0.8275560293204963,747,0.8033098042162802,0.024246225104216146
Rob Chudzinski,2016,0.8486854264397735,864,0.8260761628613182,0.022609263578455274
Rob Chudzinski,2017,0.8283047069111418,818,0.8086710458462363,0.019633661064905494
Ryan Grubb,2024,0.8384899668790557,893,0.810895954678196,0.027594012200859774
Scott Linehan,2016,0.8469625002054646,901,0.8197448229423594,0.0272176772631052
Scott Linehan,2017,0.8350434845918467,800,0.8087958216341421,0.026247662957704643
Scott Linehan,2018,0.847891784715127,981,0.8186426985583374,0.029249086156789672
Scott Milanovich,2018,0.8145078165166347,214,0.8030573102738152,0.011450506242819514
Scott Turner,2019,0.8536645175088722,121,0.8465313313621016,0.007133186146770609
Scott Turner,2020,0.8234924897466112,840,0.8047437803217203,0.01874870942489082
Scott Turner,2021,0.8555531127493526,873,0.8345565701194261,0.020996542629926562
Scott Turner,2022,0.8606211251090556,957,0.8445597658708816,0.01606135923817409
Scott Turner,2024,0.8369365355548554,429,0.8219022211243704,0.015034314430484974
Sean McVay,2016,0.8359256473434791,927,0.8108595679869847,0.02506607935649441
Sean McVay,2017,0.835179416074615,756,0.8166376294184641,0.018541786656150916
Sean McVay,2018,0.8467886491209872,955,0.817931573996706,0.02885707512428115
Sean McVay,2019,0.8349844815448432,841,0.8181635745982261,0.016820906946617087
Sean McVay,2020,0.8362413460864326,994,0.8142394596960802,0.022001886390352388
Sean McVay,2021,0.8360620706707069,964,0.8049246504101599,0.031137420260547
Sean McVay,2022,0.8455590745507867,753,0.837293198635405,0.008265875915381748
Sean McVay,2023,0.8397623708634815,937,0.8010849356085301,0.038677435254951376
Sean McVay,2024,0.8581326422904646,1044,0.8417937368228865,0.016338905467578102
Sean McVay,2025,0.8648509685680942,975,0.838202027812366,0.026648940755728212
Sean Payton,2016,0.8523882350631574,916,0.8323203781645389,0.020067856898618563
Sean Payton,2017,0.8511994257703385,805,0.8311955623741022,0.020003863396236277
Sean Payton,2018,0.8567845690455688,893,0.8375939675089383,0.019190601536630436
Sean Payton,2019,0.8429048462901927,848,0.8236449993923971,0.019259846897795585
Sean Payton,2020,0.8491190262337674,915,0.8332239001110314,0.015895126122736025
Sean Payton,2021,0.8306186148290744,856,0.819216955726161,0.011401659102913353
Sean Payton,2023,0.8511316328588489,842,0.8229553899309614,0.02817624292788745
Sean Payton,2024,0.827818581404951,813,0.7890471345322914,0.038771446872659654
Sean Payton,2025,0.8319130273318723,982,0.7883233881606965,0.043589639171175865
Sean Ryan,2020,0.8684813018133212,54,0.8615324478734302,0.0069488539398909754
Shane Steichen,2019,0.8415005452677294,432,0.8144354843691204,0.02706506089860905
Shane Steichen,2020,0.8306351457467074,960,0.8133681550382565,0.017266990708450836
Shane Steichen,2021,0.8642448289309007,436,0.8526875545113834,0.01155727441951726
Shane Steichen,2022,0.8379768317446775,952,0.8209389726766716,0.017037859068005923
Shane Steichen,2023,0.8170298067465275,942,0.795786086279443,0.021243720467084448
Shane Steichen,2024,0.8405648205250449,941,0.8185699841171785,0.02199483640786637
Shane Steichen,2025,0.8357268977060914,826,0.8126113366781853,0.02311556102790613
Shane Waldron,2021,0.8333193663970744,801,0.8156635038997674,0.017655862497306996
Shane Waldron,2022,0.8502105516920155,912,0.8341378817207535,0.016072669971262
Shane Waldron,2023,0.8206861780159743,881,0.7898669411083756,0.03081923690759869
Shane Waldron,2024,0.819230483301152,479,0.7953086369871385,0.023921846314013506
Spencer Whipple,2021,0.8294668721096646,52,0.823186787543238,0.006280084566426591
Steve Sarkisian,2017,0.842867324546362,963,0.8300062128106268,0.012861111735735231
Steve Sarkisian,2018,0.8326124990180603,778,0.8121297090386158,0.020482789979444527
Tanner Engstrand,2025,0.8263469263938553,644,0.8206652047687039,0.005681721625151459
Terry Robiskie,2016,0.8455476890170726,834,0.8312760867404938,0.014271602276578754
Terry Robiskie,2017,0.8498928344384236,950,0.8325497013838993,0.017343133054524285
Thomas Brown,2023,0.8330357770773755,495,0.8131711249268763,0.019864652150499262
Thomas Brown,2024,0.7982495248109588,339,0.7762294513473375,0.022020073463621337
Tim Kelly,2020,0.832382163027406,750,0.8072087139860747,0.02517344904133123
