coach,seasons,eligible,war_main,rank_main,war_rep_average,war_rep_one_and_done,war_rep_first_all,war_talent_contract_only,war_talent_contract_qbepa,war_talent_madden_2017,pd_effect_ppg,war_rep_no_franchise_term,war_rep_team_from_yr3plus,war_rep_leave_one_spell_out,war_talent_same_season_qb,war_prev_team_wat,war_talent_plus_madden_2017,war_talent_new_starter,war_tau_low,prob_above_avg_tau_low,war_tau_high,rank_war_rep_average,rank_war_rep_one_and_done,rank_war_rep_first_all,rank_war_talent_contract_only,rank_war_talent_contract_qbepa,rank_war_talent_madden_2017,rank_pd_effect_ppg,rank_war_talent_same_season_qb,rank_war_prev_team_wat,rank_war_talent_plus_madden_2017,rank_war_talent_new_starter,rank_war_tau_low,rank_war_tau_high,war_rep_no_returnee,war_rep_era,rank_war_rep_era,rank_war_rep_no_returnee
Jason Garrett,8,TRUE,0.61433205331698,16,0.42799575922185,2.14031875437811,0.676294431794023,0.632887597167005,0.534249260317254,-0.107736928258218,0.178464746713421,0.779608356843429,0.793323433720749,0.620115628172054,0.0294997261911285,0.585526080519491,0.43751222745602,0.525049407898224,0.361457936812031,0.612073152029516,0.976333600184195,16,16,16,20,19,25,13,21,12,19,17,18,15,0.401213881284582,0.411938413842233,20,16
Jay Gruden,5,TRUE,-0.034761116134164,40,-0.221097410229293,1.49122558492696,0.0272012623428795,0.08243901689804,-0.0496505072243333,-0.298712435654807,-0.176448044648486,0.130515187392285,0.144230264269605,-0.0289775412790899,-0.531859210373623,-0.180705088740588,-0.188795826704465,-0.0852546289974356,0.190468249631727,0.435189658450978,-0.294176884149032,40,40,40,35,39,34,44,44,39,41,43,40,41,-0.247879288166562,-0.304174725187863,45,40
Jeff Fisher,5,TRUE,-0.21251319875116,45,-0.39884949284629,1.31347350230997,-0.150550820274117,-0.503199093656667,-0.319263638502899,,-0.200163402478712,-0.0472368952247111,-0.0335218183473914,-0.206729623896086,0.294206359814253,-0.460616119106745,-0.365385889806423,-0.182332306483604,0.119306940635299,0.363934117729509,-0.442186663821144,45,45,45,47,46,,46,10,47,46,46,48,44,-0.425631370783558,-0.48192680780486,48,45
Jeff Saturday,1,FALSE,-0.142706317599854,,-0.329042611694983,1.38328038346127,-0.0807439391228105,-0.306414802431679,-0.20327967466156,-0.440316045149617,-0.140119564017093,0.0225699859265955,0.0362850628039151,-0.13692274274478,-0.337356283859268,-0.355463684117762,-0.222753308141636,-0.100546999219451,0.177194458989508,0.424209657850203,-0.656394639468587,,,,,,,,,,,,,,-0.355824489632252,0.124039829978066,,
Jerod Mayo,1,FALSE,-0.146805451992142,,-0.333141746087271,1.37918124906899,-0.0848430735150986,-0.335522636383852,-0.243943652381301,-0.479090116176031,-0.188478238787301,0.0184708515343073,0.032185928411627,-0.141021877137068,-0.329124677387594,-0.324055538664014,-0.204035644280688,-0.050091653502876,0.164335821587242,0.411140762077388,-0.526270590601115,,,,,,,,,,,,,,-0.35992362402454,0.119940695585777,,
Jim Caldwell,4,TRUE,0.597871809147534,17,0.411535515052405,2.12385851020866,0.659834187624577,0.961455394742828,0.748275356976091,0.370584366016967,0.122589291259139,0.763148112673983,0.776863189551303,0.603655384002608,0.180630689077636,0.400236184524178,0.449716518360582,0.537073488794129,0.36502560746003,0.61357185846575,0.85050052180341,17,17,17,14,13,15,18,16,17,18,16,16,17,0.384753637115136,0.328458200093834,24,17
Jim Harbaugh,5,TRUE,0.824221308178341,10,0.637885014083212,2.35020800923947,0.886183686655384,1.26124136469497,0.961133271681734,0.87840270011301,0.283412931115329,0.98949761170479,1.00321268858211,0.830004883033415,0.368872210112603,0.544925315204049,0.855439092852075,0.721603645030388,0.426991469808682,0.675043791826497,1.27636880099767,10,10,10,8,9,8,9,7,15,6,10,9,9,0.611103136145943,0.77711784211824,13,10
Jim Schwartz,2,FALSE,-0.292955710073727,,-0.479292004168856,1.2330309909874,-0.230993331596684,-0.486413467417155,-0.363446888141811,,-0.141650613733932,-0.127679406547278,-0.113964329669958,-0.287172135218653,-0.639235184160837,-0.115422787242658,-0.374073027335099,-0.245661365931115,0.133495132214912,0.380202696512741,-0.885081402779576,,,,,,,,,,,,,,-0.506073882106125,-0.562369319127427,,
Jim Tomsula,1,FALSE,-0.120231220711682,,-0.306567514806811,1.40575548034945,-0.0582688422346384,-0.0469604193301418,-0.259868096704624,,-0.16055143024934,0.0450450828147675,0.0587601596920872,-0.114447645856608,-0.246183456836689,-0.318014787194396,-0.198581920183988,-0.134758933164486,0.178075014467545,0.424729618652353,-0.555339476758574,,,,,,,,,,,,,,-0.33334939274408,-0.389644829765381,,
Joe Judge,2,FALSE,0.00288017099817833,,-0.183456123096951,1.52886687205931,0.0648425494752218,-0.234012849840033,-0.0736178562937796,-0.302142100248049,-0.100124185329304,0.168156474524628,0.181871551401947,0.00866374585325239,0.0659099682550152,-0.192634676605152,-0.0500691220984224,-0.029361212749251,0.211185418225667,0.457312318445931,-0.315857331036268,,,,,,,,,,,,,,-0.21023800103422,0.269626318576098,,
Joe Philbin,4,TRUE,0.0402849668476331,36,-0.146051327247496,1.56627166790876,0.102247345324677,-0.187797992261876,-0.0473358807413955,,-0.00708665083660312,0.205561270374083,0.219276347251402,0.0460685417027072,-0.135143130902963,-0.171492500970583,-0.05886331201205,0.059194520790048,0.21077943739524,0.456299175575266,-0.112351078289852,36,36,36,42,38,,33,27,37,36,37,36,35,-0.172833205184765,-0.229128642206066,42,36
Joe Vitt,1,FALSE,0.0437120315633528,,-0.142624262531776,1.56969873262448,0.105674410040396,0.110331437254037,0.0317778347640204,,-0.0399073854155775,0.208988335089802,0.222703411967122,0.0494956064184269,-0.354600861162789,,-0.0211340543528366,0.0552563737931263,0.218696865500748,0.465348026484361,-0.217412428516469,,,,,,,,,,,,,,-0.169406140469045,-0.225701577490347,,
John Fox,6,TRUE,0.303624122635647,25,0.117287828540517,1.82961082369678,0.36558650111269,0.702911386172405,0.369241870194519,-0.429461497955587,0.280309232725609,0.468900426162096,0.482615503039416,0.309407697490721,-0.540551639897991,-0.0951965110879648,0.176639797743953,0.416130441937925,0.280762006972397,0.528815708813355,0.371364912758159,25,25,25,17,25,36,10,46,32,28,22,24,27,0.0905059506032486,0.0342105135819471,36,25
John Harbaugh,14,TRUE,0.860166476819084,8,0.673830182723955,2.38615317788021,0.922128855296128,1.17137688821723,0.975734030821105,0.393741990579668,0.453252905294607,1.02544278034553,1.03915785722285,0.865950051674158,0.424821589560948,0.715419773780596,0.464079511667804,0.731311916016519,0.426313875455511,0.676497020411961,1.37727048289039,8,8,8,11,8,14,3,5,9,17,9,10,7,0.647048304786687,0.864686018533505,11,8
Jon Gruden,3,FALSE,-0.0784930717496588,,-0.264829365844788,1.44749362931147,-0.0165306932726153,0.0126554108546637,-0.0207267580722781,-0.21471578142055,-0.258295465932537,0.0867832317767907,0.10049830865411,-0.0727094968945847,-0.623948780716289,-0.29818644687948,-0.156614494024349,-0.074563559944779,0.186688272591888,0.432180311034523,-0.436564739015123,,,,,,,,,,,,,,-0.291611243782057,0.00953315695105456,,
Jonathan Gannon,3,FALSE,-0.293952745819523,,-0.480289039914652,1.23203395524161,-0.231990367342479,-0.480072316161727,-0.273439296777922,-0.399632181777808,-0.0457372321444982,-0.128676442293073,-0.114961365415754,-0.288169170964449,-0.664063650961323,-0.497347717911057,-0.264340125160639,-0.275883482923199,0.123080453600215,0.369012103294725,-0.804178824264361,,,,,,,,,,,,,,-0.507070917851921,-0.0272065982416033,,
Josh McDaniels,2,FALSE,-0.0928685781073399,,-0.279204872202469,1.43311812295379,-0.0309061996302965,-0.162100791593337,-0.130854076329941,-0.173895321748878,-0.111320598536934,0.0724077254191094,0.0861228022964291,-0.0870850032522659,-0.457056286217527,-0.33286849408935,-0.119163811787006,-0.0231512581979132,0.187414746676918,0.433660287608222,-0.517577766016811,,,,,,,,,,,,,,-0.305986750139738,0.17387756947058,,
