def_play_caller,n_seq,lift_raw,lift_shrunk,seq_rank,range_sd,range_mm,range_rank,entropy,guessability,epa_allowed,n_career
Gus Bradley,1820,0.007796133942687272,0.018579845803284475,36,0.04155612044129587,0.11627887321359823,15,0.6031056242768373,0.39689437572316266,0.021520281529112784,1871
Jack Del Rio,1043,0.04446672623317551,0.039773313911681166,18,0.011064642695491745,0.03076670835868413,41,0.8013665531185197,0.19863344688148032,0.005052726182377717,1072
Jeff Hafley,1301,0.017036084018099487,0.02575426813187747,33,0.06201189179322659,0.1704259151784046,3,0.6043098005575517,0.3956901994424483,-0.0075818458183688755,1337
Jeff Ulbrich,2390,0.05013678413506446,0.04544765114661439,14,0.042455428842879006,0.10263046150813784,12,0.7470795457483128,0.2529204542516872,-0.06746931921291348,2458
Jesse Minter,1283,-0.048789724006517515,-0.011682439913735222,43,0.03854838356339743,0.10019767633045018,19,0.6936981091431433,0.30630189085685666,-0.06225000685356258,1319
Jim Schwartz,1733,0.031943666473838145,0.033373286140032155,25,0.01917267595962057,0.052623659759651734,38,0.8207219287447068,0.17927807125529316,-0.12604260070964235,1785
Joe Barry,1227,0.05397772433880376,0.04537530262056409,15,0.05458401304289141,0.15643154302144446,5,0.855051018765321,0.14494898123467903,0.009317227814940888,1263
Joe Whitt Jr.,987,0.09538156056640616,0.06376192160117591,4,0.0376684739828992,0.09149572354840506,20,0.8345844729856047,0.16541552701439532,0.10764668606434132,1017
Joe Woods,867,0.037689239531344634,0.03651497673345724,21,0.033342350705166175,0.0838738653680603,24,0.706902836672252,0.29309716332774804,0.0031487559690871044,892
Jonathan Gannon,726,0.1010029675937109,0.060583305231688825,8,NA,NA,NA,NA,NA,NA,746
Josh Boyer,730,0.14451114100465112,0.07941868023861665,1,0.06685358279832525,0.16079703353018399,2,NA,NA,NA,748
Leslie Frazier,711,0.010595621697590957,0.026421857308541304,32,0.025164753513234765,0.06312279748302466,32,NA,NA,NA,729
Lou Anarumo,2664,0.02292593772500763,0.026662968874359528,31,0.020536084052500382,0.05171403481823188,36,0.739887753967942,0.26011224603205796,0.003286037402637657,2734
Matt Eberflus,1605,0.05231141868274902,0.04520300880944253,16,0.028566906490870476,0.08195249351794603,28,0.7644012987719494,0.2355987012280506,0.03995692089150319,1649
Mike Caldwell,1416,0.026786970316517698,0.030686028987271338,26,0.03750740085710851,0.10881533711606524,21,0.8304099254751823,0.16959007452481767,-0.021751235427139918,1452
Mike Macdonald,2908,0.01624402444744808,0.021727991642159192,35,0.024363740016732735,0.05755720090410546,33,0.7185794870304365,0.2814205129695635,-0.09830646885066754,2982
Nick Rallis,1767,0.014948258401279647,0.0229758162118118,34,0.03886477006390127,0.11119228434694406,17,0.7281527877034748,0.2718472122965252,0.1184910232727841,1818
Patrick Graham,2445,0.05312381011167272,0.04756001962618748,12,0.007929638339709534,0.02109491863191301,42,0.759450925556937,0.24054907444306295,0.05756394156461253,2513
Raheem Morris,1295,-0.0026311961912435684,0.014618647290364058,37,0.017822388264182646,0.055683770075509925,39,0.8371625669482091,0.16283743305179088,0.04270652131618638,1330
Ryan Nielsen,1245,0.06944166527480716,0.051648786366966785,11,0.02146435978145485,0.06022756571418363,35,0.6361539125965774,0.3638460874034226,0.10774508897565375,1279
Sean McDermott,2005,-0.025052967520166974,-0.004066452683479299,42,0.034560833523806844,0.09695261701095924,23,0.7053227048858558,0.2946772951141442,-0.04967250910570003,2063
Shane Bowen,2371,0.033218353913551,0.03398392727679992,24,0.015562486922514872,0.03899248115804237,40,0.7506142850316966,0.24938571496830342,0.06322216034152116,2434
Steve Spagnuolo,2945,0.06449509862450795,0.05648983504516385,10,0.030432560788517925,0.08302296006471022,26,0.8519230510231232,0.14807694897687684,-0.03456387558971691,3023
Steve Wilks,1271,0.0772110023761107,0.05718083978349333,9,0.041705186580560105,0.09337826029499523,14,0.7094194207090141,0.2905805792909859,-0.0017358361345526702,1305
Teryl Austin,2620,0.07286731690405875,0.061697483849341095,7,0.04921557609486407,0.12438354373661262,8,0.8266868578286474,0.17331314217135263,-0.004511309460231869,2691
Todd Bowles,2774,0.0744125316056877,0.06349137408116252,5,0.05078595132272354,0.14207054548121567,6,0.9068695760768135,0.09313042392318649,0.040304699101686894,2846
Vance Joseph,2732,0.04931256179720385,0.04549529326382754,13,0.03867058054051018,0.09207983105820941,18,0.8765334873896525,0.12346651261034747,-0.039752542940501685,2803
Vic Fangio,2113,0.09611689405601799,0.07242838199838567,3,0.03182601046006666,0.07972829134385745,25,0.6451586566615802,0.35484134333841977,-0.08469566583187074,2170
Zach Orr,1424,-0.05078146363017103,-0.014948584569380093,44,0.04470848450295227,0.12063038099627688,10,0.69669942880815094,0.30330057119184906,0.01011335710446312,1460
