coach,season,n_games,mean_residual
David Culley,2021,17,-0.3232106301171744
DeMeco Ryans,2023,17,-0.03402158651104616
DeMeco Ryans,2024,17,-0.1540399545287708
DeMeco Ryans,2025,17,0.04973220440564216
Dennis Allen,2012,16,-0.08448432539582512
Dennis Allen,2013,16,-0.15816506252377538
Dennis Allen,2014,4,-0.16101128277493965
Dennis Allen,2022,17,-0.046054230415585755
Dennis Allen,2023,17,0.23061387826564742
Dennis Allen,2024,17,-0.25027976677172575
Dennis Erickson,2003,16,0.028353765284243233
Dennis Erickson,2004,16,-0.24617131679403786
Dennis Green,2000,16,0.06508147726338105
Dennis Green,2001,15,-0.06072685490109589
Dennis Green,2004,16,0.0059891132483878345
Dennis Green,2005,16,0.03795001814774864
Dennis Green,2006,16,-0.041332883525598045
Dick Jauron,2000,16,-0.18857127667338763
Dick Jauron,2001,16,0.03909124534400519
Dick Jauron,2002,16,-0.12286623832515077
Dick Jauron,2003,16,-0.06856644835507955
Dick Jauron,2005,5,-0.06141446749545748
Dick Jauron,2006,16,-0.02022526541701096
Dick Jauron,2007,16,-0.18126991588949165
Dick Jauron,2008,16,0.010208842140204104
Dick Jauron,2009,9,-0.24469818640868862
Dick LeBeau,2000,13,-0.1706818597639123
Dick LeBeau,2001,16,0.030978324059350554
Dick LeBeau,2002,16,-0.03554143429100711
Dick Vermeil,2001,16,0.06747152246762517
Dick Vermeil,2002,16,0.10442372595409818
Dick Vermeil,2003,16,0.0018821561350294558
Dick Vermeil,2004,16,0.018018297915497188
Dick Vermeil,2005,16,0.08517796116849094
Dirk Koetter,2016,16,0.04490394612151971
Dirk Koetter,2017,16,0.04282972196138705
Dirk Koetter,2018,16,-0.06079361473196923
Dom Capers,2002,16,-0.16764442701361512
Dom Capers,2003,16,-0.12352608010528406
Dom Capers,2004,16,0.10656937988329959
Dom Capers,2005,16,-0.22725903941478362
Doug Marrone,2013,16,0.0381710487533279
Doug Marrone,2014,16,0.024744167537218996
Doug Marrone,2016,2,-0.2836805778843523
Doug Marrone,2017,16,0.11424899569260073
Doug Marrone,2018,16,-0.03124446893865181
Doug Marrone,2019,16,-0.041361026906180064
Doug Marrone,2020,16,-0.12030699540344511
Doug Pederson,2016,16,0.17339077134569697
Doug Pederson,2017,16,0.13820661261090353
