def_caller,rush_type,n_contested,uncontested_rate,uncontested_era_adj,uncontested_lo,uncontested_hi,uncontested_shrunk,rank_open,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp
Jeff Hafley,blitz,188,78.72340425531915,-7.177322012079401,-13.027649139658418,-1.3269948845003832,-1.945616286669017,39,188,62.76595744680851,64.10488299232848,-1.338925545519969,-7.94749736140346,5.269646270363522,18
Jeff Hafley,regular,815,88.34355828220859,1.1101191477959844,-1.0930493294455497,3.3132876250375185,0.631210705930964,9,815,73.25153374233129,69.48997227875002,3.7615614635812635,0.8877991051752234,6.635323821987304,3
Jeff Ulbrich,blitz,454,84.36123348017621,-1.61520002300567,-4.95638756496329,1.7259875189519494,-0.8604962679138223,30,454,61.45374449339206,66.24137428035294,-4.787629786960887,-9.01182609688548,-0.563433477036293,32
Jeff Ulbrich,regular,1532,85.44386422976501,-1.4615659035233648,-3.2275637848243317,0.3044319777776021,-0.9825738739809314,32,1532,66.05744125326369,67.95259647839762,-1.8951552251339678,-4.098627295328299,0.30831684506036394,36
Jesse Minter,blitz,215,87.90697674418605,2.1880637817060773,-2.170224540286175,6.54635210369833,0.877927612214506,5,215,64.1860465116279,68.42227373705354,-4.236227225425637,-10.280441973169681,1.8079875223184079,30
Jesse Minter,regular,751,85.88548601864181,-1.3403152153363038,-3.83048498076168,1.1498545500890724,-0.6806184556732705,30,751,65.77896138482024,67.60636026587848,-1.8273988810582373,-4.9981732597141,1.3433754975976255,35
Jim Schwartz,blitz,397,87.40554156171285,1.4731869251580463,-1.7905868671963012,4.736960717512394,0.8020026964966859,9,397,57.93450881612089,66.25073611060678,-8.316227294485866,-12.923566658968024,-3.7088879300037076,38
Jim Schwartz,regular,999,87.78778778778779,0.6663457615077277,-1.3640820385791352,2.6967735615945907,0.4052203755812026,16,999,66.86686686686684,67.47819978493949,-0.6113329180725897,-3.325478181052164,2.102812344906985,28
Joe Barry,blitz,324,87.96296296296296,1.8875696046980721,-1.655610996740089,5.430750206136233,0.9502906688445276,7,324,72.22222222222221,69.35003693273038,2.872185289491845,-1.8884907573175043,7.632861336301195,1
Joe Barry,regular,592,85.13513513513513,-1.5308440349746775,-4.396540022304306,1.3348519523549505,-0.6703528642359211,33,592,67.0608108108108,68.1474347976414,-1.0866239868305725,-4.7512893942569026,2.578041420595758,31
Joe Whitt Jr.,blitz,239,80.75313807531381,-4.797651253500305,-9.795887622593568,0.20058511559295766,-1.6193375011934807,36,239,65.69037656903765,66.80712849525227,-1.1167519262146168,-6.927263314179907,4.693759461750673,16
Joe Whitt Jr.,regular,505,87.72277227722772,0.4455342752476241,-2.4167760159381597,3.307844566433408,0.19535769175300824,18,505,67.52475247524754,66.19189572511333,1.332856750134207,-2.4906374730755214,5.156350973343936,14
Joe Woods,blitz,175,82.28571428571429,-3.3242053275551484,-8.980878554815142,2.3324678997048442,-0.9460159198672822,35,175,59.42857142857143,66.40690267086029,-6.978331242288863,-14.161891290897977,0.2052288063202523,36
Joe Woods,regular,583,85.76329331046313,-1.0327256442082131,-3.869189720247413,1.8037384318309866,-0.45744710283634815,27,583,63.46483704974273,66.95980485113365,-3.494967801390959,-7.211667516607017,0.22173191382509927,39
Lou Anarumo,blitz,516,85.27131782945736,-0.7095201539262206,-3.767359420804258,2.348319112951817,-0.4090379632760751,23,516,61.046511627906995,65.63907631838968,-4.592564690482714,-8.623079060610603,-0.5620503203548237,31
Lou Anarumo,regular,1596,87.71929824561404,0.7776401727472546,-0.832630169972149,2.3879105154666584,0.5533610335517621,14,1596,68.29573934837093,67.13891908162293,1.1568202667479917,-0.9860460475319364,3.2996865810279195,16
Matt Eberflus,blitz,313,86.26198083067092,0.12917782586583826,-3.6846025077449616,3.942958159476638,0.06028704110901504,14,313,69.32907348242814,66.61933922348693,2.709734258941171,-2.1202031562124937,7.539671674094835,2
Matt Eberflus,regular,1010,89.20792079207921,2.139846156065545,0.22625279696912393,4.0534395151619655,1.3608990830176537,4,1010,70.39603960396039,67.92222155350267,2.4738180504576874,-0.1817563296147875,5.129392430530162,6
Mike Caldwell,blitz,313,83.06709265175719,-3.02872783952148,-7.183662263322254,1.126206584279294,-1.2853771874895499,34,313,61.66134185303515,66.80244734873787,-5.1411054957027265,-10.186666541396278,-0.09554445000917422,33
Mike Caldwell,regular,802,86.0349127182045,-0.621592775429221,-3.0205807757005463,1.7773952248421043,-0.32722675560817377,25,802,69.82543640897757,68.42793746853705,1.3974989404404876,-1.6033715176368475,4.398369398517823,13
Mike Macdonald,blitz,486,87.03703703703704,1.119656574796025,-1.8667031911426037,4.106016340734653,0.658364202433234,11,486,66.87242798353908,67.46058901273665,-0.5881610291975412,-4.518226198900013,3.3419041405049312,13
Mike Macdonald,regular,1717,86.25509609784508,-0.6774032711383313,-2.3060772560129057,0.9512707137362431,-0.47885856995427095,26,1717,66.45311589982526,67.93561029482804,-1.4824943950027671,-3.5672982090447727,0.6023094190392386,32
Nick Rallis,blitz,335,85.97014925373135,-0.005648708927182611,-3.724715976847571,3.713418558993206,-0.002707057008440546,15,335,70.74626865671641,68.07116774925545,2.675100907460975,-1.858218008636142,7.208419823558092,3
Nick Rallis,regular,1162,85.88640275387263,-1.2258324211368148,-3.2276941363365754,0.7760292940629459,-0.7537096539580806,28,1162,71.42857142857143,67.58113945233227,3.8474319762391627,1.3838975106194917,6.310966441858834,2
Patrick Graham,blitz,512,89.2578125,3.384370449769932,0.7021740534644367,6.066566846075427,2.1622520551939917,3,512,68.359375,68.30893510195892,0.05043989804107696,-3.822481774140406,3.9233615702225597,11
