name,side,n,guess_xs,H_vs_lg,epa,epa_type,lean_abs,structure_pctile,exploit_pctile,quadrant,marquee,seq_guess_pp,guessability,range_sd
Steve Sarkisian,offense,1756,0.706199848186048,-0.0098653161753378,0.0474903947533332,epa_play,0.367899036030699,0.438356164383562,0.164383561643836,"weak identity, hard to exploit",FALSE,1.2365614334885,,
Terry Robiskie,offense,1797,-0.453291962948122,0.00123779625991284,-0.0143982219261439,epa_play,0.369772794495275,0.602739726027397,0.0136986301369863,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.920247939195502,,
Tim Kelly,offense,2335,0.769463132470223,-0.00626379192635682,-0.0232060866999884,epa_play,0.368751919847101,0.493150684931507,0.178082191780822,"weak identity, hard to exploit",FALSE,1.31018602817756,,
Todd Downing,offense,3290,1.20166156135554,-0.0053427814601833,-0.0134516798814994,epa_play,0.374680390019864,0.794520547945206,0.328767123287671,"clear identity, hard to exploit (Michael's ideal)",FALSE,1.19044302143511,,
Todd Haley,offense,3280,0.936263550277004,-0.00150868167587952,0.0288226886212671,epa_play,0.373962405689697,0.73972602739726,0.246575342465753,"clear identity, hard to exploit (Michael's ideal)",FALSE,1.07210624115475,,
Todd Monken,offense,2985,2.63411229284821,-0.019668618058937,0.100105641641774,epa_play,0.370572990533495,0.63013698630137,0.904109589041096,"clear identity, easy to exploit",FALSE,1.41836871792828,,
Zac Robinson,offense,1884,2.60360592368358,-0.0288408111998599,0.0354668774742156,epa_play,0.360101256365324,0.191780821917808,0.876712328767123,"weak identity, easy to exploit",FALSE,1.43587175276968,,
Zac Taylor,offense,6293,2.45721536548598,-0.022784365862314,0.0271921990190375,epa_play,0.369117669054956,0.547945205479452,0.808219178082192,"clear identity, easy to exploit",FALSE,1.32377883884307,,
Aaron Glenn,defense,2148,,,0.0478216193525773,epa_allowed,,0.307692307692308,0.128205128205128,"weak identity, hard to exploit",FALSE,,0.131752075268662,0.0417778045578149
Anthony Weaver,defense,1222,,,0.0458662698164265,epa_allowed,,0.743589743589744,0.461538461538462,"clear identity, hard to exploit (Michael's ideal)",FALSE,,0.2118187705934,0.0273491032969181
Bill Belichick,defense,1315,,,-0.0767581435129358,epa_allowed,,0.0769230769230769,0.41025641025641,"weak identity, hard to exploit",FALSE,,0.19149615351945,0.0549256611726693
Brandon Staley,defense,1768,,,-0.0178102025297593,epa_allowed,,0.666666666666667,0.358974358974359,"clear identity, hard to exploit (Michael's ideal)",FALSE,,0.181180961607799,0.0288635255650076
Brian Flores,defense,1943,,,-0.0636332974938376,epa_allowed,,0.0256410256410256,0.0512820512820513,"weak identity, hard to exploit",FALSE,,0.0558172080020203,0.0735223503247645
Chris Shula,defense,1482,,,-0.00802604855803645,epa_allowed,,0.794871794871795,0.871794871794872,"clear identity, easy to exploit",FALSE,,0.31814598714152,0.0225279605204569
Clint Hurtt,defense,1319,,,0.0366636609066902,epa_allowed,,0.205128205128205,0.897435897435897,"weak identity, easy to exploit",FALSE,,0.340113314882171,0.0467763790450893
Dan Quinn,defense,1619,,,-0.0527519659991155,epa_allowed,,0.538461538461538,0.384615384615385,"clear identity, hard to exploit (Michael's ideal)",FALSE,,0.188753041506351,0.0368077837737902
DeMeco Ryans,defense,2395,,,-0.0815599834188208,epa_allowed,,0.153846153846154,0.538461538461538,"weak identity, easy to exploit",FALSE,,0.243278697878857,0.0496691903253202
Dennard Wilson,defense,1142,,,0.0895685760937175,epa_allowed,,0.871794871794872,0.666666666666667,"clear identity, easy to exploit",FALSE,,0.264289951120703,0.0194141414777645
Dennis Allen,defense,2282,,,-0.0444114257450527,epa_allowed,,0.717948717948718,0.615384615384615,"clear identity, easy to exploit",FALSE,,0.257848824429796,0.0277602943583934
Don Martindale,defense,1340,,,-0.0208758251755429,epa_allowed,,0.384615384615385,0.0256410256410256,"weak identity, hard to exploit",FALSE,,0.0391619408221319,0.0397032791626241
Ejiro Evero,defense,2391,,,0.0258791075555108,epa_allowed,,0.256410256410256,0.205128205128205,"weak identity, hard to exploit",FALSE,,0.149956054150444,0.0434952698365812
Gus Bradley,defense,1871,,,0.0215202815291128,epa_allowed,,0.358974358974359,1,"weak identity, easy to exploit",FALSE,,0.396894375723163,0.0415561204412959
