coach,season,games,actual_wins,expected_wins,wins_above_expectation,rate_per17,eligible
Dave Campo,2002,16,5,6.194430146702494,-1.1944301467024943,-1.2690820308714001,TRUE
Dave Canales,2024,17,5,4.811625016747433,0.1883749832525674,0.1883749832525674,TRUE
Dave Canales,2025,17,8,6.0752005288045154,1.9247994711954846,1.9247994711954846,TRUE
Dave McGinnis,2000,7,0,1.5580882834197891,-1.5580882834197891,-3.783928688305202,FALSE
Dave McGinnis,2001,16,7,5.944994869448864,1.0550051305511357,1.1209429512105817,TRUE
Dave McGinnis,2002,16,5,5.271074688812386,-0.27107468881238495,-0.28801685686315903,TRUE
Dave McGinnis,2003,16,4,4.320705870634597,-0.32070587063459666,-0.34074998754925895,TRUE
Dave Wannstedt,2000,16,11,8.649076108763683,2.3509238912363166,2.4978566344385866,TRUE
Dave Wannstedt,2001,16,11,9.190085314167746,1.8099146858322528,1.9230343536967687,TRUE
Dave Wannstedt,2002,16,9,9.48664167740064,-0.4866416774006418,-0.5170567822381819,TRUE
Dave Wannstedt,2003,16,10,9.337453136043438,0.6625468639565598,0.7039560429538448,TRUE
Dave Wannstedt,2004,9,1,3.3132539909136174,-2.3132539909136174,-4.3694797606146105,TRUE
David Culley,2021,17,4,3.598944364709212,0.4010556352907886,0.4010556352907886,TRUE
DeMeco Ryans,2023,17,10,8.06443168792864,1.9355683120713607,1.9355683120713607,TRUE
DeMeco Ryans,2024,17,10,9.468935105713092,0.531064894286908,0.531064894286908,TRUE
DeMeco Ryans,2025,17,12,9.420745997524385,2.579254002475616,2.579254002475616,TRUE
Dennis Allen,2012,16,4,5.98925091652575,-1.9892509165257501,-2.1135790988086094,TRUE
Dennis Allen,2013,16,4,4.7747825993416,-0.7747825993416009,-0.8232065118004509,TRUE
Dennis Allen,2014,4,0,1.1499953361574864,-1.1499953361574864,-4.887480178669318,FALSE
Dennis Allen,2022,17,7,8.092827153912287,-1.092827153912288,-1.092827153912288,TRUE
Dennis Allen,2023,17,9,9.666794537092285,-0.6667945370922849,-0.6667945370922849,TRUE
Dennis Allen,2024,17,5,6.839624274913661,-1.8396242749136618,-1.8396242749136618,TRUE
Dennis Erickson,2003,16,7,8.339339132789435,-1.3393391327894353,-1.4230478285887749,TRUE
Dennis Erickson,2004,16,2,4.967207147294011,-2.9672071472940105,-3.152657593999886,TRUE
Dennis Green,1999,16,10,10.8649045186732,-0.864904518673203,-0.9189610510902781,TRUE
Dennis Green,2000,16,11,9.841806993968714,1.158193006031285,1.2305800689082405,TRUE
Dennis Green,2001,15,5,7.337302168639561,-2.3373021686395625,-2.6489424577915046,TRUE
Dennis Green,2004,16,6,6.0941918650247136,-0.09419186502471166,-0.10007885658875615,TRUE
Dennis Green,2005,16,5,6.727086828643262,-1.727086828643262,-1.8350297554334658,TRUE
Dennis Green,2006,16,5,6.266265018882627,-1.2662650188826263,-1.3454065825627906,TRUE
Dick Jauron,1999,16,6,5.4471666826299305,0.5528333173700704,0.5873853997056997,TRUE
Dick Jauron,2000,16,5,5.8090273815006395,-0.8090273815006384,-0.8595915928444282,TRUE
Dick Jauron,2001,16,13,7.9961449315987005,5.0038550684013,5.316596010176381,TRUE
Dick Jauron,2002,16,4,6.202088510582245,-2.2020885105822448,-2.339719042493635,TRUE
Dick Jauron,2003,16,7,5.996013997412067,1.0039860025879324,1.0667351277496782,TRUE
Dick Jauron,2005,5,1,1.454673027887515,-0.45467302788751507,-1.5458882948175514,FALSE
Dick Jauron,2006,16,7,6.402137680921963,0.5978623190780374,0.6352287140204148,TRUE
Dick Jauron,2007,16,7,5.339816598979129,1.6601834010208696,1.763944863584674,TRUE
Dick Jauron,2008,16,7,8.24294342830953,-1.2429434283095298,-1.3206273925788754,TRUE
Dick Jauron,2009,9,3,3.3251697094477572,-0.325169709447757,-0.6142094511790965,TRUE
Dick LeBeau,2000,13,4,3.767673157338745,0.2323268426612547,0.3038120250185638,TRUE
Dick LeBeau,2001,16,6,5.892324318656632,0.1076756813433678,0.1144054114273283,TRUE
Dick LeBeau,2002,16,2,5.3472208718475756,-3.3472208718475756,-3.556422176338049,TRUE
Dick Vermeil,1999,16,13,11.438657257178,1.5613427428219988,1.6589266642483738,TRUE
Dick Vermeil,2001,16,6,6.867848601564626,-0.8678486015646256,-0.9220891391624148,TRUE
Dick Vermeil,2002,16,8,7.649891842538718,0.3501081574612809,0.37198991730261094,TRUE
Dick Vermeil,2003,16,13,10.714513413433094,2.285486586566905,2.4283294982273365,TRUE
Dick Vermeil,2004,16,7,9.1099479178519,-2.109947917851898,-2.2418196627176417,TRUE
Dick Vermeil,2005,16,10,8.703223538991365,1.2967764610086334,1.377824989821673,TRUE
Dirk Koetter,2016,16,9,6.542562148074466,2.4574378519255347,2.6110277176708805,TRUE
Dirk Koetter,2017,16,5,6.903104434528487,-1.9031044345284864,-2.022048461686517,TRUE
Dirk Koetter,2018,16,5,6.28441001913078,-1.2844100191307792,-1.3646856453264529,TRUE
Dom Capers,2002,16,4,3.806720405443725,0.19327959455627552,0.20535956921604276,TRUE
Dom Capers,2003,16,5,4.502338547600871,0.49766145239912796,0.5287652931740735,TRUE
Dom Capers,2004,16,7,6.466283687387237,0.5337163126127638,0.5670735821510615,TRUE
Dom Capers,2005,16,2,5.104154911887507,-3.104154911887508,-3.298164593880477,TRUE
Doug Marrone,2013,16,6,6.189234496071645,-0.189234496071644,-0.20106165207612176,TRUE
Doug Marrone,2014,16,9,7.582031993857717,1.4179680061422824,1.506591006526175,TRUE
