coach,first_season,last_season,games,actual_wins,expected_wins,wins_above_expectation,rate_per17,sd_wae,sd_rate_per17,z,outside_cone,eligible
Jay Gruden,2014,2019,85,35.5,36.07012011426717,-0.5701201142671707,-0.11402402285343415,4.303216310822634,0.8606432621645268,-0.1324869755752953,FALSE,TRUE
Jim Fassel,1999,2003,80,40,40.577227192305585,-0.5772271923055745,-0.1226607783649346,4.186159625706388,0.8895589204626075,-0.13788943659982175,FALSE,TRUE
Eric Studesville,2010,2010,4,1,1.6099172815918443,-0.6099172815918443,-2.5921484467653384,0.9286726037095328,3.946858565765514,-0.6567624361433325,FALSE,FALSE
Darrell Bevell,2020,2021,9,2,2.650041567931591,-0.6500415679315912,-1.2278562949818943,1.24693870512182,2.355328665230104,-0.5213099611564991,FALSE,FALSE
Dirk Koetter,2016,2018,48,19,19.730076601733725,-0.7300766017337307,-0.25856879644736297,3.280076345151532,1.161693705574501,-0.22257914905331352,FALSE,TRUE
Mike McDaniel,2022,2025,68,35,35.79367208174268,-0.7936720817426817,-0.19841802043567042,3.8285556065272064,0.9571389016318016,-0.2073032661167492,FALSE,TRUE
Joe Gibbs,2004,2007,64,30,30.85340245877235,-0.8534024587723539,-0.2266850281114065,3.727534733065649,0.990126413470563,-0.2289455417281886,FALSE,TRUE
Vince Tobin,1999,2000,25,9,9.970561477364823,-0.9705614773648212,-0.6599818046080784,2.343371572632264,1.5934926693899396,-0.41417310370229005,FALSE,TRUE
Joe Vitt,2005,2012,21,9,10.038475837559277,-1.0384758375592762,-0.8406709161194141,2.1206500131597625,1.7167166773198077,-0.48969694721664614,FALSE,TRUE
Bobby Petrino,2007,2007,12,3,4.043740643358404,-1.043740643358404,-1.4786325780910723,1.5787020868661015,2.2364946230603104,-0.6611384453353988,FALSE,FALSE
Terry Robiskie,2000,2004,18,8,9.069721358158397,-1.0697213581583953,-1.0102923938162622,1.9112060203144323,1.8050279080747418,-0.5597101237586121,FALSE,TRUE
Brian Daboll,2022,2025,68,22.5,23.589346388422644,-1.0893463884226517,-0.27233659710566294,3.735504617979148,0.933876154494787,-0.29161960694134326,FALSE,TRUE
Dave McGinnis,2000,2003,55,16,17.094863712315636,-1.0948637123156353,-0.3384124201702873,3.2831930212278215,1.0148051156522357,-0.33347528008151867,FALSE,TRUE
Giff Smith,2023,2023,3,0,1.1307038892130854,-1.1307038892130854,-6.407322038874151,0.7657815703350558,4.339428898565316,-1.4765357812389812,FALSE,FALSE
Jerod Mayo,2024,2024,17,4,5.14651333495228,-1.1465133349522802,-1.1465133349522802,1.8667926185320936,1.8667926185320933,-0.6141621321889589,FALSE,TRUE
Chris Tabor,2023,2023,6,1,2.1476364791358327,-1.1476364791358327,-3.2516366908848595,1.1722940295321536,3.3214997503411015,-0.9789664113480461,FALSE,FALSE
Brian Schottenheimer,2025,2025,17,7.5,8.707348927249345,-1.2073489272493445,-1.2073489272493445,1.966508982004862,1.966508982004862,-0.6139554603093897,FALSE,TRUE
