rank_no_market,coach,teams,team_list,seasons,games,war_no_market,effect_pd,rank_market,war_market,move,still_hc,eligible
NA,Rich Bisaccia,1,LV,1,12,0.3040271313103455,-0.02505499632885194,NA,0.235518949425744,NA,FALSE,FALSE
NA,Leslie Frazier,1,MIN,2,32,0.3030238871054856,-0.027157049147486977,NA,0.12114614805778,NA,FALSE,FALSE
30,Andy Reid,2,KC/PHI,14,229,0.30295759132721967,-0.027295955733632724,9,0.679814229934341,-21,TRUE,TRUE
31,Nick Sirianni,1,PHI,5,85,0.29875905690081095,-0.03609295758265088,10,0.669237419023026,-21,TRUE,TRUE
32,Lovie Smith,3,CHI/HOU/TB,4,65,0.2883868449376591,-0.05782539051075303,45,-0.347739558985517,13,FALSE,TRUE
NA,Arthur Smith,1,ATL,3,51,0.2817187823317543,-0.07179668456625708,NA,0.227562159022337,NA,FALSE,FALSE
33,Rex Ryan,2,BUF/NYJ,5,79,0.2796250616622748,-0.07618356406518102,39,-0.130374070677965,6,FALSE,TRUE
NA,Mike Pettine,1,CLE,2,32,0.2759360684199172,-0.08391294700650259,NA,-0.0801907946691496,NA,FALSE,FALSE
NA,Bill Callahan,1,WAS,1,11,0.27471620646657036,-0.08646886932826338,NA,-0.0906610594552767,NA,FALSE,FALSE
NA,Kellen Moore,1,NO,1,17,0.25954457291466226,-0.11825731616563334,NA,-0.0215624050871092,NA,TRUE,FALSE
34,Kliff Kingsbury,1,ARI,4,66,0.25616108723403147,-0.12534658274432742,33,-0.051126731670976,-1,FALSE,TRUE
NA,Pat Shurmur,2,CLE/NYG,3,48,0.25482285107935027,-0.12815052924839915,NA,-0.114548890592733,NA,FALSE,FALSE
