off_caller,n_contested,contested_rate,contested_era_adj,contested_lo,contested_hi,contested_shrunk,rank_open,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp,pressed_rate,pressed_era_adj,n_mismatch,epa_lbs,epa_cb,mismatch_gap,mismatch_lo,mismatch_hi,rank_gap,hunt_rate,hunt_era_adj,hunt_shrunk,hunt_rank
Byron Leftwich,543,14.180478821362799,0.5718473911399471,-2.362385952112511,3.506080734392405,0.2993953981152855,33,741,68.0161943319838,68.8631618010853,-0.8469674691014945,-3.9694850612264605,2.275550123023472,41,20.07366482504604,1.4942543825567967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave Canales,1593,14.249843063402386,0.8693575675584615,-0.8472486686367031,2.585963803753626,0.6628948680850868,38,1596,66.2907268170426,66.126900490252,0.16382632679061415,-1.9973700552140514,2.32502270879528,31,18.832391713747647,0.6031628713458552,1253,0.16446879767466635,0.10991906142410118,0.05454973625056517,-0.12245914082997192,0.23155861333110225,15,45.73024740622506,-4.058020043257791,-3.450091760224117,38
Doug Pederson,550,9.090909090909092,-4.517722339313758,-6.920325485546403,-2.115119193081114,-2.8058188328618816,2,651,67.74193548387096,67.35551191777128,0.38642356609969375,-2.9805457147048973,3.7533928469042843,29,14.727272727272727,-3.852137715216518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Petzing,1545,16.116504854368934,2.7212154115114213,0.8877804017153985,4.554650421307445,2.0078429347032305,53,1550,68.7741935483871,67.98386198474515,0.79033156364196,-1.3368340576878763,2.917497184971796,26,17.0873786407767,-1.225446572424648,1177,0.11350327102209451,0.07046934590460047,0.04303392511749404,-0.13360514162877396,0.21967299186376205,20,55.81988105352591,5.9648555424803575,5.027684751511022,3
Eric Bieniemy,472,15.042372881355933,1.7792893468883992,-1.4458199269231504,5.0043986206999485,0.8475343303588472,42,576,67.36111111111114,67.28911282132484,0.0719982897862792,-3.504122758160498,3.6481193377330565,32,20.127118644067796,2.548970648541804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frank Reich,553,11.030741410488245,-2.4266737615559695,-5.037727699009633,0.1843801758976933,-1.4103743688674553,8,571,69.70227670753064,69.24890021674479,0.4533764907858657,-3.1095275737656194,4.016280555337351,27,15.551537070524413,-2.589707888845288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Roman,1500,14,0.49612436444097163,-1.2598722946295025,2.252121023511446,0.3741753876951789,35,1565,66.51757188498402,66.49142667460747,0.026145210376550723,-2.161574506630593,2.213864927383695,33,19.866666666666667,1.2414835055467464,1177,0.13281673817720016,0.08510001323319813,0.04771672494400203,-0.13890481794669882,0.23433826783470288,17,49.1928632115548,-0.9261977510095109,-0.7790290680625643,23
Joe Brady,1308,12.155963302752294,-1.2615016573202649,-3.0324383318112123,0.5094350171706823,-0.9474408502248021,14,1315,69.04942965779465,66.5629608016957,2.4864688560989916,0.1837646146071883,4.789173097590795,7,19.954128440366972,1.4799064287052595,972,0.2445500533989784,0.28243284879371205,-0.03788279539473366,-0.24385255497783265,0.16808696418836533,31,51.64609053497942,1.6485865705594236,1.3418772628923177,11
Joe Lombardi,591,10.65989847715736,-2.9487329530654893,-5.4368000386437245,-0.4606658674872546,-1.7824610821785858,5,712,69.9438202247191,68.81508033806354,1.1287398866555713,-2.034714768262793,4.292194541573935,21,19.4585448392555,0.8791343967662577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Grizzard,533,15.0093808630394,1.3527575790315574,-1.6794529560468505,4.384968114109965,0.6860541622612002,39,533,64.9155722326454,66.16534006416686,-1.2497678315214626,-4.9467126995338795,2.447177036490954,44,20.825515947467167,2.1531441640238924,415,0.1148157147545892,-0.10644192369403067,0.22125763844861987,-0.07278859774197957,0.5153038746392193,2,46.506024096385545,-4.544142116971962,-2.963621628261588,36
Josh McDaniels,1336,14.970059880239521,1.404327763431242,-0.5088289569849829,3.3174844838474673,1.012593341273705,45,1355,67.60147601476011,65.74447774469193,1.856998270068177,-0.456632701388735,4.17062924152509,13,21.332335329341316,2.897140357078481,967,0.24542174407304437,0.19067344133212916,0.05474830274091522,-0.1582045526369008,0.26770115811873124,13,49.22440537745605,-1.0986726607417054,-0.8932711199864786,25
Kellen Moore,2090,16.172248803827753,2.7184205469000933,1.1398570958189713,4.296983997981215,2.1517078287643794,54,2245,68.90868596881961,67.12244914873672,1.7862368200829297,-0.0024456693498755566,3.5749193095157352,16,17.6555023923445,-0.7201549878785976,1598,0.18194723430547532,0.21000770281577294,-0.028060468510297615,-0.1872106575066496,0.13108972048605438,29,48.748435544430535,-1.13742482791708,-0.9985363285375588,26
Ken Dorsey,1263,11.876484560570072,-1.5248242965077043,-3.3090272634441025,0.25937867042869356,-1.1409356701867883,9,1376,66.71511627906976,66.26386449423207,0.4512517848377042,-1.8929124643978334,2.795416034073242,28,22.169437846397468,3.87786637287007,914,0.13525719489797822,0.11065098685844767,0.02460620803953055,-0.19197089917880272,0.2411833152578638,24,46.82713347921226,-2.673231058693041,-2.1517440990342824,33
Kevin O'Connell,2178,13.314967860422406,-0.11811281272209762,-1.5449330225334705,1.3087073970892753,-0.09719810202470006,24,2243,69.01471243869814,66.651600119635,2.3631123190631667,0.5435692391865603,4.182655398939773,8,20.89072543617998,2.558031618279884,1675,0.11032902551127204,0.14486993400626705,-0.03454090849499501,-0.19767862234111372,0.12859680535112367,30,47.701492537313435,-2.0876051347562594,-1.843358971894868,30
Kevin Patullo,495,14.343434343434344,0.6868110594265016,-2.401068663313658,3.7746907821666613,0.34207067225462773,34,495,67.67676767676768,65.78801316143286,1.8887545153348222,-2.0031994546403435,5.780708485309988,12,21.01010101010101,2.3377292266577356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Stefanski,1582,14.664981036662452,1.2334318064721135,-0.5098083810967822,2.976671994041009,0.9335722128794093,44,1608,63.24626865671645,67.25260861199442,-4.006339955278046,-6.198057761485437,-1.814622149070654,53,19.785082174462705,1.5670861436535901,1127,-0.05284806042133545,-0.1022158736217689,0.04936781320043345,-0.14418150686204004,0.24291713326290695,16,51.109139307897074,1.3475446703661973,1.1255346465289455,12
Kliff Kingsbury,1512,13.756613756613756,0.2768791104361483,-1.4593172752153587,2.013075496087655,0.20997873169487807,30,1607,68.94835096453019,67.28116705893137,1.6671839055988427,-0.42033087457528495,3.7546986857729703,19,15.145502645502646,-3.471982629785117,1082,0.2588100665026857,0.0633595352665334,0.19545053123615228,0.001412450433511958,0.3894886120387926,4,50,0.04542334961146821,0.03767842980932695,19
Klint Kubiak,1171,12.382578992314262,-1.0987423184363383,-2.9853361505397054,0.787851513667029,-0.7983917622721336,17,1239,68.84584342211461,66.99733340254322,1.8485100195713793,-0.5725334458540678,4.269553484996827,14,15.713065755764305,-2.922529238625984,907,0.24492564536393835,0.06376436470640326,0.1811612806575351,-0.04496873171876861,0.4072912930338388,7,51.929437706725466,1.7505899135607097,1.4062677786379372,10
Kyle Shanahan,2212,13.381555153707053,-0.06838093921436617,-1.487183603407276,1.3504217249785437,-0.056384341948800744,25,2220,69.32432432432432,67.49665953621668,1.827664788107541,-0.03268374018680409,3.688013316401886,15,16.32007233273056,-2.0356483176692635,1623,0.3580442173856085,0.19014189709942597,0.16790232028618252,0.004877143368464759,0.33092749720390024,8,53.60443622920518,3.7203757566831617,3.274046917667937,5
Liam Coen,1125,14.488888888888889,1.0393651590220596,-1.0175132806795166,3.096243598723636,0.7182052123320616,40,1125,67.64444444444443,66.57279189560148,1.071652548842931,-1.5460190258418733,3.689324123527735,23,17.511111111111113,-1.131082834979349,857,0.21349389328282636,0.23521067728277303,-0.02171678399994667,-0.23354460652004136,0.19011103852014802,28,51.34189031505251,1.2026649250784516,0.955001578849106,14
Luke Getsy,1028,11.964980544747082,-1.3953802526879997,-3.3793874563696606,0.5886269509936612,-0.9854055457076157,13,1070,66.54205607476639,67.49305658808377,-0.9510005133174179,-3.58401109939416,1.682010072759324,42,16.731517509727627,-1.4123231029516496,712,0.0331531501537227,0.008640348421903957,0.024512801731818745,-0.23092617078358701,0.2799517742472245,25,47.6123595505618,-1.7818926463070497,-1.3585027780185428,28
Matt Canada,821,16.321559074299635,2.8488740147576213,0.32090292264169307,5.376845106873549,1.7003531176714706,51,854,64.8711943793911,66.73467604037751,-1.86348166098637,-4.853516635631259,1.1265533136585189,47,23.751522533495738,5.566031421541364,606,0.05910469241989942,0.019322999356860195,0.039781693063039227,-0.21767656790570042,0.2972399540317789,21,40.26402640264026,-9.410319214047632,-6.954661205650583,41
Matt LaFleur,2043,13.95007342143906,0.5195727688891267,-0.9828265802549718,2.0219721180332253,0.4194921123890935,36,2116,67.7693761814745,65.76911953114156,2.0002566503328985,0.1306514348572474,3.8698618658085495,11,17.719040626529612,-0.5936736150855602,1490,0.24901903361386155,0.15235194408439606,0.09666708952946548,-0.07044785395042633,0.2637820330093573,10,49.328859060402685,-0.5127419481527298,-0.44615719850738533,21
Matt Patricia,432,10.648148148148149,-2.960483282074703,-5.869210664324605,-0.05175589982480089,-1.5628743375783427,6,504,69.84126984126985,68.06536600259797,1.775903838671853,-1.9875515302092441,5.53935920755295,17,19.675925925925927,1.0965154834366828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Kafka,1291,14.252517428350115,0.7388458391627459,-1.1681486143378847,2.645840292663377,0.5337037797686601,37,1452,67.90633608815429,68.42988392764052,-0.5235478394862454,-2.752415175803855,1.7053194968313645,38,15.646785437645237,-2.640185451322134,935,0.10362389969689711,0.05866020802762071,0.044963691669276405,-0.1718244947227163,0.2617518780612691,19,51.55080213903744,1.3928735687797769,1.1254259608499462,13
Mike LaFleur,523,13.766730401529637,0.15525432987784882,-2.7977090225290553,3.108217682284753,0.0807916943754787,27,595,61.848739495798334,66.38284512928554,-4.5341056334872105,-8.248350208523572,-0.8198610584508486,54,17.017208413001914,-1.567712166331642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike McCarthy,1162,17.38382099827883,4.129956350554554,1.9509515827191115,6.3089611183899965,2.7499168953533486,56,1178,67.14770797962647,67.26102604703102,-0.11331806740450037,-2.6633640795357074,2.436727944726707,34,19.44922547332186,1.3646894280142625,921,0.19646566554058512,0.1389730711501229,0.057492594390462226,-0.15129975860157782,0.2662849473825023,12,45.928338762214985,-3.2577647036699275,-2.62747432038386,35
Mike McDaniel,2115,12.43498817966903,-0.9969082088225072,-2.403243512750587,0.40942709510557274,-0.824543974842819,16,2115,69.17257683215139,67.4697639467305,1.7028128854208242,-0.16559522620555733,3.571220997047206,18,18.67612293144208,0.33469151290726984,1477,0.17566473387558418,0.16878115722755344,0.0068835766480307425,-0.1693621255342779,0.1831292788303394,26,54.23155044008124,4.457639442840048,3.877885060836063,4
Nathaniel Hackett,883,16.194790486976217,2.8423006775279678,0.41234196481834395,5.272259390237592,1.7500786537867032,52,978,62.269938650306734,67.96963895025428,-5.699700299947546,-8.548589676628168,-2.850810923266924,57,21.630804077010193,3.577826956027671,648,0.04720391003835607,-0.14056899251978425,0.18777290255814033,-0.0562553236547122,0.43180112877099286,6,47.839506172839506,-1.5254105258721893,-1.1361766589823286,27
Nick Caley,624,13.301282051282051,-0.35534123272579166,-3.0198482330245353,2.309165767572952,-0.203006437364563,23,624,64.42307692307693,66.91239655782016,-2.4893196347432256,-6.043763874063109,1.065124604576658,52,25,6.327628216556725,530,0.2309980557801633,0.0030387627305809048,0.2279592930495824,-0.03298797693072275,0.48890656302988755,1,49.056603773584904,-1.993562439772603,-1.404422311625079,29
Pep Hamilton,443,11.963882618510159,-1.6447488117126916,-4.666931547454167,1.3774339240287845,-0.8368616755924596,15,517,62.862669245647965,67.84083173975954,-4.978162494111566,-8.859058380319816,-1.0972666079033164,55,18.058690744920995,-0.52071969756825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pete Carmichael,870,13.67816091954023,0.2613681486849888,-2.0219721501713885,2.544708447541366,0.1685096534921326,28,1054,69.44971537001896,66.58646598232087,2.863249387698112,0.25966231885874613,5.466836456537478,5,15.28735632183908,-2.736180831129186,641,0.0840024366323414,0.20077743285081628,-0.11677499621847488,-0.39228451933077857,0.15873452689382883,37,57.09828393135725,7.552549111148593,5.636322369895768,2
Press Taylor,1087,11.683532658693652,-1.5710814950473857,-3.4807115103120196,0.33854852021724824,-1.1339966062968452,10,1087,67.3413063477461,66.35868483820198,0.9826215095441074,-1.59532168352662,3.5605647026148346,25,16.74333026678933,-1.3000358519645268,819,0.13247005472851275,0.12971171173701104,0.002758342991501711,-0.21579621264148902,0.22131289862449244,27,51.52625152625153,2.339369114709889,1.840127707776705,9
Ryan Grubb,563,10.8348134991119,-2.40944341603109,-4.976942250727641,0.15805541866546102,-1.4200356290821874,7,563,72.46891651865009,67.79186916181926,4.6770473568308235,1.2788852282579386,8.075209485403708,1,15.985790408525755,-2.62649276071944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scott Turner,662,14.803625377643504,1.3447067391151002,-1.3606321594026576,4.0500456376328575,0.7581926137152005,41,786,65.52162849872772,67.45101025200071,-1.9293817532729935,-5.113112504045143,1.254348997499156,48,18.731117824773413,0.13820076343580467,479,0.07044030838753614,0.2218006318761854,-0.15136032348864925,-0.4369401201979334,0.13421947322063488,38,52.40083507306889,2.8094647707885514,1.9200197538650212,8
Sean McVay,2278,12.73046532045654,-0.7114058428601187,-2.0801827852384815,0.6573710995182442,-0.5938153176128829,18,2336,66.05308219178083,66.67885367745818,-0.625771485677326,-2.4396125083711677,1.1880695370165155,40,19.754170324846356,1.3832618196715778,1770,0.13732179102910738,0.2359635783867576,-0.09864178735765022,-0.24308668977824127,0.045803115062940825,34,46.15819209039548,-3.755870500768203,-3.3388106961706825,37
Sean Payton,1666,11.044417767106843,-2.3661947328254396,-3.871333663788975,-0.8610558018619041,-1.9090734951348762,4,1666,68.42737094837933,67.43155669640093,0.995814251978453,-1.0903143322239615,3.0819428361808674,24,15.486194477791116,-2.8627917152143887,1193,0.11376007632059404,0.08439511763396865,0.029364958686625392,-0.14853789891280345,0.20726781628605423,22,50.628667225481976,0.6940150796434565,0.5849763904534103,16
Shane Steichen,2086,14.525407478427613,1.0738300682686006,-0.4382737186986694,2.5859338552358704,0.8648288011362862,43,2102,65.6041864890581,66.77981227366956,-1.1756257846114795,-3.0854348451084643,0.7341832758855054,43,18.79194630872483,0.4304625120925465,1565,0.12331576203751049,0.09868752570724339,0.024628236330267103,-0.14046780582857143,0.18972427848910567,23,49.26517571884984,-0.6078370362453498,-0.5322177474363124,22
Shane Waldron,1291,13.632842757552286,0.23878702315100675,-1.6330174274064149,2.1105914737084284,0.17425646479624834,29,1357,69.3441414885777,66.7672333147654,2.576908173812328,0.3068829159087132,4.846933431715943,6,16.80867544539117,-1.3606444629357775,924,0.08119474551341366,0.16521102549306754,-0.08401627997965389,-0.2817267096869809,0.11369414972767308,33,47.18614718614719,-2.3100115333691704,-1.8630033991264812,31
Tanner Engstrand,402,12.437810945273633,-1.2188123387342085,-4.444878914744777,2.0072542372763604,-0.5803801506879799,19,402,63.184079601990064,68.37560799510325,-5.191528393113187,-9.616388980905743,-0.7666678053206306,56,12.686567164179104,-5.9858046192641705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thomas Brown,475,11.368421052631579,-1.8850311797394,-4.739685888924861,0.9696235294460616,-1.0127408366703046,12,497,65.79476861167002,66.15904431707662,-0.3642757054066101,-4.214215597910892,3.4856641870976715,36,21.894736842105264,3.787547062971342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Kelly,464,13.362068965517242,0.09898543104970692,-2.996922037071815,3.194892899171229,0.04917183287415424,26,471,63.69426751592358,64.1003206593722,-0.40605314344863097,-4.340092011351698,3.527985724454436,37,18.103448275862068,0.5253002803360758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Todd Downing,766,15.143603133159269,1.7138291672576038,-0.824796050420658,4.252454384935866,1.0194290765467056,46,804,65.4228855721393,67.8134200862836,-2.390534514144285,-5.517723451953799,0.7366544236652293,50,20.10443864229765,1.5088922399386462,540,0.18586621999152383,-0.013530319432417498,0.19939653942394134,-0.06398926976327537,0.4627823486111581,3,52.77777777777778,3.231660889259921,2.2909890303470166,6
Todd Monken,1389,10.655147588192944,-2.7131268734764955,-4.335756686761102,-1.0904970601918889,-2.1224691772594504,3,1411,69.17080085046065,66.12436708134173,3.0464337691189627,0.7595359422120693,5.333331596025856,4,18.79049676025918,0.5318956024638908,989,0.2932570407823151,0.2256424227597738,0.06761461802254132,-0.1451275658231223,0.28035680186820494,11,49.94944388270981,0.20407631818687832,0.1666089645406035,18
Zac Robinson,1017,15.634218289085545,2.190873972651854,-0.04124247715752771,4.422990422461236,1.435123366231245,50,1017,65.68338249754177,66.27613808465215,-0.5927555871103594,-3.301419020715886,2.1159078464951673,39,16.912487708947886,-1.7288057941923505,787,0.2191469832009704,0.031269183310751375,0.18787779989021902,-0.04670951526671918,0.4224651150471572,5,47.14104193138501,-2.96028840085701,-2.3096956957315515,34
Zac Taylor,2457,14.977614977614978,1.5327877886336747,0.12174083338340691,2.9438347438839427,1.2663011160092914,48,2472,70.4692556634304,68.10988974380743,2.359365919622965,0.649067533035907,4.069664306210022,9,22.629222629222628,4.2588056013855144,1852,0.13392457150255568,0.23816764914090718,-0.1042430776383515,-0.2555278670497876,0.04704171177308461,36,48.974082073434126,-0.88075130610439345,-0.7863567111320153,24
