name,pass_snaps,routes_run,run_blocks,total_snaps,route_rate,run_block_share
Zaire Mitchell-Paden,25,9,74,99,36,74.7474747474748
Nick Kallerup,24,13,79,103,54.1666666666667,76.6990291262136
Brady Russell,22,12,67,89,54.5454545454546,75.2808988764045
Sal Cannella,21,20,7,28,95.2380952380952,25
Zach Davidson,20,20,11,31,100,35.4838709677419
Travis Vokolek,20,15,54,74,75,72.972972972973
Carter Runyon,17,8,25,42,47.0588235294118,59.5238095238095
Tyree Jackson,17,15,21,38,88.2352941176471,55.2631578947369
Scotty Washington,13,10,8,21,76.9230769230769,38.0952380952381
Drake Dabney,12,7,29,41,58.3333333333333,70.7317073170732
Hayden Rucci,9,5,21,30,55.5555555555556,70
Nick Muse,9,6,9,18,66.6666666666667,50
Jordan Matthews,8,7,8,16,87.5,50
Cole Fotheringham,8,6,13,21,75,61.9047619047619
Thomas Fidone,8,7,2,10,87.5,20
Treyton Welch,7,4,6,13,57.1428571428572,46.1538461538462
Nikola Kalinic,7,4,39,46,57.1428571428572,84.7826086956522
Stephen Carlson,7,5,6,13,71.4285714285714,46.1538461538462
Matt Sokol,5,1,25,30,20,83.3333333333333
Princeton Fant,4,1,9,13,25,69.2307692307692
Baylor Cupp,4,3,2,6,75,33.3333333333333
Dalton Keene,3,2,5,8,66.6666666666667,62.5
Zach Horton,2,1,9,11,50,81.8181818181818
Tyler Mabry,2,2,6,8,100,75
Tanner McLachlan,1,1,3,4,100,75
Thomas Odukoya,0,0,1,1,,100
Zack Kuntz,0,0,2,2,,100
