off_play_caller,season,n_games,script_epa,n_script,rest_epa,n_rest,gap
Kellen Moore,2024,21,0.0162320192901622,315,0.271909307262252,359,-0.25567728797209
Kellen Moore,2025,17,-0.252661353967746,255,-0.03079516617424,337,-0.221866187793506
Ken Dorsey,2022,18,0.119509537964781,270,0.121902483567727,396,-0.00239294560294548
Ken Whisenhunt,2016,16,0.112174785494926,240,-0.0807047666360776,404,0.192879552131004
Ken Whisenhunt,2017,16,-0.027752083504255,240,0.106989559633079,321,-0.134741643137334
Ken Whisenhunt,2018,18,0.00688809146080102,270,0.136301247170824,215,-0.129413155710023
Ken Zampese,2016,16,0.186345294115673,240,-0.0130463657650406,415,0.199391659880714
Kevin O'Connell,2022,18,-0.0763541445256682,270,0.0683181352238974,371,-0.144672279749566
Kevin O'Connell,2023,17,-0.226907138123398,255,0.0111804336260329,498,-0.238087571749431
Kevin O'Connell,2024,18,0.125849666595926,270,-0.00933144563623907,341,0.135181112232165
Kevin O'Connell,2025,17,-0.0775742024758976,255,-0.185317321408789,332,0.107743118932892
Kevin Patullo,2025,18,0.156261423520847,270,-0.024870896721754,433,0.181132320242601
Kevin Stefanski,2019,18,0.0756501181623101,270,-0.0466828340678766,337,0.122332952230187
Kevin Stefanski,2020,17,0.0623157185137904,255,0.200228483616143,308,-0.137912765102352
Kevin Stefanski,2021,16,0.0728280019213961,240,-0.0331497807690565,323,0.105977782690453
Kevin Stefanski,2022,17,0.0020582181432319,255,0.00388994515388983,454,-0.00183172701065794
Kevin Stefanski,2023,18,-0.163306328091172,270,-0.192356456079648,452,0.0290501279884763
Kliff Kingsbury,2019,16,-0.00181729280749688,240,0.0613101395996906,350,-0.0631274324071875
Kliff Kingsbury,2020,16,-0.142249078464626,240,0.00862709585869504,409,-0.150876174323321
Kliff Kingsbury,2021,17,-0.0493566948288648,255,0.120972521114865,343,-0.170329215943729
Kliff Kingsbury,2022,17,-0.12075123766946,255,-0.156683779835628,405,0.0359325421661685
Kliff Kingsbury,2024,20,0.024105856860069,300,0.163702579343888,426,-0.139596722483819
Kliff Kingsbury,2025,17,-0.00798206293045801,255,0.0515375316784775,296,-0.0595195946089355
Klint Kubiak,2021,17,0.0321363394720148,255,0.0662125971859801,464,-0.0340762577139653
Klint Kubiak,2024,17,0.0068697028158188,255,-0.0550557001980135,360,0.0619254030138323
Klint Kubiak,2025,20,0.110947898531344,300,0.00738642089397232,332,0.103561477637372
Kyle Shanahan,2015,16,-0.0400035963213625,240,0.0177881481436259,577,-0.0577917444649884
Kyle Shanahan,2016,19,0.295979582523269,285,0.160495766491349,325,0.13548381603192
Kyle Shanahan,2017,16,-0.183818596439942,240,-0.0131709052560637,388,-0.170647691183878
Kyle Shanahan,2018,16,-0.0848332976535016,240,-0.0733756789179654,340,-0.0114576187355362
Kyle Shanahan,2019,19,0.0501543656270158,285,0.0878947440121813,396,-0.0377403783851655
