coach,season,wat17,act17,wae17,games,fourth_s,penalties_s,plays_pen,offense_s,defense_s,off_plays,def_plays,two_s,tds
Jim Schwartz,2012,-4.87989573273111,4.25,-4.38837519168864,16,NA,0.006511039354388588,1335,-0.02830347419698532,-0.03361183762689336,1152,985,-0.021937563993638762,39
Jim Schwartz,2013,-1.74385739555615,7.4375,-2.44698422066642,16,NA,0.008303999946967889,1248,-0.022417624500204115,0.016517996673464236,1092,972,0.05473856209150326,45
Jim Tomsula,2015,-3.59373466633825,5.3125,0.438145060367717,16,NA,-0.00153463342536473,1147,-0.10007093460547134,-0.06668533635551448,960,1057,0.009717409167232322,23
Joe Judge,2020,0.305045032432242,6.375,0.64100157461232,16,-5.058444992479122e-6,-0.002639754415167027,1123,-0.01698898496582557,0.029666172641266964,950,1038,0.0672894550601557,25
Joe Judge,2021,-2.8576126869944,4,-0.991631943634081,17,-0.0013500986443296947,0.004314712468399248,1229,-0.11275717394650672,-0.013929974355998073,1042,1126,0.10398924249215598,23
Joe Philbin,2012,-0.200786070679243,7.4375,-0.110725264099088,16,NA,0.0034664579843269733,1147,-0.03590031142629186,-0.010612604603112183,961,1063,0.021386927606714908,29
Joe Philbin,2013,0.284233850042741,8.5,0.278238113572774,16,NA,0.011498721891689833,1155,-0.01648188832475309,-0.02836209206490036,989,1084,-0.025122549019607844,32
Joe Philbin,2014,0.185954292965917,8.5,-0.62808594130016,16,NA,0.003019465929626597,1215,0.038416696241842054,-0.03280731164133243,1027,1019,-0.022853957636566335,39
Joe Philbin,2015,-2.57603071766043,6.375,-1.35240591659654,16,NA,-0.007901613364050847,1162,-0.03444081753482822,-0.070850743995817,968,1058,0.008475173142387604,35
Joe Vitt,2012,-2.12954764778874,8.5,0.0352459049281197,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Fox,2012,4.37533107741813,13.8125,2.71604915647911,16,NA,0.005300183028878743,1249,0.06687017432367029,0.10244088610410375,1065,1005,-0.007578589634664401,50
John Fox,2013,3.91742641703887,13.8125,0.795831886896789,16,NA,0.0017501753896976974,1306,0.1602888103715604,0.024597106452797068,1132,1071,-0.042483660130718956,72
John Fox,2014,2.47966412043839,12.75,0.579965926637014,16,NA,-0.005002746376387583,1245,0.044726399486359335,0.06417556945957617,1046,1029,-0.012131346913955614,55
John Fox,2015,-1.51244032341642,6.375,-0.052234663124513,16,NA,-0.0027523267251694655,1210,0.005171464699361434,-0.03480751525623501,1022,967,0.06981971095751366,34
John Fox,2016,-4.42091115427904,3.1875,-3.2221201696804598,16,NA,-0.006428220426916216,1124,-0.005760632257270387,-0.0679426536333305,958,992,-0.08488278092158448,29
John Fox,2017,-3.09675108658877,5.3125,-0.650110875598465,16,NA,-0.01247211536033268,1126,-0.06552663908366467,0.011874586156816566,930,987,0.0010183990766515078,26
John Harbaugh,2012,2.64852674101262,10.625,0.979507172944954,16,NA,-0.008071097937500202,1233,0.02492395195353355,0.0028922832389327254,1029,1079,-0.023188345732225377,41
John Harbaugh,2013,-0.684731131463648,8.5,0.135017084241401,16,NA,-0.005728207682800718,1312,-0.13581308759304891,0.025936690929476612,1084,1019,0.05473856209150326,27
John Harbaugh,2014,1.96401414906284,10.625,0.100645236424528,16,NA,-0.0015988494587939328,1173,0.05731234586423861,0.0274433433632656,1001,1028,0.042414107631498936,44
John Harbaugh,2015,-3.66173838801165,5.3125,-2.26197327641526,16,NA,0.00392431803307873,1270,-0.08759056348712602,-0.023081770601263825,1079,992,0.06069192191086051,29
John Harbaugh,2016,0.232057737047692,8.5,-0.379657436488856,16,NA,-0.009237809290880958,1266,-0.050906476981208336,0.056197636987977743,1064,981,0.08178388574508218,30
John Harbaugh,2017,0.242583060663007,9.5625,-0.135838316802662,16,NA,0.008367648201382957,1220,-0.05532277049458232,0.09031239412771108,1038,1035,0.007428655486907909,36
John Harbaugh,2018,2.85259869055759,10.625,0.671457779600438,16,0.005752663344023908,-4.534818039151206e-4,1306,0.034382303316918834,0.10167294460935662,1116,969,0.007644429591879359,37
John Harbaugh,2019,7.40189792985432,14.875,3.66023632564565,16,0.011868999981834773,0.006948844642977996,1187,0.2637277669795504,0.1162567257150404,1042,918,-0.0039766629055783265,58
John Harbaugh,2020,1.97431468899497,11.6875,-0.331115168955693,16,0.010302612378105858,-0.009728671683668089,1124,0.06006479065013253,0.07078895742718687,979,1015,-0.05424900647830584,52
John Harbaugh,2021,-1.34706058437232,8,-1.42016960002202,17,0.002329940954935543,-0.005038011235534837,1363,-0.003922389616501442,-0.09185281349854639,1177,1023,0.08659793814432991,40
John Harbaugh,2022,1.1181594623226,10,0.139414245960444,17,0.003424524715069436,0.0036332441842862155,1192,0.019166378000636097,-0.012487252186401995,1030,1039,-0.0366055002594462,34
John Harbaugh,2023,2.26477812030337,13,2.44722928797998,17,0.0036336286084204528,-0.004610476498214222,1249,0.03983774691421459,0.0882134379023194,1064,1104,-0.06560019650889665,53
John Harbaugh,2024,0.974009392973207,12,0.375598403440945,17,0.008450921524387707,-0.004956259029919939,1208,0.14314272713237147,0.03003354853931453,1039,1058,-0.053808450502665375,63
John Harbaugh,2025,-4.05069585537701,8,-2.65385594770014,17,-0.0028244240235348363,0.001754078468571639,1117,-0.07350837490435314,-0.052968891690941156,956,1076,-0.05283475643668008,46
Jon Gruden,2018,-4.35124653907567,4.25,-1.17260956596882,16,0.007948886469808503,-0.005160903993189046,1163,-0.07066585528680651,-0.13691355498538138,978,955,-0.02903510708765733,28
Jon Gruden,2019,0.100286779625639,7.4375,0.512913833370408,16,0.0036301158527736847,0.004534041204548402,1130,0.07405689881105089,-0.07501201532558652,981,948,-0.0616121308858739,35
Jon Gruden,2020,-1.12107706108963,8.5,0.562302757644462,16,-0.0059600472222402015,0.009691678328235,1166,-0.023563129393780066,-0.10485827014854134,1024,1029,-0.07187721160651098,48
Jonathan Gannon,2023,-2.97982482327188,4,-0.542384576501005,17,0.011758140353026265,-0.0027399816921945264,1258,-0.016430282577698546,-0.06979724088018395,1071,1047,0.26809252586307103,35
Jonathan Gannon,2024,0.605111009367591,8,0.0125380678465934,17,-0.0023989853619391273,0.0032573638051321685,1206,0.07047195285127242,-0.008585154859626812,1031,1032,0.01762012092590605,42
Jonathan Gannon,2025,-3.28275435299002,3,-3.52156363528594,17,0.00951884994501546,-0.0023078465661543895,1251,0.04736696486708553,-0.06866982799627863,1074,1053,0.008950140588491542,38
Josh McDaniels,2022,-2.82833625662194,6,-2.41735097721157,17,-0.003830540105310268,-0.00857976916189332,1226,-0.011806174145890518,-0.06519051642274405,1048,1065,0.004570970328789101,40
Josh McDaniels,2023,-1.12669846723686,6.375,-1.12591503615651,8,-0.011424649624404312,0.00452632563480776,1163,-0.03456050014727939,0.034656672138342434,997,1072,0.025696212499015714,31
Kellen Moore,2025,-1.42223944123881,6,-0.233260537294564,17,0.0014023256999745048,-0.003240540667489196,1247,-0.0609354098191491,0.07548303029382948,1064,1029,0.010829839836611843,28
Ken Whisenhunt,2012,-2.41854649683482,5.3125,-0.459649677436775,16,NA,-0.0011909820114389888,1219,-0.2295210178884067,0.11048616566824015,1013,1023,-0.0475785896346644,21
Ken Whisenhunt,2014,-5.66934604177158,2.125,-3.80389906706473,16,NA,-0.009981782594587603,1091,-0.0773125710085895,-0.08057950758003218,905,1077,-0.010033444816053512,26
Ken Whisenhunt,2015,-4.62789375414089,3.1875,-3.47848237225257,16,NA,0.0028557016101316,1148,-0.08426617599987805,-0.043198830102868534,971,982,0.06561803028524474,35
Kevin O'Connell,2022,3.66559739533308,13,3.26209672789094,17,-0.003701662966667126,8.843948952841837e-4,1305,-0.0323224739239987,-0.022215324820162977,1114,1113,-0.013796376609986422,49
Kevin O'Connell,2023,-1.18988266644334,7,-1.03400517334061,17,-0.015957430330439944,-1.1253242405343672e-4,1238,-0.007252036221816534,0.005876773059926021,1063,1079,-0.07630901853847338,37
Kevin O'Connell,2024,5.80487530066711,14,4.29116952174046,17,0.00244263225255344,-0.0033363289731786067,1229,0.02228774255662335,0.08826758878483701,1029,1074,-0.07870022539444027,44
Kevin O'Connell,2025,-0.124417167894269,9,1.14483125142458,17,-0.006964994096702967,-0.004359372161021932,1121,-0.12522888243221933,0.0772899534465536,943,1017,0.02489910390587592,33
Kevin Stefanski,2020,3.18383965540312,11.6875,1.91306087767563,16,0.014807105286296165,-0.004319788431811772,1156,0.07268592873725922,-0.06289034649692886,1004,1028,-0.05104387827317764,48
Kevin Stefanski,2021,-0.994650977371073,8,-1.33669166813602,17,-8.966557471989517e-4,-0.00948197250134409,1208,-6.811296056260258e-4,-0.013311837610628412,1043,1047,-0.015841086245914,41
Kevin Stefanski,2022,-1.75024138433363,7,-1.25615203941828,17,0.0027817323136419513,-7.838242340706264e-4,1271,0.03267972754732854,-0.054053853530288486,1099,1025,-0.016481661250158278,38
Kevin Stefanski,2023,1.76008785228187,11,2.36338510839254,17,0.008119529956626086,0.00205940354474924,1382,-0.10404998539919195,0.110346204271658,1181,991,0.12743318520373037,39
Kevin Stefanski,2024,-6.06807662174483,3,-3.39749182011633,17,-2.107446294899555e-4,-0.004422446324056348,1329,-0.18418179943117594,-0.04640184659186304,1121,1011,0.1948687981745833,27
Kevin Stefanski,2025,-3.27654797417629,5,-0.563624650166982,17,-0.007939655835983796,-0.007619684403887432,1237,-0.18160321560068265,0.0889396952287031,1028,994,0.05753313653990856,26
Kliff Kingsbury,2019,-0.625025925963066,5.84375,0.367349365477299,16,-0.0022553317367735963,0.005572176958429084,1167,0.06265442639273587,-0.06309641570290823,988,1067,-0.011236191036249843,38
