off_caller,tier,n_contested,contested_rate,contested_era_adj,contested_lo,contested_hi,contested_era_shrunk,rank_open,n_in_tier_contested,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp,n_in_tier_comp
Kevin Stefanski,WR1,352,19.886363636363637,3.4131905285177666,-0.7566135549580686,7.582994611993602,2.5519339648266692,30,36,352,54.26136363636363,58.81992501037365,-4.558561374009998,-9.617023155413417,0.49990040739342145,32,36
Kliff Kingsbury,WR1,315,18.095238095238095,1.3320280949001955,-2.919426267730417,5.583482457530808,0.9860752458964568,24,36,315,67.93650793650792,64.58238777187135,3.3541201646365773,-1.334463657913032,8.042703987186187,11,36
Klint Kubiak,WR1,235,13.617021276595745,-3.4091177544743925,-7.7941953833027755,0.9759598743539906,-2.4825388044064414,6,36,235,72.3404255319149,63.24191645104834,9.09850908086656,3.5895834984743917,14.607434663258728,2,36
Kyle Shanahan,WR1,419,18.85441527446301,2.30873746119158,-1.4365748751579601,6.05404979754112,1.814652741181176,27,36,419,67.30310262529832,63.21796530186419,4.085137323434145,-0.2595792363203815,8.42985388318867,8,36
Liam Coen,WR1,200,18.5,1.729401141794476,-3.6521285663833023,7.110930849972254,1.1070728946281718,25,36,200,60.5,59.363140657544136,1.1368593424558637,-5.268860033432023,7.5425787183437505,20,36
Luke Getsy,WR1,241,14.522821576763485,-1.6879404041455377,-6.136282100111651,2.7604012918205756,-1.2195346388451038,13,36,241,68.87966804979253,63.01857627526359,5.861091774528953,0.38886599858795723,11.33331755046995,3,36
Matt Canada,WR1,214,17.289719626168225,0.8081109700068154,-4.258562385285671,5.874784325299302,0.5393573897850409,22,36,214,57.476635514018696,63.811181826847744,-6.334546312829049,-12.368331272211051,-0.30076135344704635,34,36
Matt LaFleur,WR1,352,23.579545454545453,7.015228271750935,2.580599582031919,11.449856961469951,5.077166089012439,34,36,352,59.94318181818181,60.465494246984065,-0.5223124288022518,-5.2454738159171015,4.200848958312598,28,36
Mike Kafka,WR1,281,12.811387900355871,-3.9597459610712633,-7.867532963484518,-0.05195895865800937,-3.054392084287825,4,36,281,68.68327402135232,68.39762240436154,0.28565161699078123,-4.753210460419449,5.324513694401013,24,36
Mike McCarthy,WR1,319,14.420062695924765,-1.7074752463808611,-5.562527651125119,2.1475771583633967,-1.325201615983512,12,36,319,71.15987460815049,66.48973020079741,4.670144407353061,-0.13455150487993528,9.474840319586058,6,36
Mike McDaniel,WR1,556,14.028776978417266,-2.464077146241184,-5.350800286875986,0.42264599439361694,-2.1210061477434548,8,36,556,67.80575539568343,62.367454152420265,5.438301243263169,1.7744222181650482,9.10218026836129,5,36
