coach,seasons,off_before,off_after,def_before,def_after,avail,off_gain,rank_before,rank_after
Mike Zimmer,8,-0.005048079252823041,-0.001804282396285291,0.0360898223111349,0.030403356440160748,0.7777637288583851,0.0032437968565377498,26,24
Chuck Pagano,5,-0.0038326188453001904,-0.0029140995778586896,-0.02773477896184482,-0.014772978424516144,0.7961030204547636,9.185192674415008e-4,25,25
Zac Taylor,7,-0.0018408060728781856,-0.008014261425084872,-0.042028140542217894,-0.047787782106805454,0.8006873986149696,-0.006173455352206686,24,26
Mike Tomlin,13,0.005729803275541254,-0.009027978348172675,0.013221828646269421,0.010721617840120804,0.8303000961016676,-0.014757781623713929,21,27
Marvin Lewis,6,-0.005637426765830757,-0.010103615823484185,0.002355174731674606,-0.010184147192147277,0.8139594672170025,-0.004466189057653428,27,28
Jay Gruden,6,-0.037404486087834435,-0.011419788098169473,-0.0591435476589133,-0.0434410465314873,0.7306123112043533,0.025984697989664962,39,29
Bill O'Brien,7,-0.006547823907569737,-0.013634140070641208,0.01725618676583322,0.021611125280854595,0.797358136498139,-0.007086316163071471,28,30
Bruce Arians,8,-9.217154213827402e-4,-0.014271512883429859,0.07432561669822794,0.0649625112298294,0.837668912671185,-0.01334979746204712,23,31
Frank Reich,6,-0.013885747656228818,-0.01867091717420632,0.01014262626205687,0.009759277836189312,0.7817344971179243,-0.0047851695179775035,32,32
Doug Pederson,8,-0.026238478327500377,-0.021664760918231666,-0.017850184524080798,-0.020890417531805813,0.7750089808610681,0.004573717409268711,35,33
Ron Rivera,11,-0.023336101959732024,-0.02326935447576447,0.012714572905353213,0.011294477375271832,0.7901042557084975,6.674748396755595e-5,34,34
Jim Harbaugh,4,-0.021787182600113066,-0.02374377891619767,0.07053533430114414,0.07712877107541005,0.8277677906572609,-0.0019565963160846044,33,35
Jim Caldwell,4,-0.011781067858383796,-0.025086365034820042,0.010926333714145682,0.016284212275296292,0.836326736738988,-0.013305297176436246,31,36
Doug Marrone,6,-0.03714218121616797,-0.03144064047534281,0.01751371274251168,0.00928691865820413,0.7616930475992194,0.005701540740825156,38,37
Gus Bradley,4,-0.06846863036920318,-0.03152165267729565,-0.02259969193395479,-0.02882233248882316,0.6977835165165049,0.03694697769190754,42,38
Kevin O'Connell,4,-0.02844564278362793,-0.038228473924720265,0.03545873854474413,7.613181114103986e-4,0.8032807207454049,-0.009782831141092335,36,39
Robert Saleh,4,-0.06388508393171581,-0.0385389730021378,-0.009711554251196401,-0.012975061711658254,0.6856513126834178,0.02534611092957801,41,40
Kevin Stefanski,6,-0.06347597069693453,-0.0420200215020664,0.0034912883726915403,0.004366825347216818,0.7148523284353088,0.02145594919486813,40,41
Matt Nagy,4,-0.03418709988527891,-0.04597135881615844,0.0340171269606868,0.02116885822452024,0.782885648774729,-0.011784258930879532,37,42
Adam Gase,5,-0.0804453101059906,-0.05464506722008315,-0.019681595969604632,0.0049813073366398565,0.7002251991511712,0.025800242885907446,43,43
