season,team,coach,n_players,top25_ovr,talent_z,wins,predicted_wins,residual_wins
2018,HOU,Bill O'Brien,25,79.84,-0.7569716361677208,11,7.222441830601661,3.777558169398339
2018,IND,Frank Reich,25,79.48,-0.9531983069294737,10,6.949771486059152,3.050228513940848
2018,JAX,Doug Marrone,25,83.72,1.3579158153756166,5,10.161222210670925,-5.161222210670925
2018,KC,Andy Reid,25,81.04,-0.10288273362854199,12,8.131342979076695,3.8686570209233047
2018,LA,Sean McVay,25,81.8,0.311373571312932,13,8.706980373110873,4.2930196268891265
2018,LAC,Anthony Lynn,25,80.84,-0.2118975507184064,12,7.979859454330854,4.020140545669146
2018,MIA,Adam Gase,25,80.24,-0.5389420019879997,7,7.525408880093332,-0.5254088800933321
2018,MIN,Mike Zimmer,25,82.6,0.7474328396723819,8.5,9.312914472094226,-0.8129144720942261
2018,NE,Bill Belichick,25,84.48,1.7721721203170984,11,10.736859604705115,0.26314039529488475
2018,NO,Sean Payton,25,82.96,0.9436595104341349,13,9.585584816636734,3.414415183363266
2018,NYG,Pat Shurmur,25,77.44,-2.0651494412460782,5,5.404639533651595,-0.40463953365159533
2018,NYJ,Todd Bowles,25,78.88,-1.280242758199067,4,6.495320911821631,-2.495320911821631
2018,OAK,Jon Gruden,25,81.48,0.13694986396915512,4,8.464606733517538,-4.464606733517538
2018,PHI,Doug Pederson,25,86.08,2.6442906570359983,9,11.948727802671819,-2.9487278026718187
2018,PIT,Mike Tomlin,25,83.04,0.9872654372700868,9.5,9.64617822653508,-0.1461782265350795
2018,SEA,Pete Carroll,25,80.6,-0.3427153312262468,10,7.798079224635841,2.201920775364159
2018,SF,Kyle Shanahan,25,80.52,-0.38632125806219103,4,7.737485814737506,-3.7374858147375063
2018,TB,Dirk Koetter,25,81.24,0.006132083461314702,5,8.282826503822525,-3.282826503822525
2018,TEN,Mike Vrabel,25,82.24,0.5512061689106291,9,9.040244127551716,-0.04024412755171625
2018,WAS,Jay Gruden,25,81.96,0.39858542498482047,7,8.828167192907543,-1.828167192907543
2019,ARI,Kliff Kingsbury,25,76.8,-1.2099688890395117,5.5,6.592971246720988,-1.092971246720988
2019,ATL,Dan Quinn,25,80.52,0.6328496441138002,7,9.153693305621529,-2.1536933056215286
2019,BAL,John Harbaugh,25,79.92,0.33562084844391393,14,8.74067361870209,5.25932638129791
2019,BUF,Sean McDermott,25,78,-0.6155112976997321,10,7.419010620559874,2.580989379440126
2019,CAR,Ron Rivera,25,80.48,0.6130343910691449,5,9.126158659826904,-4.126158659826904
2019,CHI,Matt Nagy,25,81.32,1.0291547050069842,8,9.704386221514117,-1.7043862215141168
2019,CIN,Zac Taylor,25,78.04,-0.5956960446550698,2,7.446545266354508,-5.446545266354508
2019,CLE,Freddie Kitchens,25,79.08,-0.08049946549393253,6,8.162446057014868,-2.1624460570148685
2019,DAL,Jason Garrett,25,82.44,1.5839817902574462,8,10.475356303763744,-2.4753563037637445
2019,DEN,Vic Fangio,25,77.32,-0.9523705994589431,7,6.950921642051169,0.0490783579488312
2019,DET,Matt Patricia,25,77.36,-0.9325553464142807,3.5,6.978456287845802,-3.478456287845802
2019,GB,Matt LaFleur,25,79.52,0.13746831799731837,13,8.465327160755791,4.534672839244209
2019,HOU,Bill O'Brien,25,77.72,-0.7542180690123476,10,7.226268099997467,2.7737319000025327
2019,IND,Frank Reich,25,80.24,0.49414287280118474,7,8.960950785059122,-1.9609507850591221
2019,JAX,Doug Marrone,25,79.24,-0.001238453315297118,6,8.272584640193385,-2.2725846401933847
2019,KC,Andy Reid,25,80.4,0.5734038849798272,12,9.071089368237647,2.928910631762353
2019,LA,Sean McVay,25,80.64,0.6922954032477803,9,9.23629724300542,-0.23629724300542065
2019,LAC,Anthony Lynn,25,77.6,-0.81366382814632765,5,7.143664162613575,-2.1436641626135753
2019,MIA,Brian Flores,25,74.12,-2.5375908430316794,5,4.748149978480818,0.2518500215191821
2019,MIN,Mike Zimmer,25,79.32,0.03839205277402059,10,8.327653931782642,1.672346068217358
2019,NE,Bill Belichick,25,81.84,1.28675299458756,12,10.062336616844306,1.9376633831556944
2019,NO,Sean Payton,25,81.92,1.3263835006768776,13,10.117405908433565,2.8825940915664354
2019,NYG,Pat Shurmur,25,75.72,-1.7449807212453112,4,5.849535810265993,-1.8495358102659933
2019,NYJ,Adam Gase,25,78.6,-0.31828250202984576,7,7.832030307479313,-0.8320303074793127
2019,OAK,Jon Gruden,25,76.72,-1.2495993951288293,7,6.53790195513173,0.4620980448682701
2019,PHI,Doug Pederson,25,83.16,1.9406563450613126,9,10.970979928067074,-1.9709799280670737
2019,PIT,Mike Tomlin,25,80.28,0.5139581258458471,8,8.988485430853755,-0.9884854308537552
2019,SEA,Pete Carroll,25,80.04,0.39506660757789397,11,8.823277556085982,2.1767224439140183
2019,SF,Kyle Shanahan,25,80.72,0.731925909337098,13,9.291366534594678,3.708633465405322
2019,TB,Bruce Arians,25,77.4,-0.9127400933696184,7,7.005990933640436,-0.005990933640435792
2019,TEN,Mike Vrabel,25,80,0.3752513545332316,9,8.795742910291349,0.2042570897086513
2019,WAS,Bill Callahan,25,79.28,0.018576799729365254,3,8.300119285988018,-5.300119285988018
2020,ARI,Kliff Kingsbury,25,78.08,-0.35317504999721133,8,7.783544731898309,0.2164552681016909
2020,ATL,Raheem Morris,25,77.6,-0.5799630419686702,4,7.468407346807361,-3.4684073468073606
2020,BAL,John Harbaugh,25,80.72,0.8941589058458027,11,9.516800349898517,1.4831996501014828
2020,BUF,Sean McDermott,25,79.56,0.34608792524811643,13,8.755218335928731,4.244781664071269
2020,CAR,Matt Rhule,25,77.6,-0.5799630419686702,5,7.468407346807361,-2.4684073468073606
2020,CHI,Matt Nagy,25,78.48,-0.1641850566876611,8,8.046159219474102,-0.04615921947410229
2020,CIN,Zac Taylor,25,76.56,-1.0713370245734901,4.5,6.785609679110314,-2.2856096791103138
2020,CLE,Kevin Stefanski,25,79.68,0.40278492324098286,11,8.83400268220147,2.1659973177985297
2020,DAL,Mike McCarthy,25,80.72,0.8941589058458027,6,9.516800349898517,-3.516800349898517
2020,DEN,Vic Fangio,25,77.28,-0.7311550366163051,5,7.258315756746733,-2.2583157567467333
2020,DET,Matt Patricia,25,78.12,-0.3342760506662536,5,7.809806180655892,-2.809806180655892
2020,GB,Matt LaFleur,25,80.28,0.6862699132053015,13,9.22792441356515,3.77207558643485
2020,HOU,Romeo Crennel,25,77.52,-0.6177610406305789,4,7.415884449292204,-3.4158844492922036
2020,IND,Frank Reich,25,79.48,0.30828992658620774,11,8.702695438413574,2.297304561586426
2020,JAX,Doug Marrone,25,76.2,-1.2414280185520825,1,6.549256640292105,-5.549256640292105
2020,KC,Andy Reid,25,81.04,1.0453509004934443,14,9.726891939959152,4.2731080600408475
2020,LA,Sean McVay,25,78.76,-0.03189206137097728,10,8.229989360777155,1.7700106392228445
