off_play_caller,n_games,n_script,script_epa,v_script,n_rest,rest_epa,v_rest,gap,se_gap,gap_lo,gap_hi,rank_gap,rank_script
Luke Getsy,43,645,0.139803819428434,1.53560666156603,935,-0.179056509533511,2.18577431429256,0.318860328961945,0.0686914264021219,0.184225133213786,0.453495524710104,1,1
Marty Mornhinweg,44,660,0.00536785969464737,1.65708445792902,910,-0.0694636021696503,2.10068447883594,0.0748314618642976,0.0694203032937949,-0.0612323325915404,0.210895256320136,5,24
Matt Canada,45,675,-0.164963099968321,1.57279497147459,1152,-0.0017662037822617,1.4369754227191,-0.163196896186059,0.0598117139304243,-0.280427855489691,-0.0459659368824275,62,63
Matt LaFleur,142,2130,0.0821904263301576,1.77231862017715,2971,0.0892675685019683,1.99535795230713,-0.00707714217181066,0.0387773907336092,-0.0830808280096848,0.0689265436660635,24,6
Matt Nagy,52,780,-0.0380584348869952,1.80270667119442,1085,0.0108613486971716,1.63141194785134,-0.0489197835841668,0.0617638072082497,-0.169976845712336,0.0721372785440027,47,41
Mike Kafka,53,795,-0.0857243405122419,1.48616321828892,1182,-0.0197697837533453,1.87072369843777,-0.0659545567588966,0.0587542701408421,-0.181112926234947,0.0492038127171539,51,54
Mike McCarthy,89,1335,0.0386401445474747,1.91892768495658,1783,0.011347939681206,1.79645224711665,0.0272922048662687,0.0494463723777403,-0.0696226849941022,0.12420709472664,11,12
Mike McDaniel,70,1050,0.116298250082187,1.96207197289691,1250,-0.0255545386408228,1.89089952855989,0.14185278872301,0.0581494591293457,0.0278798488294923,0.255825728616528,3,2
Mike Shula,53,795,0.0184080789807614,1.99719133103948,1049,0.0320340275595991,1.89346064087538,-0.0136259485788377,0.0657054431822877,-0.142408617216122,0.115156720058446,31,18
Nathaniel Hackett,70,1050,-0.0953251780526454,1.82296689679955,1741,-0.136603207690955,1.70308538601234,0.0412780296383099,0.0520997260750396,-0.0608374334687677,0.143393492745387,8,56
Norv Turner,52,780,0.00726469306856081,1.70459128295052,1092,-0.0200525709050872,1.91984536237225,0.027317263973648,0.062797082642211,-0.0957650180050856,0.150399545952382,10,22
Pat Shurmur,92,1380,-0.0324575352344167,1.666959106338,1873,-0.020649088595971,2.00973873358413,-0.0118084466384456,0.0477592564660764,-0.105416589311955,0.0817996960350641,30,40
Randy Fichtner,49,735,-0.166650295915331,1.91441715405505,1158,0.0802604236436557,1.96407772591682,-0.246910719558986,0.0655800575165063,-0.375447632291339,-0.118373806826634,64,64
Rob Chudzinski,40,600,-0.0518466265033878,1.70035473293855,1040,-0.00489787104250511,1.76240191818287,-0.0469487554608827,0.0672944409585188,-0.178845859739579,0.084948348817814,46,45
Scott Linehan,67,1005,0.0141571143161015,1.59666866427141,1764,0.0222262686959907,1.89241683410823,-0.00806915437988923,0.0515899573353917,-0.109185470757257,0.0930471619974786,25,20
Scott Turner,63,945,-0.162918386110909,1.77937697810871,1380,-0.0493997761955487,1.79044703686175,-0.11351860991536,0.0563947159776826,-0.224052253231618,-0.00298496659910218,61,62
Sean McVay,197,2955,0.0242379908190151,1.791456751907,4518,0.046892050750403,2.04914822177551,-0.0226540599313879,0.0325545388998877,-0.0864609561751677,0.0411528363123919,32,15
Sean Payton,174,2610,0.0175718990014936,1.628640535455,3777,0.0509084473902294,1.84526329660752,-0.0333365483887358,0.0333549522353559,-0.0987122547700335,0.0320391579925618,36,19
Shane Steichen,104,1560,0.070423734382259,1.95831906357018,2502,-0.0141308699583405,2.07851645028483,0.0845546043405995,0.0456735669680234,-0.00496558691672634,0.174074795597925,4,8
Shane Waldron,61,915,-0.0185848996363429,1.88073337814603,1406,0.00631860615138231,1.94498286283642,-0.0249035057877252,0.0586412070780537,-0.139840271660711,0.09003326008526,33,36
Tim Kelly,50,750,-0.143321668279501,1.8411399283566,944,0.0458409436843466,1.68002279664307,-0.189162611963847,0.0650733309716374,-0.316706340668256,-0.0616188832594378,63,60
Todd Downing,63,945,-0.0304948411505758,1.89735299938863,1354,0.00767902740339569,1.91252261265006,-0.0381738685539715,0.058483153031885,-0.152800848496466,0.0764531113885231,40,39
Todd Haley,62,930,0.0214962370666199,1.85327707952698,1585,0.00823981288241422,1.915148176201,0.0132564241842057,0.0565779677309237,-0.0976363925684047,0.124149240936816,18,16
Todd Monken,63,945,0.0988420089860079,1.93551836578044,1091,0.0551442927784691,2.22711500456768,0.0436977162075388,0.0639493515032971,-0.0816430127389235,0.169038445154001,7,4
Zac Taylor,128,1920,-0.00993496722121682,1.81251711283678,3086,0.0343045581430796,1.98996754039671,-0.0442395253642964,0.0398604629996646,-0.122366032843639,0.0338869821150463,44,29
