def_play_caller,n,unblocked_actual,unblocked_resid,unblocked_rank,won_actual,won_resid,won_rank,pressure_actual,pressure_resid,pressure_rank,blitz_actual,blitz_resid,blitz_rank,schemed_blitz_actual,schemed_blitz_resid,hl,ol
Josh Boyer,743,9.28667563930013,1.7975775264253642,5,35.66621803499328,3.070031988909569,7,33.10901749663529,1.9838522011627546,7,36.74293405114402,9.251347561724096,4,41.99192462987887,9.744665801805894,FALSE,FALSE
Lou Anarumo,2631,7.145572025845689,-0.18287705535763263,23,31.85100722158875,-0.881014137905118,26,31.24287343215506,0.02546407896861561,26,23.86925123527177,-2.0795041996120447,22,30.178639300646143,-0.6105917689635857,FALSE,FALSE
Matt Eberflus,1579,7.536415452818237,0.2778244385893287,17,33.692210259658005,1.4482136832301198,12,31.855604813172903,1.0187051506115041,17,24.57251424952501,-1.7880296123469488,21,27.359088030398986,-3.712648877601523,FALSE,FALSE
Mike Caldwell,1393,7.824838478104815,0.4572640691281539,16,30.294328786791098,-2.2602765329519108,32,32.01722900215361,1.0105342175664405,18,28.571428571428573,2.3347676950269505,13,32.08901651112706,1.0187435959387567,FALSE,FALSE
Mike Macdonald,2851,9.330059628200631,2.0299162659487036,2,32.97088740792705,-0.5243189253960833,24,33.14626446860752,1.4053081768891382,12,21.992283409330067,-3.4137886554598498,26,28.305857593826733,-1.9475932558720765,TRUE,FALSE
Nick Rallis,1776,7.150900900900901,-0.13837298904839257,20,27.815315315315317,-3.625416584514286,38,27.083333333333332,-3.33533960956711,39,22.01576576576577,-4.766492373918326,32,30.63063063063063,-0.6076267468407419,FALSE,FALSE
Patrick Graham,2464,6.8587662337662385,-0.36026843008584736,27,27.516233766233768,-4.4581206841999075,40,27.92207792207792,-2.510189826225309,34,23.944805194805188,-3.3902985146632107,25,27.475649350649356,-4.412722601192432,FALSE,FALSE
Raheem Morris,1271,7.002360346184111,-0.3201003229636799,26,29.97639653815892,-2.1918242168557898,31,27.61605035405193,-2.9563747293643368,36,28.71754523996854,1.7329112491053955,15,37.45082612116444,5.612458889376316,FALSE,FALSE
Ryan Nielsen,1259,6.35424940428912,-1.0638097882554851,35,28.91183478951547,-3.090711915606653,36,27.95869737887211,-3.041548970154687,37,18.427323272438436,-8.731212001811713,40,19.142176330420966,-12.638492303041598,FALSE,FALSE
Sean McDermott,1912,7.165271966527197,-0.24484082838231946,25,32.583682008368214,-0.29166066419004755,21,32.06066945606695,0.5641374323969093,23,21.443514644351456,-4.5645672962396935,30,25.62761506276151,-4.982264303099594,FALSE,FALSE
Shane Bowen,2422,6.234516928158547,-0.9883164858843895,34,31.25516102394715,-0.9102160746307039,27,30.22295623451693,-0.6042315011719473,29,22.95623451692816,-3.9501120223303032,29,27.291494632535088,-4.366339506115386,FALSE,FALSE
Steve Spagnuolo,2914,8.098833218943044,0.7741222650582397,12,30.439258750857924,-2.5111739203466854,33,31.57172271791352,0.12074858257029086,25,30.199039121482492,4.450006676069475,10,33.49347975291696,2.8975217414581493,TRUE,FALSE
Steve Wilks,1238,5.411954765751212,-1.7774784337181548,39,36.59127625201941,4.464709970600601,4,32.229402261712444,1.6471645823395573,10,23.344103392568652,-2.8268646608334023,23,24.79806138933765,-6.132414482341344,FALSE,FALSE
Teryl Austin,2651,6.110901546586194,-1.1513229221336034,36,36.36363636363637,3.735102835644962,6,30.479064503960764,-0.5341825508612743,28,29.08336476801207,2.8790675178142116,12,35.005658242172764,4.062224523508964,FALSE,FALSE
Todd Bowles,2759,9.20623414280537,1.8907751793520549,3,32.04059441826748,-0.43382524212619555,23,31.968104385646974,0.8753872303350894,19,36.1000362450163,9.768561354017022,3,47.00978615440377,15.869807761841692,FALSE,FALSE
Vance Joseph,2714,7.479734708916731,0.19449353054737042,18,33.5298452468681,1.2768169586370448,14,33.41930729550479,2.2850828996105252,6,34.745762711864394,8.472944134757103,5,39.425202652910826,8.457956098256162,FALSE,FALSE
Vic Fangio,2057,7.875546912980068,0.49911558466900624,14,37.967914438502675,4.707385799550988,3,33.88429752066116,2.3256313897883008,5,19.543023821098686,-6.375211181538339,38,28.682547399124932,-2.1076117677991744,TRUE,FALSE
Zach Orr,1394,7.317073170731708,-0.14784698490817702,22,28.90961262553801,-4.183714134535806,39,28.694404591104735,-2.715616813263553,35,20.803443328550937,-4.955363483669247,33,29.26829268292683,-1.2095373364397919,FALSE,FALSE
