off_caller,n_completions,yac_oe,yac_oe_lo,yac_oe_hi,rank_yac_oe,yac_oe_clean,clean_lo,clean_hi,rank_clean,yac_oe_clean_shrunk,yac_oe_contact,contact_lo,contact_hi,rank_contact,yac_oe_contact_shrunk,contact_yard_share,broke_tackle_rate
Josh McDaniels,915,0.0649929849318963,-0.301473525061533,0.431459494925325,12,-0.0173700070883612,-0.306306011494474,0.271565997317751,10,-0.060574760093213,0.0823629920202559,-0.0644821351707378,0.22920811921125,29,0.132321778163795,35.7332155477032,9.2896174863388
Matt LaFleur,1433,0.054286177077741,-0.271484076446762,0.380056430602244,13,-0.112171083894286,-0.353223696000179,0.128881528211607,13,-0.122195020331246,0.166457260972027,0.0168929330890467,0.316021588855008,19,0.176597611262668,38.1944444444444,10.6769016050244
Shane Steichen,1377,0.0350944599814405,-0.293698866840684,0.363887786803565,14,-0.139702149880572,-0.394941167283408,0.115536867522265,15,-0.143742461922132,0.174796609862012,0.0366466418199541,0.31294657790407,17,0.182387955796032,37.238436123348,9.51343500363108
Zac Taylor,1731,-0.0262049831598477,-0.316724356100817,0.264314389781121,15,-0.240537071871866,-0.438328492354709,-0.0427456513890233,21,-0.224658566853354,0.214332088712021,0.0693690217550234,0.359295155669018,12,0.209386675087197,43.6504324078289,12.7094165222415
Bobby Slowik,779,-0.0617371492413023,-0.504842767376627,0.381368468894022,16,-0.200718364434707,-0.512849548227916,0.111412819358502,17,-0.185805915373732,0.138981215193404,-0.061138859517765,0.339101289904573,24,0.166638352614753,40.1089378559049,10.9114249037227
Nathaniel Hackett,608,-0.0618111369151026,-0.546750931241755,0.42312865741155,17,-0.24622422813442,-0.582453265570643,0.0900048093018022,22,-0.210517249910908,0.184413091219319,-0.0646210295723865,0.433447212011024,15,0.191292191579727,38.7886203732028,13.4868421052632
Greg Roman,1041,-0.095785945318424,-0.474118215962565,0.282546325325717,18,-0.254171214281846,-0.53666055946206,0.0283181308983682,24,-0.226891828343302,0.158385268963421,-0.00195101488376645,0.318721552810609,21,0.17406047823548,38.9980353634578,11.2391930835735
Mike McDaniel,1463,-0.104668122984251,-0.438098643037985,0.228762397069484,19,-0.248677498593303,-0.511351711884039,0.0139967146974339,23,-0.228748472831506,0.144009375609052,0.0210653631350441,0.26695338808306,23,0.16130380702777,36.1669440532582,10.9364319890636
Drew Petzing,1065,-0.115822637350486,-0.453889671139019,0.222244396438046,20,-0.299964859028683,-0.548025513007155,-0.0519042050502122,27,-0.260435785500208,0.184142221678197,0.0325955403786173,0.335688902977777,16,0.189352257265017,40.345080763583,13.8028169014085
Shane Waldron,939,-0.115986598859895,-0.512428421308969,0.28045522358918,21,-0.22552042049137,-0.523749970879746,0.0727091298970055,19,-0.204860688126454,0.109533821631475,-0.0556319855296099,0.274699628792559,25,0.147118326212677,37.8810488168834,10.7561235356763
Dave Canales,1057,-0.116583610272485,-0.510963478418096,0.277796257873126,22,-0.186957245023378,-0.490253450722016,0.11633896067526,16,-0.178709168003181,0.0703736347508992,-0.0943377434736518,0.23508501297545,30,0.121098544324564,37.3936069604691,9.93377483443709
Scott Turner,514,-0.141949840063948,-0.615622822532755,0.33172314240486,23,-0.236568635598985,-0.595782366737082,0.122645095539111,20,-0.201498289663328,0.0946187955350388,-0.120982176933877,0.310219768003955,27,0.153937209530898,38.252427184466,10.3112840466926
Luke Getsy,711,-0.162752848050429,-0.606904481210357,0.281398785109498,24,-0.317463446860084,-0.654224575731484,0.0192976820113153,28,-0.259049557539698,0.154710598809654,-0.0418726193797702,0.351293816999078,22,0.175869439323716,37.6896459941443,11.9549929676512
Mike Kafka,984,-0.168310681834999,-0.522845111834101,0.186223748164103,25,-0.22077820472537,-0.476830136664946,0.0352737272142067,18,-0.202177155577413,0.0524675228903725,-0.123629596936378,0.228564642717123,31,0.112855267514092,38.1172219991971,9.45121951219512
Sean Payton,1139,-0.169131296106283,-0.510948833842334,0.172686241629768,26,-0.275628559839748,-0.524916747985968,-0.0263403716935277,25,-0.244413240264556,0.106497263733464,-0.0533819330077296,0.266376460474658,26,0.141163869567663,37.9511426319937,12.2914837576822
