"season","team","games","wins","point_diff_pg","head_coach","g_coached","roster_value","roster_value_recent4","n_players","qb_name","qb_id","qb_dropbacks","qb_draft_pick","qb_value","qb_prior_epa_per_db"
2007,"JAX",16,11,6.6875,"Jack Del Rio",16,16620,6617,67,"David Garrard","00-0021231",345,"108",78,-0.069508100771595
2007,"KC",16,4,-6.8125,"Herm Edwards",16,14256,4811,67,"Damon Huard","00-0007835",369,NA,0,0.128967432165584
2007,"LA",16,3,-10.9375,"Scott Linehan",16,16818,6643,73,"Marc Bulger","00-0019599",415,"168",24,0.0867927327330081
2007,"LAC",16,11,8,"Norv Turner",16,13724,8124,56,"Philip Rivers","00-0022942",482,"4",1800,0.17745983504803
2007,"LV",16,4,-7.1875,"Lane Kiffin",16,25168,12737,64,"Daunte Culpepper","00-0003739",206,"11",1250,-0.12526218230108
2007,"MIA",16,1,-10.625,"Cam Cameron",16,15814,8311,72,"Cleo Lemon","00-0020565",332,NA,0,-0.0333050645762881
2007,"MIN",16,8,3.375,"Brad Childress",16,16493,8793,58,"Tarvaris Jackson","00-0024279",313,"64",270,-0.327020900952529
2007,"NE",16,16,19.6875,"Bill Belichick",16,16019,4706,65,"Tom Brady","00-0019596",599,"199",12,0.128473315166052
2007,"NO",16,7,-0.5625,"Sean Payton",16,14399,7817,63,"Drew Brees","00-0020531",670,"32",590,0.220499945324694
2007,"NYG",16,10,1.375,"Tom Coughlin",16,14989,7405,62,"Eli Manning","00-0022803",555,"1",3000,-0.0138075320054078
2007,"NYJ",16,4,-5.4375,"Eric Mangini",16,15889,7185,65,"Chad Pennington","00-0019559",286,"18",900,0.0481416302445832
2007,"PHI",16,8,2.25,"Andy Reid",16,15430,5941,58,"Donovan McNabb","00-0011022",517,"2",2600,0.108916254415716
2007,"PIT",16,10,7.75,"Mike Tomlin",16,12415,6117,62,"Ben Roethlisberger","00-0022924",452,"11",1250,0.018103772239394
2007,"SEA",16,10,6.375,"Mike Holmgren",16,12080,4202,62,"Matt Hasselbeck","00-0007091",595,"187",17,-0.0213206866236
2007,"SF",16,5,-9.0625,"Mike Nolan",16,19586,10089,62,"Trent Dilfer","00-0004293",246,"6",1600,NA
2007,"TB",16,9,4,"Jon Gruden",16,23724,8461,69,"Jeff Garcia","00-0005755",346,NA,0,0.0861373887826637
2007,"TEN",16,10,0.25,"Jeff Fisher",16,16081,8824,67,"Vince Young","00-0024218",407,"3",2200,-0.123313368823666
2007,"WAS",16,9,1.5,"Joe Gibbs",16,19288,6190,65,"Jason Campbell","00-0023460",437,"25",720,-0.0142716314551695
2008,"ARI",16,9,0.0625,"Ken Whisenhunt",16,15934,8246,58,"Kurt Warner","00-0017200",625,NA,0,0.0998053940220039
2008,"ATL",16,11,4.125,"Mike Smith",16,14446,8272,60,"Matt Ryan","00-0026143",451,"3",2200,NA
2008,"BAL",16,11,8.8125,"John Harbaugh",16,14839,6611,65,"Joe Flacco","00-0026158",461,"18",900,NA
2008,"BUF",16,7,-0.375,"Dick Jauron",16,14126,7159,62,"Trent Edwards","00-0025479",397,"92",132,-0.149193290268082
2008,"CAR",16,12,5.3125,"John Fox",16,15487,6770,57,"Jake Delhomme","00-0004161",434,NA,0,0.250973672381556
2008,"CHI",16,9,1.5625,"Lovie Smith",16,12835,4693,64,"Kyle Orton","00-0023541",493,"106",82,-0.131439508000266
2008,"CIN",16,4.5,-10,"Marvin Lewis",16,16063,7239,74,"Ryan Fitzpatrick","00-0023682",410,"250",0,NA
2008,"CLE",16,4,-7.375,"Romeo Crennel",16,16453,8370,63,"Derek Anderson","00-0023645",298,"213",6,0.0802754778465024
2008,"DAL",16,9,-0.1875,"Wade Phillips",16,20165,8167,63,"Tony Romo","00-0021678",471,NA,0,0.255122243371653
2008,"DEN",16,8,-4.875,"Mike Shanahan",16,16379,6010,72,"Jay Cutler","00-0024226",627,"11",1250,0.111994768334436
2008,"DET",16,0,-15.5625,"Rod Marinelli",16,18372,8325,71,"Dan Orlovsky","00-0023578",269,"145",34,NA
2008,"GB",16,6,2.4375,"Mike McCarthy",16,10967,7263,63,"Aaron Rodgers","00-0023459",570,"24",740,0.231169286818664
2008,"HOU",16,8,-1.75,"Gary Kubiak",16,15365,8273,64,"Matt Schaub","00-0022787",403,"90",140,0.0277589938555524
2008,"IND",16,12,4.9375,"Tony Dungy",16,11958,4448,67,"Peyton Manning","00-0010346",569,"1",3000,0.288222900566617
2008,"JAX",16,5,-4.0625,"Jack Del Rio",16,20161,8014,74,"David Garrard","00-0021231",577,"108",78,0.228145896467717
2008,"KC",16,2,-9.3125,"Herm Edwards",16,14368,8603,76,"Tyler Thigpen","00-0025604",446,"217",5,-0.728370631279956
2008,"LA",16,2,-14.5625,"Jim Haslett",12,18061,8670,66,"Marc Bulger","00-0019599",479,"168",24,-0.117797481316013
2008,"LAC",16,8,5.75,"Norv Turner",16,16005,5979,60,"Philip Rivers","00-0022942",503,"4",1800,0.0635697668815754
2008,"LV",16,5,-7.8125,"Tom Cable",12,24519,9929,69,"JaMarcus Russell","00-0025388",397,"1",3000,-0.254271715479211
2008,"MIA",16,11,1.75,"Tony Sparano",16,19973,12148,69,"Chad Pennington","00-0019559",499,"18",900,-0.00495258567002471
2008,"MIN",16,10,2.875,"Brad Childress",16,15267,5491,59,"Gus Frerotte","00-0005589",330,"197",13,-0.268464588828466
2008,"NE",16,11,6.3125,"Bill Belichick",16,15818,4685,66,"Matt Cassel","00-0023662",562,"230",0,-0.622604017694747
2008,"NO",16,8,4.375,"Sean Payton",16,19243,8351,78,"Drew Brees","00-0020531",648,"32",590,0.0777369602731195
2008,"NYG",16,12,8.3125,"Tom Coughlin",16,17314,4837,60,"Eli Manning","00-0022803",506,"1",3000,-0.0919616021987269
2008,"NYJ",16,9,3.0625,"Eric Mangini",16,18820,8049,62,"Brett Favre","00-0005106",552,"33",580,0.209247173407002
2008,"PHI",16,9.5,7.9375,"Andy Reid",16,13923,5974,57,"Donovan McNabb","00-0011022",595,"2",2600,0.0651764428013846
2008,"PIT",16,12,7.75,"Mike Tomlin",16,13875,5047,62,"Ben Roethlisberger","00-0022924",517,"11",1250,0.173231233792469
2008,"SEA",16,4,-6.125,"Mike Holmgren",16,15294,4470,67,"Seneca Wallace","00-0022055",256,"110",74,-0.142096015312918
2008,"SF",16,7,-2.625,"Mike Singletary",9,19577,10561,61,"Shaun Hill","00-0020679",311,NA,0,0.0668401861186066
2008,"TB",16,9,2.375,"Jon Gruden",16,22912,8416,63,"Jeff Garcia","00-0005755",401,NA,0,0.140092811227036
2008,"TEN",16,13,8.8125,"Jeff Fisher",16,13926,6581,60,"Kerry Collins","00-0003292",424,"5",1700,0.0425868430413859
2008,"WAS",16,8,-1.9375,"Jim Zorn",16,21148,6995,62,"Jason Campbell","00-0023460",544,"25",720,0.041599981335744
2009,"ARI",16,10,3.125,"Ken Whisenhunt",16,14481,6793,62,"Kurt Warner","00-0017200",538,NA,0,0.178385233418334
2009,"ATL",16,9,2.375,"Mike Smith",16,14698,9092,65,"Matt Ryan","00-0026143",470,"3",2200,0.181866472827935
2009,"BAL",16,9,8.125,"John Harbaugh",16,13820,6180,63,"Joe Flacco","00-0026158",536,"18",900,-0.0114404379567526
2009,"BUF",16,6,-4.25,"Dick Jauron",9,17076,10178,70,"Ryan Fitzpatrick","00-0023682",249,"250",0,-0.189929077076006
2009,"CAR",16,8,0.4375,"John Fox",16,15653,6604,66,"Jake Delhomme","00-0004161",344,NA,0,0.0889824321248381
2009,"CHI",16,7,-3,"Lovie Smith",16,15936,7615,63,"Jay Cutler","00-0024226",589,"11",1250,0.205233052645034
2009,"CIN",16,10,0.875,"Marvin Lewis",16,17513,7723,64,"Carson Palmer","00-0021429",492,"1",3000,-0.127898328434715
2009,"CLE",16,5,-8.125,"Eric Mangini",16,14321,7622,75,"Brady Quinn","00-0025409",275,"22",780,-0.0308223952020065
2009,"DAL",16,11,6.9375,"Wade Phillips",16,17391,4279,57,"Tony Romo","00-0021678",584,NA,0,0.100331404981784
2009,"DEN",16,8,0.125,"Josh McDaniels",16,14165,6966,60,"Kyle Orton","00-0023541",570,"106",82,-0.0425052586231658
2009,"DET",16,2,-14.5,"Jim Schwartz",16,21930,12672,78,"Matthew Stafford","00-0026498",400,"1",3000,NA
2009,"GB",16,11,10.25,"Mike McCarthy",16,11704,6587,63,"Aaron Rodgers","00-0023459",590,"24",740,0.140422209960845
2009,"HOU",16,9,3.4375,"Gary Kubiak",16,17189,9462,65,"Matt Schaub","00-0022787",609,"90",140,0.0903437649298559
2009,"IND",16,14,6.8125,"Jim Caldwell",16,11119,3978,67,"Peyton Manning","00-0010346",581,"1",3000,0.255865327350296
