caller,n,act_run,exp_run,epa,first,last,over
Sean Payton,8570,45.180863477246206,46.49319374411124,0.036071503394216796,2015,2025,-1.3123302668650325
Kevin O'Connell,3810,44.1994750656168,45.5211249219004,-0.02567352121782142,2019,2025,-1.3216498562835994
Chan Gailey,2403,43.57053682896379,44.97944184804135,0.011117677359759994,2015,2020,-1.408905019077558
Press Taylor,1610,41.98757763975155,43.41784545295631,-0.010962745886326557,2023,2024,-1.4302678132047575
Rob Chudzinski,1932,43.89233954451346,45.36909371398495,-0.03821489655462055,2015,2017,-1.4767541694714907
Bill Lazor,2909,43.313853557923686,44.81627562519671,0.019670383180834396,2015,2021,-1.5024220672730237
Drew Petzing,2469,41.798298906439854,43.4426238847487,0.0015733496067818773,2023,2025,-1.6443249783088447
Pep Hamilton,1178,40.0679117147708,41.801109239269316,-0.09051677811500444,2015,2022,-1.7331975244985145
Doug Pederson,5879,43.45977207007995,45.374157259294215,-0.001442738120753157,2015,2022,-1.914385189214265
Sean McVay,9722,44.88788315161489,46.80343843932153,0.04355957104853834,2015,2025,-1.9155552877066384
Matt Nagy,2548,43.28885400313972,45.35280546923478,-0.01096869137276025,2017,2021,-2.0639514660950624
Brian Johnson,898,42.98440979955457,45.12324073499185,-0.016843585522096163,2023,2023,-2.1388309354372836
John DeFilippo,2224,38.98381294964028,41.14359210198412,-0.07454465127352343,2015,2019,-2.1597791523438374
Greg Olson,2011,39.63202386872203,42.2386046004408,-0.027111887942626013,2015,2025,-2.606580731718772
Jason Garrett,1162,42.68502581755593,45.63380991174437,-0.07961648174661072,2020,2021,-2.94878409418844
Liam Coen,1780,44.831460674157306,47.82595327804179,0.05554730117958848,2024,2025,-2.9944926038844812
Jim Bob Cooter,2838,41.6138125440451,44.744335213666865,-3.426572497258838e-4,2015,2018,-3.1305226696217616
Ryan Grubb,802,39.02743142144638,42.48807861857542,-0.014375129360825844,2024,2024,-3.460647197129042
George Godsey,836,42.70334928229666,46.34753312051081,-0.05513393306365215,2021,2021,-3.644183838214154
Brian Daboll,4334,42.155053068758654,46.10496529042335,0.02420442371031468,2018,2024,-3.9499122216646967
Mike McCarthy,4456,40.1705565529623,44.88521769057198,0.023852747612835165,2015,2024,-4.714661137609674
Byron Leftwich,4187,39.407690470503944,44.54134036815768,0.029360571005704154,2018,2022,-5.133649897653733
Zac Taylor,6240,40.625,45.76247069192164,-0.003863189891470086,2015,2025,-5.137470691921642
Ken Dorsey,1907,38.64708966963818,44.14958931236107,0.009162712082726449,2022,2024,-5.502499642722896
Randy Fichtner,2414,39.93371996685998,45.8929346054916,-0.018833762457877826,2018,2020,-5.9592146386316145
Joe Lombardi,2139,37.49415614773258,44.142632178270816,0.003635851617060654,2015,2022,-6.648476030538234
Eric Bieniemy,813,35.17835178351783,43.3497872551832,-0.09448331018976029,2023,2023,-8.171435471665369
Andy Reid,9312,38.92826460481099,47.371384556474396,0.0828752258753546,2015,2025,-8.443119951663405
