off_play_caller,season,n,actual,expected,raw_resid,team.x,lg_resid,resid,prev,prev_season,prev_team,plays,epa,success,wpa,hi_plays,hi_epa,hi_wpa,hi_success,team.y,ctrl_qb_prior_epa,ctrl_qb_apy_pct,ctrl_index,abs_resid
Ben McAdoo,2017,316,0.689873417721519,0.6415983713880371,4.827504633348189,NYG,-1.2052393669852224,6.032744000333412,0.15509775439599416,2016,NYG,316,-0.07341743653478726,0.439873417721519,-0.002218756333095592,91,0.017592331721059243,0.0029738273135154576,0.43956043956043955,NYG,-0.0443761650534682,0.147,0.5406563003425998,6.032744000333412
Ben McAdoo,2022,976,0.5215163934426229,0.59256808537528,-7.105169193265715,CAR,-0.9597999024095194,-6.145369290856195,6.032744000333412,2017,NYG,976,-0.04123640609649228,0.4036885245901639,-0.0010383043831005614,283,-0.08539185529827545,-0.0032752927203096864,0.38869257950530034,CAR,-0.03544967330592697,0.07400000000000001,0.25807646039918236,6.145369290856195
Bill Lazor,2015,676,0.6715976331360947,0.6345828301466164,3.7014802989478235,MIA,0.1965798639761429,3.5049004349716806,NA,NA,NA,676,-0.04366051008931388,0.41420118343195267,-0.0021192567903784215,144,0.009528300563115304,-9.852142043092686e-4,0.4236111111111111,MIA,NA,0.134,0.9410446899008573,3.5049004349716806
Bill Lazor,2017,793,0.6116015132408575,0.6041497671283774,0.7451746112480118,CIN,-1.2052393669852224,1.9504139782332341,3.5049004349716806,2015,MIA,793,-0.06172806803453569,0.39596469104665827,-1.1262569399973116e-4,179,-0.01324252805650566,-0.0018488605614191524,0.4022346368715084,CIN,0.08038823719118858,0.12,0.5376002979602299,1.9504139782332341
Bill Lazor,2018,940,0.6372340425531915,0.621319401113594,1.5914641439597532,CIN,0.805948653885058,0.7855154900746952,1.9504139782332341,2017,CIN,940,-0.01739276694906311,0.4223404255319149,4.5295525147540036e-5,211,-0.05571147490309271,-0.0012080426598660916,0.44549763033175355,CIN,-0.08799696255833897,0.12,-0.33568744443979337,0.7855154900746952
Bill Lazor,2020,497,0.607645875251509,0.5932394897778869,1.4406385473622163,CHI,1.1364240806491233,0.30421446671309305,0.7855154900746952,2018,CIN,497,0.0111005025924249,0.4688128772635815,-0.0011856615652402723,65,-0.0547004192808915,-0.005880724023875432,0.4153846153846154,CHI,-0.06794773380825696,0.043,0.025622435590122672,0.30421446671309305
Bill Lazor,2021,829,0.6043425814234017,0.6066096184013545,-0.226703697795283,CHI,0.6261669761270405,-0.8528706739223235,0.30421446671309305,2020,CHI,829,-0.06537228418467497,0.4089264173703257,6.773526153822369e-4,195,0.01535438439516869,8.003086943808459e-4,0.4153846153846154,CHI,NA,0.026000000000000002,0.10236346676595667,0.8528706739223235
Bill Musgrave,2015,1007,0.6494538232373386,0.6265192649603746,2.2934558276964,LV,0.1965798639761429,2.096875963720257,NA,NA,NA,1007,-0.05788464519934469,0.3972194637537239,-0.001960285068683424,344,-0.054506120145114176,-5.549707493410902e-4,0.43023255813953487,LV,NA,0.01,-0.3192570255329648,2.096875963720257
Bill Musgrave,2016,1112,0.6088129496402878,0.6174508150827754,-0.863786544248768,LV,0.42742887415463393,-1.291215418403402,2.096875963720257,2015,LV,1112,6.493641848567153e-4,0.41906474820143885,0.0021762579954501433,365,0.07731273124744283,0.003161645737484916,0.44931506849315067,LV,-0.010511142412390102,0.01,-0.6509569408475255,1.291215418403402
Bill Musgrave,2017,401,0.5935162094763092,0.6520357599895347,-5.851955051322544,DEN,-1.2052393669852224,-4.646715684337321,-1.291215418403402,2016,LV,401,-0.1319380540662455,0.36658354114713215,-0.0010083639841171382,147,-0.13131881488948646,-0.0035723792877365864,0.3945578231292517,DEN,-0.021700849142276234,0.004,-0.5415004050502961,4.646715684337321
Bill Musgrave,2018,1014,0.6232741617357002,0.6362469062168716,-1.2972744481171472,DEN,0.805948653885058,-2.103223102002205,-4.646715684337321,2017,DEN,1014,-0.02390229580055172,0.4319526627218935,-3.784118981365545e-4,333,-0.09365137651412184,-0.0016577663304275334,0.4024024024024024,DEN,0.07949303397225707,0.102,0.20472465852452248,2.103223102002205
Bill O'Brien,2015,1182,0.5939086294416244,0.6279186058943925,-3.4009976452768154,HOU,0.1965798639761429,-3.5975775092529583,NA,NA,NA,1182,-0.08553056373958914,0.38747884940778343,-0.0014764312449256094,190,-0.0771671469606988,-0.0011138692683268924,0.37894736842105264,HOU,NA,0.037000000000000005,-0.6488354144175692,3.5975775092529583
Bill O'Brien,2016,1199,0.585487906588824,0.6129933561868747,-2.750544959805068,HOU,0.42742887415463393,-3.177973833959702,-3.5975775092529583,2015,HOU,1199,-0.11770318151010373,0.40033361134278567,-0.0013308424502995646,303,-0.11913837709304345,-0.0018754719605084018,0.38943894389438943,HOU,-0.017652548594946995,0.11599999999999999,-0.18478530947147392,3.177973833959702
Bill O'Brien,2017,1031,0.5848690591658584,0.6108965398228858,-2.6027480657027424,HOU,-1.2052393669852224,-1.39750869871752,-3.177973833959702,2016,HOU,1031,-0.08788477065076315,0.3889427740058196,-0.0016820655651984988,286,-0.11181447370101852,-0.003565831255873483,0.4020979020979021,HOU,NA,0.005,-0.8726868072987288,1.39750869871752
Bill O'Brien,2018,1100,0.6154545454545455,0.606230907021937,0.9223638432608428,HOU,0.805948653885058,0.11641518937578477,-1.39750869871752,2017,HOU,1100,0.0017261868449842009,0.43363636363636365,0.0016116757501955087,231,0.10149338891814069,0.007544568396785671,0.47619047619047616,HOU,0.12014894745532631,0.021,0.36731555741561317,0.11641518937578477
Bill O'Brien,2019,1159,0.6272648835202761,0.597564050730083,2.970083279019309,HOU,0.4000090329507544,2.5700742460685544,0.11641518937578477,2018,HOU,1159,0.03622149427442548,0.4443485763589301,0.0027968738529911695,367,0.057863440583431375,0.005106145463451586,0.44959128065395093,HOU,0.05647524360291204,0.021,0.32145495856544437,2.5700742460685544
Bill O'Brien,2023,1021,0.6131243878550441,0.6340067163091536,-2.0882328454109533,NE,0.11393367084590045,-2.202166516256854,2.5700742460685544,2019,HOU,1021,-0.19262936078302284,0.38785504407443683,-0.004721943891500497,245,-0.17761662237780634,-0.005694008706471164,0.35918367346938773,NE,-0.08553029210500739,0.021,-0.22083855946757147,2.202166516256854
Bo Hardegree,2023,542,0.577490774907749,0.5827796575046277,-0.5288882596878652,LV,0.11393367084590045,-0.6428219305337657,NA,NA,NA,542,-0.06433545819728306,0.3948339483394834,-0.002414358239590387,114,-0.11773485730217645,-0.0024707578862253605,0.35964912280701755,LV,NA,0.005,-0.6994874615267886,0.6428219305337657
Bo Hardegree,2025,822,0.6399026763990268,0.6654959716675511,-2.5593295268524385,TEN,-0.6494373745055793,-1.9098921523468593,-0.6428219305337657,2023,LV,822,-0.15470367151506403,0.3722627737226277,-0.0022170415941477357,143,-0.015484804600626857,-6.935821522401338e-4,0.40559440559440557,TEN,NA,0.044000000000000004,0.8546301316787653,1.9098921523468593
Bobby Slowik,2023,1169,0.6107784431137725,0.6149657762532144,-0.4187333139441862,HOU,0.11393367084590045,-0.5326669847900867,NA,NA,NA,1169,-0.025828883234505908,0.40461933276304535,0.001455014695217739,287,0.11268765841556179,0.006487950340657793,0.43902439024390244,HOU,NA,0.04,0.6455928794832306,0.5326669847900867
Bobby Slowik,2024,1188,0.6245791245791246,0.6056241126251268,1.8955011953997736,HOU,-0.9518483966517222,2.8473495920514957,-0.5326669847900867,2023,HOU,1188,-0.04928572474468968,0.3939393939393939,5.624478640346815e-4,301,0.1031444642347256,0.004257930346672087,0.4684385382059801,HOU,0.11336598333697635,0.04,0.5110633462263898,2.8473495920514957
Brian Callahan,2024,1046,0.5850860420650096,0.6421256290221617,-5.703958695715217,TEN,-0.9518483966517222,-4.752110299063495,NA,NA,NA,1046,-0.1271811697368531,0.39579349904397704,-0.003751961630020743,317,-0.08094912644643647,-0.003509370672798176,0.4416403785488959,TEN,-0.050374922782801534,0.011000000000000001,-0.29019745031332744,4.752110299063495
Brian Daboll,2018,1008,0.5892857142857143,0.6148670774474295,-2.558136316171522,BUF,0.805948653885058,-3.36408497005658,NA,NA,NA,1008,-0.15198935555932372,0.375,-0.0012138041246411173,194,0.04734439918283252,-0.0012175754635983442,0.4536082474226804,BUF,NA,0.03,0.24840717715052352,3.36408497005658
Brian Daboll,2019,1094,0.5877513711151737,0.5965002548669754,-0.8748883751801717,BUF,0.4000090329507544,-1.2748974081309261,-3.36408497005658,2018,BUF,1094,-0.03331491275514962,0.4140767824497258,-6.004955637940639e-4,284,-0.0021776016466840842,0.001764042665163586,0.4225352112676056,BUF,-0.13369064402606895,0.03,-0.6090428876384368,1.2748974081309261
Brian Daboll,2019,1094,0.5877513711151737,0.5965002548669754,-0.8748883751801717,BUF,0.4000090329507544,-1.2748974081309261,-3.36408497005658,2018,BUF,1094,-0.03331491275514962,0.4140767824497258,-6.004955637940639e-4,284,-0.0021776016466840842,0.001764042665163586,0.4225352112676056,BUF,NA,0.03,0.24840717715052352,1.2748974081309261
Brian Daboll,2020,1192,0.6619127516778524,0.5436368945098463,11.827585716800604,BUF,1.1364240806491233,10.691161636151481,-1.2748974081309261,2019,BUF,1192,0.13910178471682771,0.4949664429530201,0.0043045962169305195,213,0.0508790753306089,0.0036249960241185432,0.49765258215962443,BUF,NA,0.03,0.24840717715052352,10.691161636151481
Brian Daboll,2021,1242,0.6417069243156199,0.5864070602490203,5.529986406659959,BUF,0.6261669761270405,4.903819430532918,10.691161636151481,2020,BUF,1242,0.13312221059444548,0.4830917874396135,0.0018992208682851045,175,0.12156265475998328,-1.8494681764345114e-4,0.45714285714285713,BUF,0.22233635163914794,0.23600000000000002,1.6262186125569598,4.903819430532918
