caller,variable,value,side
Mike McCarthy,Outside zone,16.377440347071584,Offense
Todd Monken,Outside zone,22.18390804597701,Offense
Press Taylor,Outside zone,12.572087658592848,Offense
Sean Payton,Outside zone,22.78127183787561,Offense
Dave Canales,Outside zone,24.636627906976745,Offense
Drew Petzing,Outside zone,13.307692307692307,Offense
Bo Hardegree,Outside zone,30.499075785582253,Offense
Joe Brady,Outside zone,21.904761904761905,Offense
Zac Robinson,Outside zone,58.64197530864198,Offense
Liam Coen,Outside zone,20.88235294117647,Offense
Andy Reid,Extra blocker,26.845298281092013,Offense
Pete Carmichael,Extra blocker,40,Offense
Zac Taylor,Extra blocker,20.6575682382134,Offense
Sean McVay,Extra blocker,34.88737558931378,Offense
Mike McDaniel,Extra blocker,56.235827664399096,Offense
Kevin Stefanski,Extra blocker,23.500352858151025,Offense
Kyle Shanahan,Extra blocker,49.67741935483871,Offense
Greg Roman,Extra blocker,43.8562091503268,Offense
Matt Canada,Extra blocker,25.802310654685495,Offense
Shane Waldron,Extra blocker,22.58364312267658,Offense
Shane Steichen,Extra blocker,24.74771744353676,Offense
Kevin O'Connell,Extra blocker,29.435957696827263,Offense
Scott Turner,Extra blocker,36.99582753824757,Offense
Kliff Kingsbury,Extra blocker,28.173575129533678,Offense
Ken Dorsey,Extra blocker,13.416988416988417,Offense
Josh McDaniels,Extra blocker,42.49384741591468,Offense
Matt LaFleur,Extra blocker,29.496047430830043,Offense
Mike Kafka,Extra blocker,27.035830618892508,Offense
Arthur Smith,Extra blocker,32.6829268292683,Offense
Todd Downing,Extra blocker,32.021709633649934,Offense
Ben Johnson,Extra blocker,31.566925536774782,Offense
Nathaniel Hackett,Extra blocker,31.071913161465396,Offense
Luke Getsy,Extra blocker,29.04725019364833,Offense
Kellen Moore,Extra blocker,24.415467625899282,Offense
Klint Kubiak,Extra blocker,42.480000000000004,Offense
Bobby Slowik,Extra blocker,44.42169907881269,Offense
Mike McCarthy,Extra blocker,24.728850325379607,Offense
Todd Monken,Extra blocker,36.7816091954023,Offense
Press Taylor,Extra blocker,20.9919261822376,Offense
Sean Payton,Extra blocker,33.6827393431167,Offense
Dave Canales,Extra blocker,23.546511627906977,Offense
Drew Petzing,Extra blocker,26.692307692307693,Offense
Bo Hardegree,Extra blocker,29.20517560073937,Offense
Joe Brady,Extra blocker,13.129251700680273,Offense
Zac Robinson,Extra blocker,29.835390946502056,Offense
Liam Coen,Extra blocker,27.254901960784313,Offense
Vance Joseph,Five-plus rushers,35.12195121951219,Defense
Mike Macdonald,Five-plus rushers,22.18284904323175,Defense
Lou Anarumo,Five-plus rushers,23.953488372093023,Defense
Joe Woods,Five-plus rushers,22.933643771827704,Defense
Dan Quinn,Five-plus rushers,27.989487516425754,Defense
Ejiro Evero,Five-plus rushers,32.26934849147355,Defense
Aaron Glenn,Five-plus rushers,32.27722772277228,Defense
Joe Barry,Five-plus rushers,33.02364864864865,Defense
Gus Bradley,Five-plus rushers,17.75754126351736,Defense
Mike Caldwell,Five-plus rushers,28.623452294246178,Defense
Steve Spagnuolo,Five-plus rushers,30.804679191775964,Defense
Raheem Morris,Five-plus rushers,28.23343848580442,Defense
Brandon Staley,Five-plus rushers,29.342027267338473,Defense
Patrick Graham,Five-plus rushers,24.51802179379715,Defense
Bill Belichick,Five-plus rushers,27.402700555996823,Defense
Dennis Allen,Five-plus rushers,23.24074074074074,Defense
Don Martindale,Five-plus rushers,43.41085271317829,Defense
Jeff Ulbrich,Five-plus rushers,23.930885529157667,Defense
Teryl Austin,Five-plus rushers,29.610894941634243,Defense
Clint Hurtt,Five-plus rushers,18.88446215139442,Defense
DeMeco Ryans,Five-plus rushers,24.121265377855888,Defense
Todd Bowles,Five-plus rushers,35.85672082717873,Defense
Shane Bowen,Five-plus rushers,22.93103448275862,Defense
Jack Del Rio,Five-plus rushers,26.456071076011845,Defense
Nick Rallis,Five-plus rushers,22.118742724097785,Defense
