coach,resid_sit,n,resid_mad,target,shift
Liam Coen,2.48185834954394,2271,3.3545821984767867,Run or pass,0.8727238489328468
Luke Getsy,-7.474418233100604,2082,-3.4754384078938854,Run or pass,3.9989798252067184
Marty Mornhinweg,-4.617754345299968,2220,-1.140444606158202,Run or pass,3.4773097391417656
Matt Canada,-0.9658155734865755,2851,-2.637945822606047,Run or pass,-1.6721302491194714
Matt LaFleur,-0.6688406937365168,8654,-2.361804190520446,Run or pass,-1.692963496783929
Matt Nagy,1.2114815965007022,3293,3.9092861698718813,Run or pass,2.697804573371179
Matt Patricia,0.7897957335594064,989,1.6466482902583235,Run or pass,0.8568525566989171
Mike Kafka,-1.9965440750792376,2281,-1.2295962023340294,Run or pass,0.7669478727452081
Mike LaFleur,0.3849406550627213,2115,-0.2429483840613118,Run or pass,-0.627889039124033
Mike McCarthy,3.555033487526812,4057,2.1654574160402342,Run or pass,-1.389576071486578
Mike McCoy,-2.352816290266376,1040,-1.141051377931061,Run or pass,1.2117649123353151
Mike McDaniel,-0.19690610581651874,4217,-0.4895079727791613,Run or pass,-0.29260186696264257
Mike Shula,-2.5453983316099937,1083,-4.090487007345434,Run or pass,-1.5450886757354403
Mike Sullivan,-3.4834793548406733,1216,-4.652638288940559,Run or pass,-1.1691589340998858
Nathaniel Hackett,-0.8788025181251758,3940,-0.7125030868471031,Run or pass,0.16629943127807278
Nick Caley,0.9485193614531152,1231,-0.5073340359666556,Run or pass,-1.4558533974197707
Nick Sirianni,-1.0338459940462896,537,0.8173819553090933,Run or pass,1.851227949355383
Norv Turner,1.8112919020489673,1803,-0.8954004849542935,Run or pass,-2.706692387003261
Parks Frazier,-4.208894081019876,509,-3.9392903558224335,Run or pass,0.2696037251974426
Pat Shurmur,-1.860041162380665,5195,0.1738690732879783,Run or pass,2.0339102356686434
Pep Hamilton,1.3208673155671313,1015,1.7158284837076043,Run or pass,0.394961168140473
Pete Carmichael,-2.6666915482736,2116,-2.173713868332354,Run or pass,0.4929776799412462
Press Taylor,1.2575417641975126,2095,0.46281390095002806,Run or pass,-0.7947278632474846
Randy Fichtner,4.78136408215658,3102,4.7671540561803765,Run or pass,-0.014210025976203688
Rich Scangarello,-1.6213637682209514,958,1.2733586732013635,Run or pass,2.894722441422315
Rick Dennison,-4.67874216483205,1078,0.21097806876461123,Run or pass,4.889720233596661
Ryan Grubb,3.574177925135258,1031,3.238572446538268,Run or pass,-0.33560547859698975
Scott Linehan,-2.1294447723151477,2147,-3.1437209777666806,Run or pass,-1.0142762054515329
Scott Turner,-0.6829392742368813,2530,0.21122328625896095,Run or pass,0.8941625604958422
Sean McVay,1.23299944929824,10349,1.2094969548950631,Run or pass,-0.023502494403176755
Sean Payton,1.0741724259043275,7754,1.153668660327884,Run or pass,0.07949623442355658
Shane Steichen,-2.3420883706678848,5605,-0.17003703169984172,Run or pass,2.172051338968043
Shane Waldron,0.9233191807089067,3605,0.8620273738722302,Run or pass,-0.061291806836676566
Steve Sarkisian,1.493895565804165,2127,0.7947263333251486,Run or pass,-0.6991692324790164
Tanner Engstrand,-6.643557561315628,1009,-5.604704639851921,Run or pass,1.0388529214637074
Terry Robiskie,-1.4022611391547923,1099,2.1077581918584776,Run or pass,3.51001933101327
Thomas Brown,-2.3829723858954677,1058,-2.6416276658208138,Run or pass,-0.2586552799253461
Tim Kelly,-0.1494938299847021,2945,-0.3409137936709706,Run or pass,-0.19141996368626849
Todd Downing,-4.257383601441838,3833,-3.1306197675246223,Run or pass,1.1267638339172152
Todd Haley,0.8690873668281336,1680,-2.5436908396855253,Run or pass,-3.412778206513659
Todd Monken,-2.4471271003281965,3882,0.7523957242706912,Run or pass,3.199522824598888
Tommy Rees,-1.816348065293727,521,-4.301660656539552,Run or pass,-2.4853125912458247
Zac Robinson,-5.4572463483240625,1082,-8.182947265261454,Run or pass,-2.7257009169373916
Zac Taylor,5.009654065845746,7753,1.1439707232147807,Run or pass,-3.865683342630965
Alex Van Pelt,-2.807810928802949,1030,-3.6284253498829995,Play action,-0.8206144210800503
Andy Reid,-2.104723892722684,4887,-0.6814555281916286,Play action,1.4232683645310555
Arthur Smith,1.127794990116391,4250,0.140150536720333,Play action,-0.987644453396058
Ben Johnson,3.235205229196776,4831,2.2431209741833795,Play action,-0.9920842550133964
Bill O'Brien,-2.8454791784348883,1021,-3.6618481049262175,Play action,-0.8163689264913292
Bo Hardegree,1.0987622668883228,542,2.531095362234201,Play action,1.4323330953458782
Bobby Slowik,1.2457090431245685,2357,0.9060999696000933,Play action,-0.3396090735244752
Brian Callahan,-0.8227567092843141,1046,-2.12662498964096,Play action,-1.303868280356646
Brian Daboll,1.3577245795099764,1050,0.1364513355075121,Play action,-1.2212732440024643
Brian Johnson,1.006704913114917,1163,1.162881198163529,Play action,0.15617628504861192
Brian Schottenheimer,2.3725741104674625,1111,3.44877487063654,Play action,1.0762007601690775
Byron Leftwich,-3.4231700094449184,1230,-0.5390832285402867,Play action,2.8840867809046316
Chip Kelly,3.1430824173501306,643,1.9679671683821842,Play action,-1.1751152489679464
Dan Campbell,4.302679904313621,576,3.5687740748115764,Play action,-0.7339058295020444
Dave Canales,0.6660712421619834,3215,1.5837835247590073,Play action,0.9177122825970239
Doug Pederson,-0.6736992764245067,1201,1.1747548514346327,Play action,1.8484541278591393
Drew Petzing,2.1037596441543474,3194,2.8460175110631543,Play action,0.7422578669088069
Eric Bieniemy,-0.7060658472913358,1061,-0.6347993831100532,Play action,0.07126646418128257
Frank Reich,-1.3874833618174176,1129,-1.4574841107886827,Play action,-0.07000074897126507
Greg Roman,1.3829163560725257,3313,0.4961120970657652,Play action,-0.8868042590067605
Joe Brady,-1.9228931514111884,3056,0.09686382656858136,Play action,2.0197569779797697
Joe Lombardi,5.076065970525458,1213,4.199550323259325,Play action,-0.8765156472661326
John Morton,-1.5207312052941984,485,-2.470569465691601,Play action,-0.9498382603974027
Josh Grizzard,-3.7006580316855286,1070,-5.050874242930796,Play action,-1.3502162112452671
Josh McDaniels,-0.6422577244813495,2791,0.7171996929137234,Play action,1.359457417395073
Kellen Moore,-0.8692142555370863,4755,-1.957826056741156,Play action,-1.0886118012040698
Ken Dorsey,-0.4493900003626314,2436,0.8139217249661835,Play action,1.2633117253288149
Kevin O'Connell,4.394257694572661,4301,4.555071853170493,Play action,0.160814158597832
Kevin Patullo,-1.3836532239716535,1074,-1.5266363989910658,Play action,-0.14298317501941238
Kevin Stefanski,-0.15362459549815502,2070,-1.9139579128640778,Play action,-1.7603333173659228
Kliff Kingsbury,-0.10167435601249253,3437,-0.5685677889332065,Play action,-0.46689343292071395
Klint Kubiak,-0.3343348793608989,2735,1.5059910651533928,Play action,1.8403259445142917
Kyle Shanahan,-1.8490308572630645,4643,-1.9771676350639806,Play action,-0.12813677780091615
Liam Coen,-1.7270991978564252,2271,-1.7336048907549342,Play action,-0.006505692898508997
Luke Getsy,-0.014711110890418178,2082,0.4014084008314654,Play action,0.41611951172188355
Matt Canada,-4.732835845280417,1682,-4.186707915577661,Play action,0.5461279297027559
Matt LaFleur,0.44213158522653456,4363,-0.23354767151592254,Play action,-0.6756792567424571
Matt Patricia,-1.9208817677308672,989,-0.5050354246852407,Play action,1.4158463430456265
Mike Kafka,-0.189050119378187,2281,-0.8396146850254588,Play action,-0.6505645656472718
Mike LaFleur,-0.8331569362587776,1079,-1.4492692719363791,Play action,-0.6161123356776015
Mike McCarthy,0.31224625122802263,2302,2.126129413261028,Play action,1.8138831620330051
Mike McDaniel,2.985397361650147,4217,2.8376052561008636,Play action,-0.14779210554928346
Mike Sullivan,-3.6473889190267506,494,-3.9430130830597263,Play action,-0.29562416403297576
Nathaniel Hackett,-0.6647421199088644,1949,0.17979048952370738,Play action,0.8445326094325718
Nick Caley,-0.33984685985758145,1231,-0.6966377836503224,Play action,-0.3567909237927409
Parks Frazier,-5.149872898993947,509,-6.058808332832118,Play action,-0.9089354338381712
Pep Hamilton,3.316670499112286,1015,2.0843483814957002,Play action,-1.2323221176165857
Pete Carmichael,-5.1176859546532025,2116,-6.246706151572202,Play action,-1.129020196919
Press Taylor,-0.08343149706195258,2095,-0.7076509401245782,Play action,-0.6242194430626256
Ryan Grubb,-1.743215761797276,1031,-0.48398980418979526,Play action,1.259225957607481
