coach,games,first_season,last_season,market_raw,market,outside_cone,off_plays,off_epa,def_plays,def_epa,fd_n,fd_obey
Kevin O'Connell,68,2022,2025,1.916023081928844,0.3331434767026287,FALSE,4301,-0.04427114003827284,4432,-0.04895000372913982,224,75.89285714285715
Kevin Stefanski,101,2020,2025,-0.40228516968075545,-0.09938016130115755,FALSE,6710,-0.07743017029242863,6304,-0.023981930798585373,344,87.5
Kliff Kingsbury,66,2019,2022,-0.5664160307571389,-0.10125790874548043,FALSE,4383,-0.005059352147038871,4290,0.01100145132456126,209,83.25358851674642
Kyle Shanahan,149,2017,2025,-0.2560177923300249,-0.08542562365650122,FALSE,10130,0.04237558306227896,10061,-0.029989706572591947,358,79.88826815642457
Leslie Frazier,54,2010,2013,-0.0999874154524326,-0.015030106867686013,FALSE,NA,NA,NA,NA,NA,NA
Lovie Smith,193,2004,2022,0.1751990206318989,0.06832996125506449,FALSE,2086,-0.09048558344168882,2232,0.01575195248968796,58,77.58620689655173
Marc Trestman,32,2013,2014,-0.9054432711167072,-0.08234222490435053,FALSE,NA,NA,NA,NA,NA,NA
Marty Mornhinweg,32,2001,2002,-2.8306959320996343,-0.28096079116034756,TRUE,NA,NA,NA,NA,NA,NA
Marty Schottenheimer,96,2001,2006,1.27307199186787,0.30729408450691903,FALSE,NA,NA,NA,NA,NA,NA
Marvin Lewis,256,2003,2018,0.35668631608401635,0.16245169597460501,FALSE,4025,-0.009942316080097897,4364,8.943171178427832e-4,49,87.75510204081634
Matt Eberflus,51,2022,2024,-1.4332923832054871,-0.2053013981544446,FALSE,3141,-0.06348594325704968,3080,0.021506249291164868,171,85.96491228070175
Matt LaFleur,117,2019,2025,1.0107175550733958,0.2810862564462793,FALSE,7707,0.08695690404611418,7716,-2.5537427421648925e-4,327,86.85015290519877
Matt Nagy,65,2018,2021,0.7271322311394909,0.12692277536489902,FALSE,4317,-0.056225859827951925,4224,-0.04582806833579253,197,83.248730964467
Matt Patricia,43,2018,2020,-1.5575585988803435,-0.1897734563124074,FALSE,2809,-0.03891081031060714,2799,0.06612318660241166,139,73.38129496402878
Matt Rhule,38,2020,2022,-2.10450040251952,-0.22939425408642541,FALSE,2372,-0.08585235568648265,2352,0.011785455934543755,107,81.30841121495327
Mike Holmgren,160,1999,2008,0.08382495643053027,0.028773334336602688,FALSE,NA,NA,NA,NA,NA,NA
Mike Macdonald,34,2024,2025,2.3674725883306964,0.23206158873212443,FALSE,2230,0.0030664064362339763,2325,-0.08221335948258518,104,88.46153846153845
Mike Martz,85,2000,2005,-0.7296760518584952,-0.17172624296930972,FALSE,NA,NA,NA,NA,NA,NA
Mike McCarthy,288,2006,2024,0.4360701199423903,0.21566223737977147,FALSE,10097,0.012581541059213266,9687,-0.01320495695325213,280,81.07142857142856
Mike McCoy,64,2013,2016,-0.9374402483098484,-0.160284180125682,FALSE,1208,-0.006133093585305048,1132,-0.03311079188195078,NA,NA
Mike McDaniel,68,2022,2025,-0.1984180204356704,-0.03596928231426027,FALSE,4217,0.008925338358125525,4296,8.637317625909031e-4,197,83.248730964467
Mike Mularkey,80,2004,2017,-0.6499925828820782,-0.13292015232738763,FALSE,2174,-0.014083811755058313,2265,0.0024710140507136955,NA,NA
Mike Munchak,48,2011,2013,-0.0159274086517107,-0.002150853513258305,FALSE,NA,NA,NA,NA,NA,NA
Mike Nolan,55,2005,2008,0.364989134262556,0.0610398802897331,FALSE,NA,NA,NA,NA,NA,NA
Mike Pettine,32,2014,2015,-1.5244383940786936,-0.14927706117122627,FALSE,1155,-0.0836134411423898,1125,0.042085844938450565,NA,NA
Mike Riley,48,1999,2001,-1.9136004679939709,-0.26280073848575386,FALSE,NA,NA,NA,NA,NA,NA
Mike Shanahan,224,1999,2013,-0.4550865237369489,-0.19175588995520942,FALSE,NA,NA,NA,NA,NA,NA
Mike Sherman,96,2000,2005,0.5677451562684107,0.13402172905416282,FALSE,NA,NA,NA,NA,NA,NA
Mike Singletary,40,2008,2010,-0.6349244365120399,-0.07380944328795588,FALSE,NA,NA,NA,NA,NA,NA
Mike Smith,112,2008,2014,1.0610284068165703,0.28373839365808107,FALSE,NA,NA,NA,NA,NA,NA
Mike Tice,65,2001,2005,-0.5955330351994166,-0.10322907857423363,FALSE,NA,NA,NA,NA,NA,NA
Mike Tomlin,309,2007,2025,0.9566343602949896,0.4811808389703385,TRUE,12230,-0.01070764161574898,12229,-0.02930142057720394,488,79.30327868852459
Mike Vrabel,116,2018,2025,1.3314428765002635,0.36280637779103586,FALSE,7630,0.02327107201376577,8006,-0.006476380666448135,358,84.91620111731841
Mike Zimmer,129,2014,2021,0.5556915850854238,0.1626145344338456,FALSE,7492,-0.008226983915273753,7544,-0.06239669658729152,194,78.35051546391753
Nick Saban,32,2005,2006,0.13465780574739042,0.01252594858158386,FALSE,NA,NA,NA,NA,NA,NA
Nick Sirianni,85,2021,2025,1.1370432838177529,0.2512591187565458,FALSE,6037,0.07230530095459696,5907,-0.04185489280874505,270,85.92592592592594
Norv Turner,147,1999,2012,-1.0967792000801757,-0.3630856186324726,FALSE,NA,NA,NA,NA,NA,NA
Pat Shurmur,65,2011,2019,-1.652203559918862,-0.2920798016198564,FALSE,2069,-0.02750689360909122,2152,0.05450817755090684,110,85.45454545454545
Pete Carroll,260,1999,2025,0.4348615775882398,0.20242304833657168,FALSE,10648,0.005890917424768423,11274,-0.007182047768483126,393,79.64376590330792
Raheem Morris,93,2009,2025,-0.411235506632411,-0.09622612565966214,FALSE,2855,8.337668889334243e-5,2803,0.015116130381601206,145,85.51724137931035
Rex Ryan,127,2009,2016,-0.2059308276205019,-0.05940742984256681,FALSE,2035,0.05947925914176233,2044,0.01775061568732807,NA,NA
Robert Saleh,68,2021,2024,-0.9775659385766464,-0.1803431970398887,FALSE,4185,-0.11956717531280255,4374,-0.008975043024399658,238,86.97478991596638
Rod Marinelli,48,2006,2008,-2.3160059021474826,-0.33356935925482806,TRUE,NA,NA,NA,NA,NA,NA
Romeo Crennel,95,2005,2020,-0.8845797161302845,-0.21378414115080074,FALSE,714,0.12127774344014115,796,0.14517133224895035,NA,NA
Ron Rivera,211,2011,2023,0.23612817913248216,0.09567581301606082,FALSE,9912,-0.041148138055373464,9528,-0.014469553316760397,293,84.64163822525596
Scott Linehan,36,2006,2008,-1.4767273310022335,-0.1579830903005719,FALSE,NA,NA,NA,NA,NA,NA
Sean McDermott,148,2017,2025,1.2493338122993984,0.42753783204493856,TRUE,10432,0.06383886374641215,10028,-0.04028983807049353,363,85.12396694214877
Sean McVay,149,2017,2025,0.4747919004297209,0.1575880237196123,FALSE,10479,0.034314048733381126,10468,-0.04410353755109159,452,78.76106194690267
Sean Payton,292,2006,2025,0.7332006326673027,0.3616114677547169,FALSE,11047,0.04168689653476055,10979,-0.03309550253035768,373,79.08847184986594
Shane Steichen,51,2023,2025,0.15527791629419616,0.021309701178236013,FALSE,3145,-0.010579869748873797,3340,-0.006863900641058146,184,88.04347826086956
Steve Mariucci,107,1999,2005,-0.4978842972885119,-0.12862095649157881,FALSE,NA,NA,NA,NA,NA,NA
Steve Spagnuolo,52,2009,2017,-1.6970315197361896,-0.2708847820340963,FALSE,NA,NA,NA,NA,NA,NA
Steve Spurrier,32,2002,2003,-0.9436181121928332,-0.0853785327364784,FALSE,NA,NA,NA,NA,NA,NA
Todd Bowles,135,2011,2025,-0.3462493192112857,-0.10593790034812169,FALSE,8738,-0.02034908014337639,8693,-0.010362450030318942,306,83.66013071895425
Todd Haley,45,2009,2011,0.5935956378611111,0.08114490772860523,FALSE,NA,NA,NA,NA,NA,NA
Tom Cable,44,2008,2010,1.238655811028661,0.17324735571987357,FALSE,NA,NA,NA,NA,NA,NA
Tom Coughlin,256,1999,2015,-0.28894459799102507,-0.13199783960729186,FALSE,1052,0.008478477368438977,1098,0.0583861878274818,NA,NA
Tony Dungy,160,1999,2008,1.3351168853937203,0.47619981564411934,TRUE,NA,NA,NA,NA,NA,NA
Tony Sparano,73,2008,2014,0.2968386694175171,0.05727312960261755,FALSE,NA,NA,NA,NA,NA,NA
Vance Joseph,32,2017,2018,-2.3451908782538933,-0.212917504412251,FALSE,2207,-0.07758029394223319,2082,-0.0559722335459859,56,71.42857142857143
Vic Fangio,49,2019,2021,-0.5340297948307312,-0.075121569830336,FALSE,3074,-0.05241246063009908,3129,0.008342846638572677,139,83.45323741007194
Wade Phillips,94,1999,2013,-0.07517247083485684,-0.018067583674775546,FALSE,NA,NA,NA,NA,NA,NA
Zac Taylor,116,2019,2025,-0.4118528116774471,-0.11438547542312497,FALSE,7817,0.00476828971337322,7766,0.035423671518566284,340,80.29411764705883
