caller,looks,plays,tell,from_menu,from_man,epa
Matt Canada,7,1515,0.11826014293792883,0.08829616252407763,0.029963980413851204,-0.036806230525064675
Matt LaFleur,12,4262,0.04961522883936471,0.10135792427745702,-0.05174269543809231,0.05908820625075579
Matt Patricia,5,895,0.0984541596200459,0.0888574966661067,0.009596662953939197,-0.058644502778324316
Mike Kafka,12,3179,0.05942705871241868,0.09200525160722411,-0.03257819289480544,-0.03423122926974679
Mike LaFleur,6,1014,0.06558183206292345,0.09749403222524519,-0.03191220016232174,-0.06837228092377347
Mike McCarthy,8,2264,0.10873440999658229,0.08968831882458077,0.019046091172001525,-0.0031391677866979832
Mike McDaniel,13,3980,0.13604717656901807,0.11399792918797494,0.022049247381043136,0.006995786959550554
Nathaniel Hackett,8,1791,0.10395057337257232,0.0877003631750455,0.01625021019752683,-0.18721529501480827
Nick Caley,5,1212,0.09769721178238529,0.09250669227452474,0.00519051950786055,-0.0411716490468734
Pep Hamilton,8,907,0.059852787080703955,0.1034933695771831,-0.04364058249647914,-0.18998423758576474
Pete Carmichael,9,1874,0.13498423797924086,0.09067443289233097,0.04430980508690989,-0.03382955724250322
Press Taylor,8,2067,0.11033059397347095,0.08863901470160195,0.021691579271869002,-0.051481332509897115
Ryan Grubb,4,956,0.11815275397135304,0.07974076030818539,0.03841199366316765,-0.03928374006726062
Scott Turner,9,1503,0.06910110927232052,0.09979435002447659,-0.03069324075215607,-0.08111866935002883
Sean McVay,11,4465,0.07594602441238815,0.11102623798916862,-0.03508021357678047,0.023387843742159856
Sean Payton,6,3189,0.14528203761205957,0.09569351488728492,0.04958852272477465,-0.009974888152741368
Shane Steichen,10,4319,0.06570424864395849,0.0964582233968016,-0.03075397475284311,0.02523830989198155
Shane Waldron,13,2527,0.08443365241073904,0.09623988490464422,-0.01180623249390518,-0.015302086807727584
Tanner Engstrand,5,976,0.06775163364731905,0.09251646675971192,-0.024764833112392873,-0.13525219153044746
Thomas Brown,4,998,0.12930292235632282,0.09051792468819803,0.03878499766812479,-0.12567666534058886
Tim Kelly,6,895,0.10036950710117841,0.09811287913233449,0.002256627968843919,-0.05774829646956565
Todd Downing,10,1456,0.08889524168090465,0.09663002894292325,-0.007734787262018594,-0.031128131524861186
Todd Monken,7,3277,0.09940813103761534,0.1042160681379708,-0.004807937100355458,0.10395215876136532
Zac Robinson,9,2083,0.17453049593567274,0.13047086429505825,0.044059631640614494,-0.0016465823630345186
Zac Taylor,9,4242,0.1222400578106983,0.08498337716951725,0.03725668064118105,0.03824317116960824
