off_play_caller,n,n_dev,follow,dev,surprise_edge,tot,epa
Arthur Smith,2595,1084,-0.047765625703458575,0.05001174016293996,0.09777736586639854,7433,-0.005405885814821821
Chan Gailey,1020,463,-0.018058640215676533,0.07970006741385112,0.09775870762952765,3085,-0.025922711668383606
Greg Roman,2710,1172,-0.016960856988673445,0.07595015843987835,0.09291101542855179,7871,0.037060227884006924
Pete Carmichael,754,330,-0.03616204863695055,0.05361807932674717,0.08978012796369772,2116,-0.03484711863437822
Ken Dorsey,870,449,-0.056930776642885254,0.03067338244979977,0.08760415909268503,2436,0.019407232853324987
Brian Schottenheimer,1567,695,-0.006827971415576245,0.07966765583254737,0.08649562724812361,4573,0.06074224826930627
Adam Gase,1775,809,-0.05664703155698027,0.025490642691574576,0.08213767424855484,5224,-0.1022242414377182
Andy Reid,4272,2078,0.057784028674246576,0.13964703673304252,0.08186300805879594,11782,0.10362611480826651
Bill Lazor,1235,613,-0.05378402513050322,0.02481365652438778,0.078597681654891,3735,-0.038417868140439876
Jim Bob Cooter,1219,502,-0.07907097231787445,-8.773896234263632e-4,0.0781935826944481,3612,-0.018974970480436844
Press Taylor,712,302,-0.11246287514570166,-0.03469481103129244,0.07776806411440923,2095,-0.0495034740918104
Kellen Moore,2748,1206,-0.04865460576011141,0.026497407657450116,0.07515201341756153,8147,0.01933686095695371
Sean McVay,4422,2103,0.0017234661591677555,0.07648350746272974,0.07476004130356198,12434,0.036831098684448574
Shane Waldron,1266,587,-0.024347436000989747,0.04700931545735482,0.07135675145834457,3605,-0.009070793395331567
Randy Fichtner,1066,490,-0.05152644216452419,0.019088659978352927,0.07061510214287711,3102,-0.02247878955302497
Kliff Kingsbury,2205,944,-0.04019140887948404,0.027233290425437172,0.0674246993049212,6609,0.019503234078323495
Hue Jackson,1024,494,-0.12728848108611732,-0.06170883841795025,0.06557964266816707,3063,-0.06580816900040777
Nathaniel Hackett,1547,695,-0.11784065116653812,-0.05314898512222448,0.06469166604431364,4555,-0.10332449538798745
Bill O'Brien,2260,1005,-0.10852999585228346,-0.04406140787143429,0.06446858798084917,6692,-0.07256836513414072
Terry Robiskie,736,330,-0.04655561938225536,0.014531724275149127,0.06108734365740449,2103,-0.02216996027724307
Matt Nagy,1143,557,-0.059662379139155786,-0.00278019194528683,0.056882187193868956,3293,-0.04527202101748384
Norv Turner,1132,483,-0.008546408218510137,0.04757970839521981,0.056126116613729946,3279,-0.015488546245649755
Pat Shurmur,1875,873,-0.038218169248654635,0.011785862197951791,0.05000403144660642,5820,-0.029803583675453615
Tim Kelly,999,488,-0.05664717842449537,-0.007173432770078432,0.04947374565441694,2945,-0.040277324008015716
Kevin Stefanski,2269,1012,-0.06453721951860102,-0.01803215136105267,0.046505068157548346,6664,-0.04430918920263549
Mike LaFleur,694,309,-0.07746977593917895,-0.03419877534697779,0.04327100059220116,2180,-0.08226449589913765
Joe Brady,1727,723,0.03320649269473763,0.07315837718842215,0.03995188449368452,4818,0.07366963695546543
Kevin O'Connell,1650,760,-0.06675486020705294,-0.02940450512745588,0.03735035507959707,4907,-0.05533001462528049
Sean Payton,3802,1742,0.0016768587635914995,0.0384910581521676,0.0368141993885761,10979,0.04232753551581506
Dave Canales,1064,490,-0.06217914250697445,-0.027114037477418244,0.035065105029556204,3215,-0.03410138303158132
Bill Musgrave,1197,582,-0.06920975645978156,-0.03779834295924602,0.031411413500535536,3534,-0.038118798065790195
Ben McAdoo,1203,517,-0.03674448807907741,-0.006335258540574573,0.030409229538502835,3415,-0.0411284168738697
Darrell Bevell,2069,967,-0.030923336854593714,-0.0022512012555376266,0.028672135599056087,6075,-0.014820898280775251
Matt Canada,1033,462,-0.07158936102005674,-0.04649993188418058,0.02508942913587616,2851,-0.05591773674513399
Pep Hamilton,480,221,-0.11155637600701811,-0.09270337018047448,0.01885300582654363,1546,-0.14026170096359794
Nick Caley,427,172,-0.08761564410999513,-0.07113352080087616,0.016482123309118968,1231,-0.0407961480446613
Matt LaFleur,3013,1368,0.06646922862580247,0.07906429395746262,0.012595065331660146,8654,0.07339058552773363
Klint Kubiak,1301,587,-0.015232668419980595,-0.007799895383378464,0.007432773036602131,3820,-0.018269243725694242
Shane Steichen,2395,1069,0.0047811283434051515,0.012015282445350424,0.007234154101945272,6698,0.02927783995072849
Rob Boras,437,205,-0.1201864541889618,-0.11793501374592856,0.0022514404430332424,1228,-0.18910547423817897
Zac Robinson,731,298,0.024153262219587794,0.023145773308823114,-0.0010074889107646798,2126,-0.001830420530348311
Rob Chudzinski,868,385,-0.05020123487595453,-0.0613491768516198,-0.011147941975665272,2518,-0.06125518949456553
Anthony Lynn,473,206,0.08046643875567908,-0.010017066021564765,-0.090483504777243845,1436,-0.006232348732263685
Mike Shula,1122,494,0.02255466486965279,-0.09448599010469888,-0.11704065497435168,3438,-0.009033956466218932
Marc Trestman,508,237,-0.002594535538563373,-0.129809022886985,-0.12721448734842164,1436,-0.08670215789005879
Brian Johnson,416,206,0.06729540513976573,-0.08383127281424058,-0.1511266779540063,1163,0.04293504726748276
Freddie Kitchens,646,300,0.005717231179420201,-0.19137805886644255,-0.19709529004586274,1918,-0.06606721855924415
